,data,chuva 1h
162,2022-03-23 23:00:00,0.0
192,2022-03-23 23:00:00,0.0
222,2022-03-24 00:00:00,0.0
252,2022-03-24 01:00:00,0.0
282,2022-03-24 02:00:00,0.0
312,2022-03-24 03:00:00,0.0
342,2022-03-24 04:00:00,0.0
372,2022-03-24 05:00:00,0.0
402,2022-03-24 06:00:00,0.0
432,2022-03-24 07:00:00,0.0
462,2022-03-24 08:00:00,0.0
492,2022-03-24 09:00:00,0.0
522,2022-03-24 10:00:00,0.0
552,2022-03-24 11:00:00,0.0
582,2022-03-24 12:00:00,0.0
612,2022-03-24 13:00:00,0.0
642,2022-03-24 14:00:00,0.0
672,2022-03-24 15:00:00,0.0
702,2022-03-24 16:00:00,0.0
732,2022-03-24 17:00:00,0.0
762,2022-03-24 18:00:00,0.0
792,2022-03-24 19:00:00,0.0
822,2022-03-24 20:00:00,0.0
852,2022-03-24 21:00:00,0.0
882,2022-03-24 22:00:00,0.0
912,2022-03-24 23:00:00,0.0
942,2022-03-25 00:00:00,0.0
972,2022-03-25 01:00:00,0.0
1002,2022-03-25 02:00:00,0.0
1032,2022-03-25 03:00:00,0.0
1062,2022-03-25 04:00:00,0.0
1091,2022-03-25 05:00:00,0.0
1120,2022-03-25 06:00:00,0.0
1149,2022-03-25 07:00:00,0.0
1178,2022-03-25 08:00:00,0.0
1207,2022-03-25 09:00:00,0.0
1236,2022-03-25 10:00:00,0.0
1266,2022-03-25 11:00:00,0.0
1296,2022-03-25 12:00:00,0.0
1326,2022-03-25 13:00:00,0.0
1357,2022-03-25 14:00:00,0.0
1386,2022-03-25 15:00:00,0.0
1417,2022-03-25 16:00:00,0.0
1447,2022-03-25 17:00:00,0.0
1476,2022-03-25 18:00:00,0.0
1506,2022-03-25 19:00:00,0.0
1536,2022-03-25 20:00:00,0.0
1566,2022-03-25 21:00:00,0.0
1596,2022-03-25 22:00:00,0.0
1626,2022-03-25 23:00:00,0.0
1656,2022-03-26 00:00:00,0.0
1686,2022-03-26 01:00:00,0.0
1716,2022-03-26 02:00:00,0.0
1746,2022-03-26 03:00:00,0.0
1776,2022-03-26 04:00:00,0.0
1806,2022-03-26 05:00:00,0.0
