,index,Data,Horario,precipitacao_observada,Barreto_ws10,Barreto_wd10,Pto N_ws10,Pto N_wd10,Pto S_ws10,Pto S_wd10,Pto E_ws10,Pto E_wd10,Pto W_ws10,Pto W_wd10,Pto SE_ws10,Pto SE_wd10,Pto NE_ws10,Pto NE_wd10,Pto SW_ws10,Pto SW_wd10,Pto NW_ws10,Pto NW_wd10,prec_prev_Barreto,prec_prev_ptoN,prec_prev_ptoS,prec_prev_ptoE,prec_prev_ptoW,prec_prev_ptoSE,prec_prev_ptoNE,prec_prev_ptoSW,prec_prev_ptoNW,temp_prev_Barreto,temp_prev_ptoN,temp_prev_ptoS,temp_prev_ptoE,temp_prev_ptoW,temp_prev_ptoSE,temp_prev_ptoNE,temp_prev_ptoSW,temp_prev_ptoNW,DataHora
6035,121,2021-01-22,1500 UTC,0.0,3.0582700000000003,198.575,2.43485,192.189,3.77453,196.959,1.32921,69.3551,4.89091,204.722,0.8179109999999999,95.16,1.6842,79.9821,4.7407,201.391,4.97254,205.093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.081,31.4674,30.7072,31.1563,30.0855,31.3086,31.4521,29.779,30.5085,2021-01-22 15:00:00+00:00
10787,122,2021-01-22,1600 UTC,0.0,2.7399400000000003,254.438,2.70908,205.467,2.6294,288.562,3.69633,288.526,2.8837200000000003,198.739,4.19491,320.316,2.15545,255.448,2.80039,231.338,3.85825,175.197,2.61009,2.18299,1.54985,3.5165300000000004,0.867865,2.4443900000000003,3.24515,0.316682,0.7208060000000001,28.7749,28.9315,29.3425,28.2794,29.5789,28.9378,28.2538,29.9764,29.912,2021-01-22 16:00:00+00:00
2106,123,2021-01-22,1700 UTC,0.0,2.9873,168.271,2.61571,163.378,3.16835,170.99599999999995,2.83183,167.385,3.41101,166.09799999999996,3.1025400000000003,168.31400000000005,2.41288,171.81400000000005,3.45896,169.395,2.99835,158.79,4.72611,2.88555,6.19683,4.26365,4.41399,3.80749,3.71322,7.55425,1.8417,30.3806,30.6097,30.0829,30.078000000000007,30.4974,29.8787,30.2378,30.1327,30.878,2021-01-22 17:00:00+00:00
254,124,2021-01-22,1800 UTC,0.2,5.9631,109.725,5.84245,113.62,5.8558,104.599,5.72251,110.111,5.7878,110.555,5.36674,104.197,6.00552,116.096,5.92161,105.552,5.42469,112.816,4.73273,2.89114,6.22299,4.46011,4.41414,4.17397,3.77239,7.55426,1.84203,30.0693,30.3286,29.9224,29.1147,30.6866,29.2277,29.3425,30.4256,30.9668,2021-01-22 18:00:00+00:00
255,125,2021-01-22,2300 UTC,0.0,6.63722,79.2502,6.49183,78.5216,6.80022,80.846,6.72932,80.0594,6.38968,78.055,6.94393,80.6563,6.51089,80.2672,6.49527,79.8359,6.35537,76.9704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0272,26.1645,26.08,25.5813,26.3183,25.7159,25.7648,26.2412,26.4009,2021-01-22 23:00:00+00:00
5464,126,2021-01-22,2000 UTC,0.0,4.14522,68.3112,4.86978,57.9055,3.770880000000001,92.9297,3.73826,75.1938,4.46853,63.1922,3.65127,98.7596,4.97105,59.0623,3.95776,84.9085,4.82642,57.4861,0.282044,0.468363,0.637134,0.6359100000000001,0.186787,0.989999,0.16792,0.550501,0.873168,29.4469,29.5566,29.0353,28.9876,29.7196,28.5307,29.3712,29.3421,29.675,2021-01-22 20:00:00+00:00
8940,127,2021-01-22,2100 UTC,0.0,6.27084,79.1191,6.110530000000002,80.9484,5.9671,79.2628,6.32929,79.5487,6.23348,78.9561,6.20236,80.1898,6.19499,80.7556,5.81772,77.6313,6.02798,81.324,0.27542,0.4627729999999999,0.610979,0.439449,0.186638,0.623518,0.108748,0.550485,0.87284,28.4866,28.6246,28.6009,28.0539,28.7633,28.2655,28.2459,28.7412,28.9115,2021-01-22 21:00:00+00:00
4935,128,2021-01-22,2200 UTC,0.0,6.67485,81.9939,6.36506,81.2374,6.79015,83.2307,6.7842,82.8444,6.50001,81.0065,6.92795,83.1369,6.38623,82.7972,6.6052100000000005,82.5679,6.29731,79.9573,0.26201,0.26867,0.5576270000000001,0.320867,0.185712,0.39087,0.0559156,0.5483359999999999,0.7003060000000001,27.0255,27.1435,27.1246,26.59,27.3433,26.8087,26.7467,27.3026,27.4332,2021-01-22 22:00:00+00:00
3940,129,2021-01-22,1300 UTC,0.0,1.13988,278.953,1.52037,293.031,0.81024,252.816,0.0613593,249.418,1.29889,272.921,0.63454,120.698,0.414008,342.9480000000001,1.38047,239.675,1.58649,292.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.9946,28.8804,29.0694,28.9163,28.9108,29.0511,28.9871,28.8693,28.6268,2021-01-22 13:00:00+00:00
114,130,2021-01-22,1900 UTC,3.4,4.25101,104.835,3.14964,84.947,4.86567,106.736,4.82545,112.3,4.1795800000000005,98.3669,5.19041,110.006,3.70694,110.749,4.63601,103.09,4.08098,73.7206,2.13606,0.902254,4.72649,1.06217,3.5472,1.96223,0.580068,7.2397300000000016,1.29376,29.8355,29.6891,29.8968,29.5309,30.0628,29.3839,29.7233,29.9784,29.807,2021-01-22 19:00:00+00:00
