,DATA,HORA,Barreto,Pto N,Pto S,Pto E,Pto W,Pto SE,Pto NE,Pto SW,Pto NW
0,20210713,1,20.056,20.0081,20.1014,20.0049,20.1063,20.0511,19.9563,20.1509,20.0589
1,20210713,2,19.7609,19.8084,19.7927,19.3635,19.9675,19.526,19.4299,19.8958,19.9316
2,20210713,3,18.847,18.9039,18.7594,18.4926,19.0526,18.4294,18.5844,18.919,19.0746
3,20210713,4,18.5845,18.6537,18.2268,18.4546,18.7148,17.9931,18.4276,18.5032,18.7648
4,20210713,5,18.1068,18.1725,18.0058,17.9308,18.2306,17.9213,17.8847,18.1013,18.2865
5,20210713,6,18.0562,17.9935,17.9525,17.955,18.0683,17.9054,17.8615,17.9325,18.0556
6,20210713,7,17.8503,17.8337,17.7859,17.6512,17.9068,17.6844,17.5732,17.8025,17.9056
7,20210713,8,17.894,17.8362,17.7651,17.6338,17.8974,17.5685,17.6104,17.716,17.8198
8,20210713,9,17.7462,17.7145,17.6727,17.5021,17.8185,17.4956,17.4601,17.6974,17.8026
9,20210713,10,18.3813,18.2719,17.908,18.2777,18.2597,17.8004,18.0911,17.8264,18.1087
10,20210713,11,17.939,17.8458,17.5598,17.6181,17.8021,17.6159,17.7076,17.4528,17.8653
11,20210713,12,18.6743,18.717,18.6425,18.5901,18.7166,18.5611,18.6056,18.7505,18.6893
12,20210713,13,20.1907,20.2045,20.2519,19.979,20.344,20.0532,20.0514,20.3495,20.3857
13,20210713,14,22.0027,21.8448,22.0158,21.7982,22.0675,21.8878,21.8433,21.9933,21.5609
14,20210713,15,23.4046,22.8091,23.6133,23.356,23.2973,23.5227,23.0991,23.5168,22.5003
15,20210713,16,24.7017,24.3279,24.775,24.5903,24.7588,24.8654,24.488,24.5853,24.2577
16,20210713,17,26.0242,26.1104,25.9164,26.11,25.5575,26.1128,26.1995,25.1999,25.8665
17,20210713,18,26.1007,26.5777,25.6434,25.9676,25.9691,25.6227,26.3356,25.5299,26.3988
18,20210713,19,26.1024,26.3257,25.918,25.6667,26.3916,25.6101,25.8741,26.1532,26.5862
19,20210713,20,25.3982,25.5767,25.3084,24.8436,25.7359,24.8667,25.0178,25.5315,25.9219
20,20210713,21,23.8335,24.1144,23.8306,23.3083,24.1891,23.3472,23.6496,24.112,24.367
21,20210713,22,23.444,23.714,23.1739,23.0038,23.6334,22.8423,23.2956,23.3403,23.9477
22,20210713,23,22.761,22.7855,22.7491,22.3176,23.0252,22.4109,22.3597,22.9169,23.0551
23,20210713,24,21.8794,21.9514,21.8857,21.4581,22.1807,21.5935,21.5708,22.0385,22.1595
24,20210713,25,22.0772,21.8657,22.0385,21.6262,22.237,21.72,21.515,22.1305,21.9742
25,20210713,26,21.955,21.6906,21.8825,21.5042,22.0081,21.5785,21.3438,21.754,21.8328
26,20210713,27,21.6406,21.6016,21.401,21.5792,21.2223,21.4749,21.3129,21.0491,21.3033
27,20210713,28,20.8344,20.7341,20.7046,20.9813,20.7311,20.7103,21.0001,20.6447,20.6349
28,20210713,29,19.9832,19.8621,20.1215,19.9764,20.0202,19.9282,19.7002,20.0334,19.9835
29,20210713,30,19.7425,19.4969,19.9464,19.7003,19.815,19.4644,19.4518,19.7769,19.6465
30,20210713,31,19.6025,19.5674,19.601,19.5018,19.455,19.3071,19.4742,19.3401,19.6094
31,20210713,32,19.6552,19.5946,19.6605,19.5406,19.4954,19.5379,19.3962,19.5814,19.6201
32,20210713,33,19.2355,19.5656,19.2313,19.2797,19.2843,19.2596,19.4089,19.3472,19.2898
33,20210713,34,19.3401,19.2467,19.0988,19.4039,19.1789,19.1596,19.436,18.9977,19.1418
34,20210713,35,19.3088,19.5351,19.0361,19.2715,19.2472,19.0296,19.4614,19.0592,19.4202
35,20210713,36,20.7775,20.5172,20.6049,20.8476,20.7379,20.6427,20.5112,20.6391,20.6082
36,20210713,37,22.0209,22.0575,22.0347,21.8727,22.0461,21.9466,21.9566,21.983,22.102
37,20210713,38,23.4319,23.5564,23.4714,23.2611,23.4574,23.3667,23.3788,23.4417,23.6041
38,20210713,39,25.337,25.3759,25.3527,25.1263,25.3123,25.1819,25.2746,25.3537,25.3107
39,20210713,40,26.6431,26.7396,26.5244,26.5757,26.6253,26.5535,26.7215,26.4315,26.8257
40,20210713,41,28.1169,28.3186,27.679,27.9457,27.6212,27.6704,28.0414,27.211,27.9897
41,20210713,42,27.4185,27.794,27.1577,27.015,27.5819,26.8421,27.4888,27.2664,27.9018
42,20210713,43,27.5684,27.8614,27.3134,27.1627,27.7552,27.0295,27.4338,27.4575,27.9882
43,20210713,44,27.0293,27.3323,26.8683,26.4069,27.3687,26.3864,26.7043,27.0793,27.6654
44,20210713,45,25.9997,26.2981,25.9494,25.5054,26.3152,25.5347,25.8312,26.1953,26.5262
45,20210713,46,25.3086,25.5694,24.979,25.068,25.4572,24.8403,25.4297,25.1383,25.7486
46,20210713,47,25.6042,26.0883,25.1645,25.3217,25.6846,24.8639,25.7509,25.3474,25.9982
47,20210713,48,25.2137,25.2733,24.8647,24.8538,24.9429,24.6438,24.926,24.7671,25.1234
