,DATA,HORA,Barreto_ws10,Barreto_wd10,Pto N_ws10,Pto N_wd10,Pto S_ws10,Pto S_wd10,Pto E_ws10,Pto E_wd10,Pto W_ws10,Pto W_wd10,Pto SE_ws10,Pto SE_wd10,Pto NE_ws10,Pto NE_wd10,Pto SW_ws10,Pto SW_wd10,Pto NW_ws10,Pto NW_wd10
0,20210727,1,0.774798,171.472,1.00264,184.732,0.681697,144.103,0.562478,183.352,0.758485,177.063,0.463065,122.667,0.988446,193.194,0.353329,151.356,0.996211,185.51
1,20210727,2,3.63749,37.687,3.50344,45.0414,3.41463,28.1451,4.38444,42.7899,3.1467,35.4672,4.23052,34.1791,3.91776,51.3421,3.13148,28.0136,3.18351,43.4995
2,20210727,3,1.80428,91.8155,2.17629,86.9977,2.08899,95.3569,3.17134,78.3109,1.12486,107.261,2.77648,85.8843,3.17244,83.1503,1.49667,100.269,1.19302,92.577
3,20210727,4,2.48048,63.0449,2.55577,72.381,2.22534,69.3421,3.23444,63.6647,1.62474,69.9704,2.98855,67.5528,3.18901,75.8142,1.34887,73.8742,2.07734,73.6591
4,20210727,5,2.89702,71.2116,2.83291,78.2797,2.70468,80.6467,3.48029,72.1844,1.34976,90.9958,3.4722,73.3486,3.34234,82.3015,2.07015,100.077,1.27106,98.0848
5,20210727,6,2.34139,64.6235,2.38069,75.5555,2.3266,64.4328,2.60813,68.9216,1.10496,56.4642,2.60092,65.6064,2.58112,80.4562,1.49815,61.3311,1.33089,75.3322
6,20210727,7,0.503379,149.44,1.22163,117.387,0.91287,99.5039,0.972048,102.479,0.723737,219.359,1.2016,87.3793,1.74007,104.018,0.576252,124.573,0.72222,156.261
7,20210727,8,1.74809,122.723,1.18978,140.184,2.30208,111.743,1.77464,117.989,1.83675,130.223,2.28457,104.366,1.38563,136.882,2.27894,119.853,1.23873,149.689
8,20210727,9,1.62294,117.181,1.18051,127.175,2.21306,108.443,1.44812,111.47,1.88408,123.651,2.12785,99.5405,1.12287,127.074,2.26523,115.68,1.36791,129.623
9,20210727,10,0.788321,117.709,0.579094,157.561,1.52582,100.104,0.851375,114.633,0.816723,121.585,1.56719,92.2431,0.802876,156.717,1.5445,108.082,0.348056,168.631
10,20210727,11,0.774798,171.472,1.00264,184.732,0.681697,144.103,0.562478,183.352,0.758485,177.063,0.463065,122.667,0.988446,193.194,0.353329,151.356,0.996211,185.51
11,20210727,12,2.0188,269.777,1.76957,263.325,2.08071,281.602,1.79052,257.042,2.132,289.871,1.57077,275.034,1.87651,239.952,2.46135,291.402,1.88389,299.16
12,20210727,13,2.39186,321.615,1.84773,314.691,2.993,323.604,1.96861,310.447,3.29711,325.252,2.45557,316.501,1.487,293.56,3.9131,324.886,2.81377,323.167
13,20210727,14,6.25584,323.343,6.01881,322.096,6.41037,324.599,5.11258,324.738,7.00209,324.254,5.46066,324.651,4.56518,324.827,6.96833,325.9,7.14043,322.044
14,20210727,15,6.95151,330.849,6.79289,329.653,6.98164,331.732,6.53349,328.051,7.19965,334.609,6.75189,328.193,6.09948,327.2,7.02127,335.692,7.41968,333.162
15,20210727,16,6.23046,331.151,6.16217,331.394,6.19451,331.055,5.97591,328.548,6.51425,334.606,6.04719,327.482,5.73392,329.227,6.28256,335.225,6.78348,334.151
