,DATA,HORA,Barreto,Pto N,Pto S,Pto E,Pto W,Pto SE,Pto NE,Pto SW,Pto NW
0,20211020,1,18.8488,18.7939,18.902,18.8678,18.8286,18.9222,18.8116,18.8805,18.7749
1,20211020,2,18.943,19.0458,18.9199,18.5907,19.1519,18.6488,18.7385,19.0746,19.2189
2,20211020,3,18.7897,18.8986,18.7232,18.4626,18.9791,18.485,18.6157,18.8518,19.0406
3,20211020,4,18.4223,18.4953,18.374,18.0522,18.6187,18.0904,18.1704,18.4931,18.669
4,20211020,5,18.249,18.3581,18.1837,17.8713,18.4466,17.9151,18.0242,18.2938,18.5404
5,20211020,6,17.9443,18.0435,17.9031,17.5537,18.161,17.6225,17.6888,18.0301,18.2478
6,20211020,7,16.8549,16.9491,16.8551,16.5229,17.0052,16.604,16.6694,16.9557,17.064
7,20211020,8,16.9865,17.0256,16.9721,16.6499,17.1439,16.7478,16.7442,17.0391,17.1732
8,20211020,9,17.1619,17.2759,17.0615,16.7658,17.3915,16.7773,16.9176,17.1963,17.4861
9,20211020,10,17.1304,17.2181,17.0661,16.7839,17.2751,16.8475,16.911,17.1174,17.3637
10,20211020,11,16.7296,16.6635,16.8807,16.315,17.048,16.5181,16.3327,17.1661,16.8394
11,20211020,12,16.7972,16.7693,16.967,16.4498,16.9415,16.7,16.412,17.0103,16.9267
12,20211020,13,17.1874,17.1849,17.1935,16.8425,17.3663,16.9636,16.8523,17.2804,17.3463
13,20211020,14,17.5188,17.4808,17.6147,17.203,17.6634,17.3993,17.2011,17.6689,17.6048
14,20211020,15,17.6396,17.6327,17.6595,17.2969,17.8195,17.4351,17.3302,17.7429,17.7889
15,20211020,16,17.7376,17.8231,17.644,17.4455,17.854,17.432,17.5264,17.6645,17.9297
16,20211020,17,17.518,17.4932,17.5769,17.3091,17.5812,17.4917,17.2443,17.5508,17.5324
17,20211020,18,17.6736,17.7652,17.4675,17.4356,17.7799,17.327,17.616,17.5552,17.7451
18,20211020,19,17.8571,17.9085,17.8002,17.4013,18.1472,17.4177,17.497,18.0405,18.1918
19,20211020,20,18.4032,18.4871,18.3378,18.035,18.5993,18.0964,18.1443,18.4274,18.6714
20,20211020,21,17.9985,17.9447,17.9202,17.5599,18.2437,17.6435,17.5403,18.0602,18.1978
21,20211020,22,17.5285,17.5723,17.5859,17.1466,17.7313,17.3297,17.2312,17.6626,17.7462
22,20211020,23,17.6936,17.7556,17.6968,17.3257,17.8705,17.4585,17.4479,17.7583,17.9034
23,20211020,24,17.5685,17.5728,17.577,17.2245,17.6937,17.3522,17.2431,17.5972,17.726
24,20211020,25,17.4325,17.4993,17.4371,17.1147,17.5948,17.2756,17.1702,17.4594,17.6588
25,20211020,26,17.5828,17.6323,17.5738,17.206,17.7666,17.3408,17.3073,17.5916,17.7834
26,20211020,27,17.4313,17.5025,17.3788,17.0824,17.556,17.2022,17.1148,17.4042,17.5916
27,20211020,28,17.3973,17.4774,17.4385,17.0327,17.5905,17.2269,17.1288,17.4831,17.6412
28,20211020,29,17.6678,17.7596,17.6204,17.2882,17.8643,17.379,17.3893,17.7168,17.8792
29,20211020,30,17.663,17.7313,17.6275,17.2797,17.8865,17.3572,17.3717,17.7552,17.9015
30,20211020,31,17.5996,17.6444,17.596,17.2683,17.7018,17.3753,17.3367,17.6463,17.6459
31,20211020,32,17.6118,17.7259,17.5647,17.4457,17.6994,17.4557,17.5665,17.6012,17.7483
32,20211020,33,17.7147,17.7142,17.7628,17.3763,17.8879,17.5202,17.4273,17.8156,17.8311
33,20211020,34,17.7116,17.7234,17.6754,17.4695,17.7834,17.5851,17.4011,17.6818,17.7954
34,20211020,35,17.811,17.6891,17.8026,17.548,17.8964,17.585,17.4278,17.839,17.7725
35,20211020,36,17.8909,17.9091,17.9111,17.6076,18.0885,17.7689,17.6546,17.9918,18.0482
36,20211020,37,18.5784,18.5968,18.7011,18.317,18.708,18.5918,18.2736,18.6696,18.6838
37,20211020,38,20.2786,19.9581,20.135,19.8485,20.5226,19.6401,19.8624,20.2935,20.1765
38,20211020,39,20.4207,20.4937,20.3445,20.0004,20.5098,20.0398,20.1147,20.4348,20.688
39,20211020,40,21.0019,21.1204,20.7679,20.4548,21.1947,20.4526,20.524,20.8474,21.5635
40,20211020,41,21.3249,21.382,21.3103,20.9954,21.5099,21.0699,21.1001,21.4054,21.6317
41,20211020,42,20.7471,20.9252,20.5798,20.4175,20.906,20.3578,20.569,20.6962,21.1182
42,20211020,43,21.0651,21.244,20.8481,20.654,21.227,20.5958,20.8482,20.9547,21.3444
43,20211020,44,21.2327,21.3176,21.127,20.7764,21.4736,20.8253,20.9067,21.1415,21.4731
44,20211020,45,20.9035,21.0211,20.6815,20.5049,21.0917,20.4418,20.6427,20.7822,21.2422
45,20211020,46,20.1591,20.2421,20.0435,19.7218,20.3925,19.766,19.8583,20.1694,20.4659
46,20211020,47,19.9329,19.9349,19.8232,19.5015,20.17,19.5498,19.5389,19.9462,20.1682
47,20211020,48,19.7633,19.8409,19.7255,19.3428,19.9856,19.4557,19.4755,19.842,20.0446
