,DATA,HORA,Barreto,Pto N,Pto S,Pto E,Pto W,Pto SE,Pto NE,Pto SW,Pto NW
0,20210715,1,,,,,,,,,
1,20210715,2,,,,,,,,,
2,20210715,3,,,,,,,,,
3,20210715,4,,,,,,,,,
4,20210715,5,,,,,,,,,
5,20210715,6,,,,,,,,,
6,20210715,7,,,,,,,,,
7,20210715,8,,,,,,,,,
8,20210715,9,,,,,,,,,
9,20210715,10,,,,,,,,,
10,20210715,11,,,,,,,,,
11,20210715,12,,,,,,,,,
12,20210715,13,,,,,,,,,
13,20210715,14,,,,,,,,,
14,20210715,15,,,,,,,,,
15,20210715,16,,,,,,,,,
16,20210715,17,,,,,,,,,
17,20210715,18,,,,,,,,,
18,20210715,19,,,,,,,,,
19,20210715,20,,,,,,,,,
20,20210715,21,,,,,,,,,
21,20210715,22,,,,,,,,,
22,20210715,23,,,,,,,,,
23,20210715,24,,,,,,,,,
24,20210715,25,,,,,,,,,
25,20210715,26,,,,,,,,,
26,20210715,27,,,,,,,,,
27,20210715,28,,,,,,,,,
28,20210715,29,,,,,,,,,
29,20210715,30,,,,,,,,,
30,20210715,31,,,,,,,,,
31,20210715,32,,,,,,,,,
32,20210715,33,,,,,,,,,
33,20210715,34,,,,,,,,,
34,20210715,35,,,,,,,,,
35,20210715,36,,,,,,,,,
36,20210715,37,,,,,,,,,
37,20210715,38,,,,,,,,,
38,20210715,39,,,,,,,,,
39,20210715,40,,,,,,,,,
40,20210715,41,,,,,,,,,
41,20210715,42,,,,,,,,,
42,20210715,43,,,,,,,,,
43,20210715,44,,,,,,,,,
44,20210715,45,,,,,,,,,
45,20210715,46,,,,,,,,,
46,20210715,47,,,,,,,,,
47,20210715,48,,,,,,,,,
