,DATA,HORA,Barreto_ws10,Barreto_wd10,Pto N_ws10,Pto N_wd10,Pto S_ws10,Pto S_wd10,Pto E_ws10,Pto E_wd10,Pto W_ws10,Pto W_wd10,Pto SE_ws10,Pto SE_wd10,Pto NE_ws10,Pto NE_wd10,Pto SW_ws10,Pto SW_wd10,Pto NW_ws10,Pto NW_wd10
0,20210921,1,0.663623,271.753,0.687441,243.852,0.598573,296.527,0.764091,260.068,0.574735,284.526,0.561978,293.183,0.955072,226.947,0.623474,302.158,0.53256,271.234
1,20210921,2,1.75446,59.3944,2.09988,58.9223,1.31494,58.836,2.55093,63.3919,1.57648,60.8495,2.00223,65.7883,2.73873,62.7301,1.31743,58.2141,1.79755,60.2823
2,20210921,3,2.17118,79.1962,2.5989,77.4468,2.00025,80.6595,3.28369,77.6691,1.92068,80.5941,2.92089,80.2021,3.50457,78.2927,1.82657,78.1238,2.15223,80.3167
3,20210921,4,1.98329,53.3533,2.74286,57.8078,0.684104,357.156,3.25112,65.3185,1.87658,44.6949,1.44079,56.3979,3.4528,63.6827,1.27297,30.1577,2.46832,53.9671
4,20210921,5,1.02065,89.1159,1.76524,75.1174,1.19747,108.979,2.73384,70.2068,0.391744,88.6346,2.3041,81.5005,2.93618,75.1673,0.414258,119.763,0.957678,69.7079
5,20210921,6,0.310968,276.785,1.06459,265.093,1.38488,94.5628,0.394513,96.6702,0.887459,214.405,1.618,84.5541,0.698841,165.709,1.14297,123.414,1.14776,240.648
6,20210921,7,0.381584,268.17,0.566727,229.127,0.353286,305.7,0.0954475,236.027,0.60327,248.988,0.422207,343.97,0.606835,202.486,0.407682,250.514,0.624147,241.34
7,20210921,8,0.247244,284.77,0.345061,217.941,0.523649,324.3,0.49853,275.897,0.261923,336.739,0.548816,308.471,0.682166,228.149,0.702903,335.513,0.0343032,239.26
8,20210921,9,1.2771,154.01,1.51728,165.956,1.0464,144.722,1.30506,162.416,1.07371,152.731,0.937944,150.906,1.73909,173.15,0.846379,148.502,1.2093,163.088
9,20210921,10,0.578391,247.389,0.896935,214.549,0.520097,298.285,0.727925,243.655,0.703111,269.021,0.486054,300.559,1.20344,213.853,0.845697,293.741,0.720426,237.609
10,20210921,11,0.663623,271.753,0.687441,243.852,0.598573,296.527,0.764091,260.068,0.574735,284.526,0.561978,293.183,0.955072,226.947,0.623474,302.158,0.53256,271.234
11,20210921,12,0.610171,220.503,0.836107,210.43,0.298631,245.287,0.767379,216.337,0.535811,236.839,0.408076,234.833,1.18099,208.28,0.357414,281.726,0.653993,223.2
12,20210921,13,0.851021,254.976,0.782098,237.934,0.857719,281.302,1.02011,254.632,0.751321,249.52,1.01411,278.79,1.03785,236.321,0.722914,276.668,0.660203,245.343
13,20210921,14,1.26469,246.67,1.207,249.362,1.17902,251.568,1.51913,255.065,1.19041,233.946,1.39077,259.061,1.49322,249.811,1.16954,239.363,1.07106,249.734
14,20210921,15,1.76305,265.079,1.42229,277.503,1.93819,252.099,1.97243,268.22,1.74233,254.937,2.20575,263.528,1.66493,268.708,1.89099,235.569,1.36808,285.116
15,20210921,16,3.26157,217.809,3.10216,222.753,3.39002,214.232,3.35167,230.761,3.46057,204.939,3.25135,227.85,3.22883,231.76,3.8047,200.249,3.18958,212.788
16,20210921,17,6.76772,196.699,6.61002,195.904,6.68403,197.519,6.82202,200.132,6.50405,192.466,6.77782,202.619,6.70888,198.407,6.39968,191.644,6.49337,192.707
17,20210921,18,8.11196,199.403,8.50133,200.509,7.35443,198.682,8.80097,201.826,7.56514,199.22,7.96085,202.203,9.13999,202.501,6.7942,198.597,8.15171,199.654
18,20210921,19,7.13675,219.327,8.20161,217.54,6.62101,219.299,7.98827,218.488,7.02228,220.142,7.4791,219.706,8.77087,217.716,6.53184,220.976,8.21551,215.806
19,20210921,20,7.11455,220.708,7.75645,221.028,7.25848,217.265,7.56368,221.932,7.11343,219.415,7.73913,220.634,8.00528,222.426,7.2588,215.444,7.70864,218.591
20,20210921,21,8.53051,222.103,9.19801,218.367,8.07138,225.738,8.54315,223.117,8.58124,221.039,7.83272,228.138,9.12004,219.567,8.51038,223.729,9.31079,216.818
21,20210921,22,7.24038,230.648,7.43914,227.751,7.04753,233.667,7.51291,231.929,6.98852,229.153,6.73769,234.347,7.99734,229.383,7.40425,231.71,6.86028,226.836
22,20210921,23,6.77145,235.546,6.53169,234.601,6.9853,236.343,6.99556,235.809,6.68063,235.096,6.81908,237.715,7.13638,234.4,7.32773,235.165,6.04774,235.315
23,20210921,24,6.99501,230.065,6.30281,231.919,7.07939,231.238,7.35045,230.633,6.15563,231.643,7.21944,232.901,6.87902,230.5,6.66257,230.324,5.75728,236.137
24,20210921,25,6.50718,224.732,6.3083,225.982,6.86524,223.813,6.2793,224.037,7.01935,224.888,6.6091,222.939,6.23562,226.153,7.2841,224.448,6.47563,225.057
25,20210921,26,4.86864,230.563,5.2391,231.24,4.92067,228.007,5.08279,228.959,5.17347,230.782,5.0983,227.47,5.43641,231.051,5.35075,228.851,4.92459,229.718
26,20210921,27,4.78315,223.782,4.9417,226.823,4.97588,221.845,5.27185,222.32,4.83496,226.547,5.35032,222.656,5.23075,224.861,4.91611,223.252,4.97334,226.848
27,20210921,28,6.19293,213.727,6.08215,214.578,6.43456,212.979,6.44335,214.478,6.18334,213.451,6.47472,213.808,6.39012,216.383,6.60891,212.957,5.8608,213.338
28,20210921,29,6.72703,208.634,6.45114,209.418,7.07837,205.658,6.84547,207.922,6.42528,207.76,6.89702,205.485,6.79661,209.944,7.13517,205.696,5.95526,205.001
29,20210921,30,7.09727,205.735,6.73172,206.38,7.27031,205.256,7.04344,205.376,7.16137,206.152,7.15527,205.589,6.75715,206.585,7.28779,205.445,6.85008,205.818
30,20210921,31,6.3752,205.741,6.37956,205.916,6.20876,206.506,6.49641,206.437,6.30662,206.833,6.2155,208.5,6.48705,205.618,6.22541,206.519,6.38397,206.369
31,20210921,32,5.45766,203.978,5.16898,204.645,5.62416,203.701,5.38526,203.646,5.51176,204.911,5.37793,204.261,5.21661,204.265,5.76568,204.155,5.22794,204.52
32,20210921,33,5.53735,197.555,4.64655,199.797,5.87441,200.641,5.86286,200.944,4.96921,201.043,5.60863,205.823,5.17893,198.272,5.67024,198.584,4.63929,207.871
33,20210921,34,4.91425,212.632,4.42543,211.971,5.14026,212.977,4.89832,215.126,4.70631,207.058,4.79085,213.454,4.63949,216.135,4.99787,208.276,4.24935,207.567
34,20210921,35,4.06936,198.842,3.99909,199.788,4.24555,197.988,4.12638,201.896,3.97254,198.535,4.12414,201.887,4.15316,201.844,4.29359,196.607,3.78018,199.881
35,20210921,36,4.86773,189.937,4.66769,191.503,4.94115,189.581,4.92537,190.898,4.825,189.595,4.93341,190.487,4.75127,192.23,5.04415,189.313,4.74629,191.218
36,20210921,37,5.7836,179.816,5.74916,180.562,5.88169,180.061,5.70558,180.701,5.8211,179.399,5.65272,180.691,5.7472,181.954,6.10126,179.946,5.72834,179.649
37,20210921,38,5.29178,186.615,5.43472,187.956,5.15473,185.716,5.31891,186.095,5.32541,187.214,5.04523,185.038,5.48148,187.911,5.34124,186.766,5.4701,187.735
38,20210921,39,5.16619,195.266,5.45956,195.739,4.8955,194.421,5.187,193.546,5.17422,195.739,4.82443,192.489,5.47682,195.043,5.01604,195.721,5.50517,194.845
39,20210921,40,5.38284,190.27,5.49366,190.597,5.20584,189.638,5.34502,188.043,5.47191,191.854,5.10163,187.402,5.42655,189.221,5.35086,191.811,5.64862,191.007
40,20210921,41,5.58288,186.113,5.50276,186.142,5.55054,186.064,5.49964,183.589,5.75377,186.893,5.35424,182.658,5.39845,185.0,5.82666,187.251,5.69683,186.301
