,DATA,HORA,Barreto,Pto N,Pto S,Pto E,Pto W,Pto SE,Pto NE,Pto SW,Pto NW
0,20210911,1,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0
1,20210911,2,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0
2,20210911,3,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0
3,20210911,4,0.0797263,0.124515,0.0412946,0.103771,0.0638554,0.0570378,0.149883,0.0322573,0.104891
4,20210911,5,0.0795084,0.12422,0.0412934,0.103569,0.0636576,0.0570309,0.149789,0.032257,0.10437
5,20210911,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,20210911,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,20210911,8,0.0,0.0,2.01166e-07,0.0,0.0,7.07805e-08,0.0,1.9744e-07,0.0
8,20210911,9,0.0179802,0.0272895,0.0147122,0.0187958,0.0165498,0.0193861,0.0321164,0.00881024,0.0255796
9,20210911,10,0.0557695,0.0710443,0.0327465,0.04623,0.0467883,0.0333745,0.0621785,0.0222548,0.0684321
10,20210911,11,0.0659323,0.0864435,0.0348467,0.0492223,0.0592025,0.034136,0.0665965,0.0231599,0.0858176
11,20210911,12,0.0479609,0.0595871,0.0201347,0.0304579,0.0426527,0.01475,0.0350355,0.0143498,0.0602379
12,20210911,13,0.0101716,0.0158323,0.00210038,0.00302364,0.0124142,0.000761621,0.00497338,0.000905294,0.0173854
13,20210911,14,8.79169e-06,0.000433072,0.0,3.13818e-05,0.0,0.0,0.000555366,0.0,0.0
14,20210911,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,20210911,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,20210911,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,20210911,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,20210911,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,20210911,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,20210911,21,1.36377,1.30533,1.20622,1.26853,1.27427,1.36843,0.963782,1.2898,1.46551
21,20210911,22,2.13008,1.94768,1.75035,1.9201,1.71276,2.15728,1.34447,1.46478,2.18523
22,20210911,23,2.22014,1.99616,1.87553,2.08162,1.7778,2.5186,1.42527,1.49829,2.22077
23,20210911,24,1.56377,1.30071,1.48221,1.40479,1.34126,1.83122,0.984312,1.10291,1.4871
24,20210911,25,0.797461,0.658359,0.9381,0.753221,0.902772,1.04238,0.603629,0.927936,0.767381
25,20210911,26,0.707403,0.609875,0.812922,0.591705,0.837729,0.681064,0.522825,0.894425,0.731847
26,20210911,27,0.0,0.0,9.29832e-06,9.53674e-07,0.0,1.38283e-05,0.0,5.72205e-06,0.0
27,20210911,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19209e-06,0.0
28,20210911,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19209e-06,0.0
29,20210911,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,20210911,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,20210911,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,20210911,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,20210911,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,20210911,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,20210911,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,20210911,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,20210911,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,20210911,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,20210911,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,20210911,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,20210911,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,20210911,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,20210911,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,20210911,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,20210911,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,20210911,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,20210911,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
