,DATA,HORA,Barreto,Pto N,Pto S,Pto E,Pto W,Pto SE,Pto NE,Pto SW,Pto NW
0,20210917,1,20.9366,20.9484,20.9226,20.9487,20.9237,20.9346,20.9605,20.9098,20.9355
1,20210917,2,21.0355,21.1035,20.9805,20.6573,21.2261,20.7283,20.7618,21.067,21.2983
2,20210917,3,20.9976,21.0899,20.9632,20.6018,21.2195,20.6586,20.745,21.0922,21.2745
3,20210917,4,20.948,21.0156,20.9224,20.5464,21.171,20.6302,20.6636,21.0429,21.2247
4,20210917,5,20.7936,20.8812,20.7462,20.3996,21.0002,20.4631,20.5293,20.8705,21.0603
5,20210917,6,20.6856,20.7588,20.6437,20.2767,20.9033,20.3465,20.3985,20.7814,20.9662
6,20210917,7,20.6009,20.6877,20.5553,20.1916,20.8313,20.2548,20.3226,20.69,20.8991
7,20210917,8,20.5027,20.579,20.5173,20.1111,20.7328,20.2124,20.2297,20.6669,20.7772
8,20210917,9,20.5294,20.6432,20.462,20.1434,20.7545,20.1696,20.287,20.6221,20.8515
9,20210917,10,20.5163,20.6505,20.4498,20.0588,20.7465,20.0801,20.31,20.6225,20.8431
10,20210917,11,20.6491,20.7591,20.5554,20.2626,20.8521,20.2657,20.4174,20.6904,20.9524
11,20210917,12,21.0622,21.1838,20.9499,20.7082,21.226,20.7031,20.8565,21.0406,21.3523
12,20210917,13,22.4285,22.5594,22.359,22.0298,22.5866,22.0675,22.2069,22.5126,22.6039
13,20210917,14,22.2476,22.3779,22.0744,21.8459,22.4471,21.795,22.024,22.2072,22.5331
14,20210917,15,23.6034,23.7713,23.3617,23.144,23.8145,23.0899,23.3224,23.4779,23.9597
15,20210917,16,24.3393,24.4888,24.1762,23.8929,24.4829,23.8716,24.0843,24.2096,24.6442
16,20210917,17,24.958,25.0969,24.7757,24.5217,25.1878,24.4551,24.715,24.9004,25.327
17,20210917,18,24.71,24.871,24.5442,24.2379,24.9745,24.1911,24.4308,24.7126,25.1508
18,20210917,19,24.3415,24.5587,24.1488,23.8973,24.5841,23.7964,24.1495,24.322,24.807
19,20210917,20,23.4616,23.6874,23.2809,23.0075,23.7031,22.9229,23.2623,23.4682,23.933
20,20210917,21,22.8791,23.1083,22.6833,22.4381,23.1291,22.3492,22.7031,22.8754,23.3578
21,20210917,22,22.2621,22.4581,22.08,21.8243,22.519,21.7565,22.0417,22.2586,22.7239
22,20210917,23,22.1483,22.3273,21.9623,21.734,22.3874,21.657,21.944,22.1229,22.5654
23,20210917,24,22.3291,22.4735,22.0811,21.9374,22.5487,21.7892,22.1089,22.217,22.687
24,20210917,25,22.2746,22.338,22.06,21.8819,22.4991,21.7794,21.9861,22.2007,22.5291
25,20210917,26,21.9557,22.1834,21.731,21.5884,22.1382,21.4626,21.8212,21.8527,22.3681
26,20210917,27,21.9068,22.0153,21.7267,21.5771,22.0044,21.4715,21.7456,21.7961,22.0777
27,20210917,28,21.7138,21.7581,21.5696,21.3257,21.9124,21.2892,21.3923,21.7017,21.9701
28,20210917,29,21.3683,21.3971,21.3441,21.0187,21.5539,21.1052,21.0331,21.4392,21.5809
29,20210917,30,21.1999,21.2566,21.0863,20.8629,21.3581,20.9034,20.9426,21.1982,21.3922
30,20210917,31,21.1054,21.1071,21.0393,20.7904,21.2385,20.856,20.8287,21.1047,21.2639
31,20210917,32,21.3257,21.1785,21.248,21.0016,21.3433,21.0045,20.9569,21.2254,21.2279
32,20210917,33,21.1523,21.1542,20.9975,20.9286,21.1173,20.9182,20.9319,21.028,21.1155
33,20210917,34,20.934,20.9973,20.8575,21.0405,20.9783,20.8737,21.0041,20.9604,20.9427
34,20210917,35,21.9126,22.1207,21.8723,21.7834,21.8505,21.8449,22.0441,21.8322,21.9323
35,20210917,36,23.7569,24.0223,23.7909,24.2701,23.6035,24.1899,24.3138,23.6693,23.7287
36,20210917,37,26.7459,26.7973,26.7085,26.5336,26.7593,26.5531,26.6721,26.699,26.7708
37,20210917,38,28.0141,28.1795,27.916,27.9477,27.9126,27.9343,28.116,27.675,28.1415
38,20210917,39,29.3954,29.6079,29.2329,29.2764,29.2953,29.2051,29.506,29.0658,29.5468
39,20210917,40,30.8418,31.067,30.6743,30.6943,30.78,30.5634,30.9492,30.4739,31.0977
40,20210917,41,31.8128,32.0944,31.5884,31.4905,31.9579,31.3636,31.8058,31.6523,32.2341
41,20210917,42,32.1241,32.429,31.8538,31.6722,32.3911,31.53,31.9915,32.0462,32.7164
42,20210917,43,32.1105,32.3065,31.9555,31.5605,32.4039,31.5292,31.7756,32.1476,32.5873
43,20210917,44,31.5042,31.7329,31.4465,30.858,31.9068,30.9182,31.1089,31.7053,32.1136
44,20210917,45,30.3613,30.7285,30.4078,29.7362,30.815,29.7908,30.2064,30.8147,31.0212
45,20210917,46,29.2246,29.4417,28.8804,28.7335,29.4994,28.4878,28.8988,29.239,29.7418
46,20210917,47,28.0151,28.4986,27.5361,27.9783,26.8341,27.7286,28.2834,26.3781,27.3355
47,20210917,48,25.1715,25.491,25.0774,26.3069,24.9406,25.8881,26.7891,24.6372,25.2907
