,DATA,HORA,Barreto_ws10,Barreto_wd10,Pto N_ws10,Pto N_wd10,Pto S_ws10,Pto S_wd10,Pto E_ws10,Pto E_wd10,Pto W_ws10,Pto W_wd10,Pto SE_ws10,Pto SE_wd10,Pto NE_ws10,Pto NE_wd10,Pto SW_ws10,Pto SW_wd10,Pto NW_ws10,Pto NW_wd10
0,20210826,1,2.21915,259.362,2.37842,255.652,1.82472,248.921,1.08143,237.399,2.60502,267.629,0.0348987,112.368,1.50386,232.072,2.55338,270.389,2.7597,257.897
1,20210826,2,4.09361,35.812,3.88978,43.9244,3.90758,27.5223,4.65233,37.7051,3.72868,35.5674,4.3805,30.153,4.2433,45.2397,3.81447,28.205,3.6734,43.5271
2,20210826,3,3.25171,70.6445,3.8706,71.6432,2.9257,88.1105,4.8693,69.4008,1.60324,83.8806,4.24273,75.9144,4.74183,77.4188,2.19999,97.9143,2.48366,72.7061
3,20210826,4,2.40098,68.346,3.14558,75.812,1.83709,81.366,5.05851,66.2854,0.671465,217.143,4.29281,66.179,4.72163,78.0247,0.589102,194.053,1.00662,105.312
4,20210826,5,1.20096,141.788,1.30759,156.021,1.27814,129.34,1.96146,83.2264,1.0523,162.435,1.68665,93.9651,2.04463,91.2238,1.21012,130.927,1.2419,186.025
5,20210826,6,2.36163,73.8787,2.70099,83.7139,2.39233,77.5115,2.51309,71.8465,1.81267,81.1588,2.59642,71.6398,2.68943,86.5248,2.07366,87.4826,2.38567,86.7954
6,20210826,7,0.180777,276.69,0.794939,178.424,0.916812,79.7216,1.10172,78.6198,0.800523,200.277,1.69738,63.6844,1.97808,104.965,1.26295,134.433,1.2012,234.231
7,20210826,8,0.974795,108.198,1.71067,117.658,1.48272,96.8123,1.53938,81.2123,0.730808,140.276,1.88129,79.7236,2.20304,95.3108,1.20244,112.171,1.17791,143.566
8,20210826,9,2.95982,256.283,3.10117,252.636,2.89066,262.594,2.01451,230.776,3.28826,260.874,1.42785,232.406,2.40098,230.269,3.28726,269.198,3.52665,254.261
9,20210826,10,2.94535,267.082,2.85104,255.285,2.46247,267.5,2.61554,255.313,3.08168,261.927,0.999092,212.146,2.20198,254.766,3.02813,274.935,3.29775,254.264
10,20210826,11,2.21915,259.362,2.37842,255.652,1.82472,248.921,1.08143,237.399,2.60502,267.629,0.0348987,112.368,1.50386,232.072,2.55338,270.389,2.7597,257.897
11,20210826,12,0.692881,242.929,1.029,238.764,0.24529,240.234,0.441713,242.107,1.40834,274.322,0.15753,27.516,0.92657,227.258,1.08021,290.216,1.65493,265.935
12,20210826,13,0.684864,167.715,0.852498,176.504,0.259241,166.805,0.953017,172.264,0.541471,344.155,0.615542,162.346,1.22805,179.167,0.733181,336.863,0.498586,325.663
13,20210826,14,0.514032,217.677,0.844848,196.274,0.27709,277.316,0.630948,230.736,0.428009,254.62,0.447934,255.67,0.748331,219.68,0.602991,313.503,0.467055,236.982
14,20210826,15,1.56968,310.926,1.34972,303.773,1.89808,315.449,1.18878,299.47,2.01229,319.892,1.43101,303.637,1.05943,293.71,2.38168,321.748,1.64474,313.959
15,20210826,16,3.54281,319.237,3.16667,311.56,3.99055,324.371,2.72019,305.822,4.48032,330.026,3.07271,311.878,2.39175,296.912,4.91806,333.033,4.00629,325.542
16,20210826,17,4.92311,326.315,4.86404,325.151,4.89792,327.865,4.42448,319.793,5.16868,332.463,4.61382,320.406,4.11788,319.036,4.84567,334.014,5.56721,331.176
17,20210826,18,3.86715,318.917,3.81688,316.132,3.81131,322.535,3.47944,310.31,4.25397,327.895,3.56518,312.632,3.25211,310.22,4.0514,329.965,4.51574,325.934
18,20210826,19,2.28662,317.191,2.13648,311.632,2.47175,322.465,2.48896,304.135,2.2927,331.203,2.61801,310.312,2.297,301.05,2.49375,334.021,2.16399,328.985
19,20210826,20,0.666998,302.149,0.58207,299.614,0.710242,315.027,0.860572,282.089,0.660438,327.335,0.684002,286.565,0.879638,270.363,0.771501,336.62,0.428294,325.28
20,20210826,21,3.68759,114.519,3.48969,120.791,3.44153,109.085,3.98556,112.206,3.04004,118.11,3.74815,105.325,3.99707,120.721,2.68834,113.463,2.91791,125.705
21,20210826,22,1.82963,221.154,2.08451,220.609,1.85074,219.915,1.27941,192.376,2.76911,218.211,1.35028,188.162,1.34947,203.44,2.83381,217.903,2.8346,214.804
22,20210826,23,2.88563,181.719,2.83229,182.465,3.33155,187.149,3.25491,184.729,2.49564,183.048,3.40617,188.712,3.40409,187.508,3.16604,187.282,2.25663,181.648
23,20210826,24,0.370572,298.427,1.15358,286.242,0.614645,212.962,1.09576,216.876,1.05375,320.54,1.5994,213.035,1.05968,248.664,0.778393,357.324,2.0498,278.758
