,DATA,HORA,Barreto,Pto N,Pto S,Pto E,Pto W,Pto SE,Pto NE,Pto SW,Pto NW
0,20211012,1,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0
1,20211012,2,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0
2,20211012,3,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0
3,20211012,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,20211012,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,20211012,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,20211012,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,20211012,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,20211012,9,4.71299e-12,2.77339e-09,5.14604e-13,5.3163e-13,4.45809e-10,0.0,5.60936e-11,1.74188e-10,7.03374e-08
9,20211012,10,0.00109699,0.00254907,0.000295461,0.00366664,0.000191589,0.0015744,0.00627897,1.22909e-05,0.00079409
10,20211012,11,0.30213,0.111218,0.375574,0.11847,0.381956,0.281414,0.0255053,0.30373,0.321083
11,20211012,12,0.360343,0.152581,0.488132,0.124063,0.565982,0.296703,0.0280523,0.515345,0.456038
12,20211012,13,0.439726,0.199187,0.612081,0.194487,0.653343,0.388778,0.0478616,0.68473,0.502081
13,20211012,14,0.138692,0.0905182,0.236802,0.0796836,0.271578,0.108938,0.0286353,0.381012,0.181793
14,20211012,15,0.187083,0.125351,0.239972,0.161726,0.19667,0.204639,0.0814913,0.2762,0.133905
15,20211012,16,0.381806,0.542852,0.253538,0.572062,0.258632,0.407744,0.688482,0.170039,0.396131
16,20211012,17,0.493286,0.739282,0.306472,0.764986,0.330586,0.505576,0.990214,0.203135,0.530373
17,20211012,18,0.398254,0.66901,0.211807,0.701584,0.224872,0.430375,0.951527,0.104051,0.444617
18,20211012,19,0.123072,0.202419,0.0740061,0.217632,0.0753582,0.133942,0.319125,0.0408143,0.135553
19,20211012,20,0.0115916,0.0059883,0.0210723,0.0247074,0.00340331,0.0361102,0.017393,0.00771803,0.00131214
20,20211012,21,2.12789e-05,6.49691e-05,1.01328e-05,0.000474393,0.0,0.000321686,0.000677466,0.0,0.0
21,20211012,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,20211012,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,20211012,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,20211012,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,20211012,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,20211012,27,0.00530511,0.002738,0.00502378,0.0250658,0.000255942,0.0212083,0.0163503,0.000372231,3.08752e-05
27,20211012,28,0.00965196,0.00425017,0.0131356,0.051275,0.000413358,0.0667433,0.0283743,0.000732422,0.00204802
28,20211012,29,0.0337719,0.0541486,0.0288265,0.0913789,0.0224392,0.0876951,0.105062,0.0120929,0.0453727
29,20211012,30,0.0308133,0.052927,0.025748,0.0788084,0.0223131,0.0745687,0.0990902,0.0118957,0.0453806
30,20211012,31,0.0264664,0.0514148,0.0176362,0.0525993,0.0221556,0.0290337,0.0870662,0.0115355,0.0433635
31,20211012,32,0.00234646,0.00151646,0.00194532,0.0124954,0.000129819,0.00808191,0.0103781,0.00017494,3.8743e-05
32,20211012,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,20211012,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,20211012,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,20211012,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,20211012,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,20211012,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,20211012,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,20211012,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,20211012,41,0.464647,0.287892,0.92609,0.156119,0.330755,0.0997258,0.310885,0.861964,0.0795943
41,20211012,42,0.464647,0.287892,0.92609,0.156119,0.330755,0.0997258,0.310885,0.861964,0.0795943
42,20211012,43,0.533297,0.299114,1.08507,0.295382,0.34785,0.465683,0.331276,0.895207,0.0832953
43,20211012,44,0.0686502,0.0112222,0.158976,0.139263,0.0170957,0.365957,0.0203905,0.0332434,0.00370109
44,20211012,45,0.0686502,0.0112222,0.158976,0.139263,0.0170957,0.365957,0.0203905,0.0332434,0.00370109
45,20211012,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,20211012,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,20211012,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
