,DATA,HORA,Barreto,Pto N,Pto S,Pto E,Pto W,Pto SE,Pto NE,Pto SW,Pto NW
0,20210823,1,22.8947,22.9144,22.8712,22.8268,22.9612,22.8037,22.8463,22.9376,22.9811
1,20210823,2,22.6008,22.6425,22.6296,22.1644,22.8217,22.3119,22.1976,22.7447,22.7983
2,20210823,3,22.0117,22.0898,21.5991,22.0119,22.0613,21.1789,22.058,21.888,22.0986
3,20210823,4,22.3716,22.2679,22.1925,22.732,22.003,22.5524,22.5873,21.966,21.9546
4,20210823,5,21.2406,21.2832,21.027,21.144,21.1887,20.9962,21.2583,20.9985,21.1421
5,20210823,6,21.6917,21.4853,21.7766,21.4841,21.6168,21.6087,21.3574,21.5479,21.5028
6,20210823,7,21.9248,21.882,21.2613,21.5553,21.6834,21.073,21.6053,21.3516,21.7447
7,20210823,8,21.5833,22.1887,20.8443,21.3348,21.3722,20.8397,21.8615,20.7164,21.8901
8,20210823,9,21.4238,21.7616,20.846,21.2283,21.3529,20.8519,21.5612,20.7399,21.5852
9,20210823,10,21.6962,21.8839,20.7773,21.4628,21.3042,20.8019,22.0002,20.618,21.6087
10,20210823,11,21.9593,21.9272,21.2523,21.8052,21.79,21.2556,21.948,21.1495,21.5634
11,20210823,12,24.0243,24.2565,23.4377,24.1122,23.6891,23.7122,24.2506,23.4312,24.0361
12,20210823,13,25.8112,25.967,25.6692,25.8168,25.7851,25.7435,26.0279,25.6146,25.9361
13,20210823,14,27.848,28.0023,27.797,27.7469,27.8611,27.708,27.9601,27.7704,27.9999
14,20210823,15,29.8183,29.8311,29.7951,29.5664,29.919,29.6299,29.6731,29.8395,29.7003
15,20210823,16,31.562,31.6483,31.4878,31.2875,31.6061,31.3109,31.3861,31.5151,31.4943
16,20210823,17,32.3883,32.4644,32.3133,32.1561,32.3996,32.194,32.254,32.3191,32.2969
17,20210823,18,32.8809,32.9148,32.8086,32.5197,32.937,32.6392,32.6226,32.7873,32.8833
18,20210823,19,32.0024,32.6069,31.7483,31.3174,32.9037,31.4156,31.5162,32.2941,33.0013
19,20210823,20,31.2547,31.5721,31.1133,30.6183,31.6931,30.5779,30.9014,31.4607,31.9588
20,20210823,21,30.0273,30.3553,29.8071,29.5222,30.3418,29.3781,29.8418,30.0743,30.705
21,20210823,22,28.7841,29.1086,28.3042,28.346,29.0298,27.9775,28.6881,28.5789,29.3944
22,20210823,23,28.4257,28.482,28.1738,27.9335,28.7049,27.8411,28.014,28.3435,28.7794
23,20210823,24,27.006,26.367,27.1317,26.5084,27.2193,26.7193,26.0113,27.3116,26.5705
24,20210823,25,27.0299,26.6372,26.9884,26.6131,27.1291,26.6415,26.3083,27.0117,26.7287
25,20210823,26,26.9782,26.6232,26.76,26.5763,27.0081,26.4103,26.3011,26.668,26.6176
26,20210823,27,26.6708,26.2428,26.469,26.2185,26.2312,26.102,25.9778,25.3447,26.1725
27,20210823,28,26.1438,25.8329,25.9384,25.8911,26.0117,25.8175,25.6159,25.2197,25.7509
28,20210823,29,25.3708,25.0566,25.1364,25.1127,25.1077,25.0366,24.8621,24.2838,24.9602
29,20210823,30,24.7815,24.608,24.7122,24.5864,24.5311,24.5729,24.3799,24.0273,24.4979
30,20210823,31,24.1563,23.8993,23.8481,23.7768,24.3682,23.6137,23.6411,23.7045,23.9268
31,20210823,32,23.4782,23.2685,23.2677,23.5687,23.6004,23.1928,23.4292,22.9561,23.1996
32,20210823,33,22.8815,23.0358,22.3756,22.8467,22.644,22.3771,23.0154,22.2085,22.8784
33,20210823,34,22.8676,22.9036,22.2875,22.6683,22.671,22.2913,22.7805,22.0154,22.5276
34,20210823,35,22.8822,23.1942,22.6057,22.7289,22.7593,22.6547,23.0139,22.3734,22.9596
35,20210823,36,24.7399,24.5644,24.3062,24.7073,24.6194,24.3355,24.778,24.2394,24.481
36,20210823,37,27.0629,26.865,26.8698,26.9958,26.983,26.7833,27.0266,26.8087,26.676
37,20210823,38,28.8144,28.6724,28.6552,28.6693,28.7857,28.6156,28.7591,28.6056,28.4894
38,20210823,39,30.4202,30.2526,30.3181,30.3116,30.4163,30.2606,30.2429,30.2409,30.1967
39,20210823,40,31.5673,31.3788,31.5216,31.3967,31.5399,31.4441,31.3805,31.3511,31.2945
40,20210823,41,31.8689,32.0554,31.5598,31.6776,31.9075,31.4708,31.9761,31.537,32.0143
41,20210823,42,31.9395,32.1855,31.7264,31.5477,32.0037,31.4091,31.8414,31.7453,32.2442
42,20210823,43,31.7715,32.0399,31.5392,31.3592,31.9839,31.2445,31.6433,31.6811,32.2098
43,20210823,44,31.6887,31.9077,31.5425,31.269,31.8893,31.258,31.5499,31.6492,32.0709
44,20210823,45,30.9491,31.1816,30.8705,30.4304,31.377,30.3341,30.7245,31.2757,31.5001
45,20210823,46,28.552,28.6149,28.6364,27.9816,28.9589,28.2009,28.0644,28.9092,29.0299
46,20210823,47,26.8641,26.8709,26.9015,26.3405,27.2318,26.5084,26.4056,27.1442,27.1865
47,20210823,48,26.0936,26.0969,26.1491,25.5662,26.4405,25.7696,25.6078,26.3554,26.4365
