,DATA,HORA,Barreto_ws10,Barreto_wd10,Pto N_ws10,Pto N_wd10,Pto S_ws10,Pto S_wd10,Pto E_ws10,Pto E_wd10,Pto W_ws10,Pto W_wd10,Pto SE_ws10,Pto SE_wd10,Pto NE_ws10,Pto NE_wd10,Pto SW_ws10,Pto SW_wd10,Pto NW_ws10,Pto NW_wd10
0,20210920,1,3.88259,70.1981,3.66353,68.095,3.35798,73.6764,4.62213,73.5619,2.98888,68.1465,4.25176,77.0621,4.26257,73.0177,2.54559,69.4077,2.94709,65.7242
1,20210920,2,2.06561,96.0871,2.1267,93.5594,2.02374,101.818,2.72273,94.3975,1.67201,96.735,2.56679,98.1662,2.75884,93.7913,1.65765,104.145,1.7769,95.8166
2,20210920,3,2.30818,94.7719,2.36264,92.1533,1.50872,102.599,2.98086,92.1036,1.7302,97.0858,2.21817,95.9148,2.96968,92.9024,1.14162,108.771,1.84427,92.5721
3,20210920,4,3.29168,88.7307,3.3622,85.8526,2.28107,98.0522,3.78413,87.8877,2.77351,89.2548,2.44058,96.6509,3.84335,86.7053,2.1473,97.6889,2.84364,85.6046
4,20210920,5,2.30454,90.611,2.3178,83.4199,2.23879,97.8507,2.87749,89.4749,1.32807,98.9874,2.55663,94.4383,2.81111,85.4319,1.72042,102.086,2.14247,84.597
5,20210920,6,2.68379,98.8589,2.51435,89.0399,2.55489,107.048,3.5457,94.8515,1.76547,104.099,2.87885,103.135,3.37875,89.934,2.16703,109.102,1.9873,87.6551
6,20210920,7,2.19802,98.4153,2.03287,90.3046,2.63395,101.133,3.17122,98.5881,1.41872,104.571,3.32026,101.404,3.06822,93.0996,1.91665,101.362,1.12657,99.1873
7,20210920,8,3.20803,86.4232,3.17248,81.2254,2.89533,91.1879,4.04653,88.09,2.32494,84.2672,3.69756,91.1249,4.00558,85.5936,1.83188,90.0068,2.18307,79.0959
8,20210920,9,2.54612,85.4308,2.18565,79.8732,1.3002,95.4292,3.83189,85.7564,1.12698,93.0591,2.91552,90.2184,3.48521,84.489,0.318961,169.813,0.734847,89.5261
9,20210920,10,0.663133,111.516,0.823784,100.842,0.800041,102.613,2.76704,85.704,0.736978,189.231,2.57274,91.2257,2.91199,84.2895,0.54458,177.17,0.75613,187.014
