,Data,precipitacao_observada,Horario,Datetime,Barreto_ws10,Barreto_wd10,Pto N_ws10,Pto N_wd10,Pto S_ws10,Pto S_wd10,Pto E_ws10,Pto E_wd10,Pto W_ws10,Pto W_wd10,Pto SE_ws10,Pto SE_wd10,Pto NE_ws10,Pto NE_wd10,Pto SW_ws10,Pto SW_wd10,Pto NW_ws10,Pto NW_wd10,prec_prev_Barreto,prec_prev_ptoN,prec_prev_ptoS,prec_prev_ptoE,prec_prev_ptoW,prec_prev_ptoSE,prec_prev_ptoNE,prec_prev_ptoSW,prec_prev_ptoNW,temp_prev_Barreto,temp_prev_ptoN,temp_prev_ptoS,temp_prev_ptoE,temp_prev_ptoW,temp_prev_ptoSE,temp_prev_ptoNE,temp_prev_ptoSW,temp_prev_ptoNW
2021-08-04 00:00:00,2021-08-04,0.0,00:00:00,2021-08-04 00:00:00,3.09379,285.254,3.44475,289.062,2.50813,274.645,1.7859,290.539,3.28829,282.591,1.19998,265.526,2.64548,297.226,3.05716,279.223,3.6134,286.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5869,18.5243,18.6465,18.5804,18.5922,18.6427,18.5151,18.649,18.5323
2021-08-04 01:00:00,2021-08-04,0.0,01:00:00,2021-08-04 01:00:00,0.855597,239.251,0.731799,237.322,1.02125,236.778,0.819271,236.342,0.953184,237.467,0.920923,237.853,0.658784,235.887,1.1754,235.827,0.91811,232.215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.419,18.4153,18.4573,18.1018,18.6164,18.1984,18.1285,18.5828,18.6104
2021-08-04 02:00:00,2021-08-04,0.0,02:00:00,2021-08-04 02:00:00,2.03561,249.101,2.0939,242.271,2.15455,258.001,1.2575,248.116,2.19235,248.662,1.42845,258.522,1.37889,242.627,2.14675,258.091,2.22403,238.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.8307,17.878,18.1419,17.3995,18.0439,18.0423,17.4775,17.9049,18.0313
2021-08-04 03:00:00,2021-08-04,0.0,03:00:00,2021-08-04 03:00:00,1.04127,301.384,1.18451,299.221,0.988751,297.189,0.861676,308.475,1.13249,302.129,0.779424,311.217,0.970809,304.827,1.1591,295.899,1.28037,296.33,0.337304,0.453813,0.231548,0.0892552,1.03491,0.0588478,0.146956,0.929146,0.98022,17.7709,17.9778,17.6373,16.9891,18.0733,17.1543,17.0525,17.7821,18.3237
2021-08-04 04:00:00,2021-08-04,0.0,04:00:00,2021-08-04 04:00:00,1.13756,319.814,1.68633,320.131,1.07191,309.789,0.986191,321.894,1.4395,297.676,1.09425,317.694,0.995354,316.012,1.26077,291.869,2.38375,311.284,0.374692,0.572583,0.238892,0.0921089,1.27612,0.0595229,0.156431,0.989471,1.52319,17.1782,17.806,17.1472,16.7251,17.5011,16.8128,17.2967,17.2583,18.0878
2021-08-04 05:00:00,2021-08-04,0.0,05:00:00,2021-08-04 05:00:00,2.02181,278.481,2.33462,278.948,2.07938,282.472,1.36001,284.85,2.31253,281.146,1.7558,285.914,1.85621,282.97,1.81456,282.659,2.62423,282.065,0.439944,0.895016,0.225275,0.0674672,1.32056,0.0229553,0.215848,0.975254,1.74819,17.5526,17.6388,17.4558,16.9381,17.6844,17.2769,17.2295,17.1486,17.7717
2021-08-04 06:00:00,2021-08-04,0.0,06:00:00,2021-08-04 06:00:00,0.976189,288.753,1.36589,293.099,0.872216,283.276,1.06917,283.848,1.37393,277.791,0.889657,289.003,1.27617,290.756,1.27184,271.567,1.79889,284.47,1.05674,0.947668,1.02858,0.566619,0.699736,0.321807,0.664332,1.00397,0.954568,17.0014,17.1805,16.959,16.2658,17.2562,16.5528,16.708,17.0059,17.5487
2021-08-04 07:00:00,2021-08-04,0.0,07:00:00,2021-08-04 07:00:00,2.20351,291.378,2.43123,288.639,2.15653,296.365,1.5622,297.032,2.5184,291.331,1.78804,300.863,1.58859,290.239,1.68439,294.898,3.07443,290.035,1.17441,0.980623,1.28137,0.636546,0.578681,0.413237,0.785353,1.31099,0.440743,17.3392,17.4132,17.2513,16.4849,17.4921,16.7019,16.7339,16.8434,17.5771
2021-08-04 08:00:00,2021-08-04,0.0,08:00:00,2021-08-04 08:00:00,2.28467,309.104,2.62848,302.319,2.02227,312.905,1.39837,320.021,2.31196,312.998,1.29674,341.996,2.12492,301.411,1.66681,319.017,2.75569,308.103,2.32051,1.52541,3.60719,3.13018,2.02238,5.76524,1.6863,2.6936,1.57227,17.07,17.1408,16.9783,16.6107,17.2374,16.6234,16.8153,16.8421,17.3275
2021-08-04 09:00:00,2021-08-04,0.0,09:00:00,2021-08-04 09:00:00,1.24372,353.25,1.27305,310.263,1.83657,8.8197,1.44244,327.562,0.979482,308.9,1.45896,348.908,1.50418,310.991,1.07003,336.91,1.99976,290.324,3.68165,3.88907,4.56317,5.11711,3.27182,9.32593,3.43188,3.00975,2.91436,17.131,17.2006,17.1222,16.6721,17.4468,16.6818,16.8019,17.2074,17.5445
