,Data,precipitacao_observada,Horario,Datetime,RiodoOuro_ws10,RiodoOuro_wd10,Pto N_ws10,Pto N_wd10,Pto S_ws10,Pto S_wd10,Pto E_ws10,Pto E_wd10,Pto W_ws10,Pto W_wd10,Pto SE_ws10,Pto SE_wd10,Pto NE_ws10,Pto NE_wd10,Pto SW_ws10,Pto SW_wd10,Pto NW_ws10,Pto NW_wd10,prec_prev_RiodoOuro,prec_prev_ptoN,prec_prev_ptoS,prec_prev_ptoE,prec_prev_ptoW,prec_prev_ptoSE,prec_prev_ptoNE,prec_prev_ptoSW,prec_prev_ptoNW,temp_prev_RiodoOuro,temp_prev_ptoN,temp_prev_ptoS,temp_prev_ptoE,temp_prev_ptoW,temp_prev_ptoSE,temp_prev_ptoNE,temp_prev_ptoSW,temp_prev_ptoNW
2021-08-04 00:00:00,2021-08-04,0.0,00:00:00,2021-08-04 00:00:00,1.73976,347.16,1.12993,335.587,1.75145,359.128,1.63108,16.7408,1.26211,333.909,1.96402,28.2633,1.28024,359.206,1.73225,324.267,1.0515,332.879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.7401,18.6595,18.8184,18.7325,18.7444,18.8134,18.6494,18.8202,18.6662
2021-08-04 01:00:00,2021-08-04,0.0,01:00:00,2021-08-04 01:00:00,1.40279,237.768,1.84564,235.348,1.43251,237.768,1.51373,238.294,1.7078,236.196,1.31018,240.384,1.38593,234.27,1.69559,232.95,1.78012,234.838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.1246,15.2424,16.4948,14.9357,16.4513,15.1453,17.2064,16.3833,16.405
2021-08-04 02:00:00,2021-08-04,0.0,02:00:00,2021-08-04 02:00:00,2.20398,214.947,1.86906,222.156,1.54902,225.907,2.0204,219.11,2.56049,231.291,1.51992,242.325,1.22374,218.76,2.32995,226.578,2.49973,234.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.014,16.7101,17.3627,17.4092,14.8852,17.3715,17.7134,14.59,15.3569
2021-08-04 03:00:00,2021-08-04,0.0,03:00:00,2021-08-04 03:00:00,1.69721,323.409,1.58764,328.926,1.41357,277.668,1.76196,323.868,1.34941,342.243,1.32551,304.707,1.40099,320.275,1.42336,275.707,1.17167,350.069,0.75451,0.494117,1.04615,1.10145,0.25122,1.14221,1.09073,0.622322,0.102623,16.9321,14.4578,16.5069,14.1186,16.0689,14.7231,16.7517,16.2305,16.4123
2021-08-04 04:00:00,2021-08-04,0.0,04:00:00,2021-08-04 04:00:00,1.73907,346.771,1.6755,353.064,1.96498,343.951,1.49715,353.388,2.07762,349.223,1.63302,349.102,1.69501,350.848,1.95448,345.82,1.8968,355.954,0.775191,0.560033,1.14021,1.11376,0.262733,1.25765,1.10873,0.633145,0.135194,16.2748,14.0435,13.8206,15.4402,13.4095,14.2248,16.3284,14.6112,14.0775
2021-08-04 05:00:00,2021-08-04,0.0,05:00:00,2021-08-04 05:00:00,1.20803,17.3431,0.76571,46.9806,1.61544,1.54761,1.31575,9.63638,0.959219,31.7771,1.91456,357.831,1.10386,43.0923,1.1481,14.6246,0.668255,45.2441,0.912256,0.851538,1.0848,1.06225,0.925784,1.1939,1.11812,0.973249,1.14871,15.9961,15.5527,13.6206,15.4695,15.7264,14.5995,15.9978,15.6029,15.8802
2021-08-04 06:00:00,2021-08-04,0.0,06:00:00,2021-08-04 06:00:00,1.62162,12.3804,1.13064,17.7117,1.25282,1.0575,1.79343,19.7192,1.13126,2.82251,2.06046,9.48465,1.80294,29.4143,1.16976,355.413,1.04495,7.99234,0.7285,0.879917,0.647232,0.561505,2.07872,0.845363,0.480451,1.90899,1.98082,15.851,15.6234,15.3745,15.3913,15.399,15.5449,15.9167,15.2809,15.7
2021-08-04 07:00:00,2021-08-04,0.0,07:00:00,2021-08-04 07:00:00,1.32145,8.25946,0.690982,36.0474,1.98387,356.928,1.86424,15.4272,1.73357,338.693,2.36746,4.50775,1.12991,54.4822,2.11888,340.335,1.41057,335.334,1.82454,2.47345,0.939598,0.721137,4.79593,0.768123,0.918672,3.19633,4.7878,15.9581,14.068,13.221,13.2797,13.2679,13.512,15.9079,13.3774,14.0269
2021-08-04 08:00:00,2021-08-04,0.0,08:00:00,2021-08-04 08:00:00,1.17053,323.49,1.18778,303.459,1.06172,340.468,0.666875,19.4398,1.14915,308.251,1.24617,356.676,0.733676,306.111,1.6296,317.632,1.09861,305.451,2.08753,2.34016,2.05398,2.37352,4.26802,3.07879,1.54885,3.22624,3.81567,16.1938,16.148,15.6367,15.9248,15.7618,15.9031,16.4715,15.5952,16.144
2021-08-04 09:00:00,2021-08-04,0.0,09:00:00,2021-08-04 09:00:00,1.09152,338.2,0.488972,7.95001,1.17142,338.715,1.06936,1.7438,1.01121,322.255,1.26191,2.21246,0.962522,4.97958,1.67366,313.322,0.261114,16.2289,2.76421,2.96125,2.23886,2.79451,4.01292,3.15602,2.56215,2.69203,3.40718,16.1558,16.0574,15.7306,15.9834,15.2343,15.9776,16.4229,12.6175,15.9753
2021-08-04 10:00:00,2021-08-04,0.0,10:00:00,2021-08-04 10:00:00,1.73976,347.16,1.12993,335.587,1.75145,359.128,1.63108,16.7408,1.26211,333.909,1.96402,28.2633,1.28024,359.206,1.73225,324.267,1.0515,332.879,1.78421,1.55685,1.93296,2.91521,1.39858,3.83213,2.30186,1.43959,0.642086,16.0768,15.8914,13.5714,13.4924,15.2809,15.6925,16.2528,13.0546,15.5863
2021-08-04 11:00:00,2021-08-04,0.0,11:00:00,2021-08-04 11:00:00,1.64003,301.642,1.66817,298.734,1.71522,310.459,1.9376,310.07,1.50356,290.309,1.96637,316.818,1.63783,301.74,1.66703,303.91,1.60102,288.385,1.23086,1.36588,0.480814,0.819959,1.25978,0.844151,1.43206,1.01687,0.598854,16.7551,17.0389,16.4717,16.5038,16.7253,16.4958,16.8072,16.381,17.1561
2021-08-04 12:00:00,2021-08-04,0.0,12:00:00,2021-08-04 12:00:00,1.88605,262.226,1.7764,248.053,1.98312,249.398,2.5697,262.991,1.54399,257.581,2.22037,250.514,2.1549,252.243,1.86136,248.154,1.66788,241.768,0.13823,0.255428,0.0827298,0.297075,0.11621,0.732876,0.198028,0.0493045,0.0766454,17.8513,17.6113,18.134,17.9793,17.28,18.2573,17.814,17.8642,17.6322
2021-08-04 13:00:00,2021-08-04,0.0,13:00:00,2021-08-04 13:00:00,2.94221,252.073,3.23635,259.154,3.08087,239.44,3.53098,250.208,2.87022,253.703,3.7123,239.273,3.17703,261.306,2.90177,242.493,2.97073,253.956,0.00150394,0.000378132,0.00222445,0.0044384,0.00182915,0.0185847,0.00209761,0.00358152,0.00218582,18.8819,18.7114,18.8242,19.0065,18.576,18.9896,19.017,18.5416,18.112
