,Data,precipitacao_observada,Horario,Datetime,TBeltrao_ws10,TBeltrao_wd10,Pto N_ws10,Pto N_wd10,Pto S_ws10,Pto S_wd10,Pto E_ws10,Pto E_wd10,Pto W_ws10,Pto W_wd10,Pto SE_ws10,Pto SE_wd10,Pto NE_ws10,Pto NE_wd10,Pto SW_ws10,Pto SW_wd10,Pto NW_ws10,Pto NW_wd10,prec_prev_TBeltrao,prec_prev_ptoN,prec_prev_ptoS,prec_prev_ptoE,prec_prev_ptoW,prec_prev_ptoSE,prec_prev_ptoNE,prec_prev_ptoSW,prec_prev_ptoNW,temp_prev_TBeltrao,temp_prev_ptoN,temp_prev_ptoS,temp_prev_ptoE,temp_prev_ptoW,temp_prev_ptoSE,temp_prev_ptoNE,temp_prev_ptoSW,temp_prev_ptoNW
2021-08-04 00:00:00,2021-08-04,0.0,00:00:00,2021-08-04 00:00:00,1.12429,338.522,0.738711,330.025,0.795987,287.268,1.47551,331.076,1.74476,298.303,1.05767,308.76,1.32399,321.006,1.99942,293.824,1.20176,274.306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.8149,18.7597,18.8683,18.8181,18.8106,18.8741,18.7602,18.8614,18.7581
2021-08-04 01:00:00,2021-08-04,0.0,01:00:00,2021-08-04 01:00:00,1.85456,229.324,1.51901,232.487,1.78454,226.499,1.79856,230.257,2.14678,229.545,2.01151,225.301,1.35494,235.578,2.07209,228.045,1.90527,231.185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.162,18.1281,17.685,17.9858,18.5125,17.3213,17.939,18.342,18.4157
2021-08-04 02:00:00,2021-08-04,0.0,02:00:00,2021-08-04 02:00:00,2.11716,250.123,1.57252,250.307,2.23466,253.465,1.51859,255.047,2.41572,248.86,1.68434,248.074,1.36111,256.228,2.37069,251.905,2.28905,254.271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5022,17.4512,17.5111,17.2295,17.8491,17.2788,17.1996,16.278,18.1749
2021-08-04 03:00:00,2021-08-04,0.0,03:00:00,2021-08-04 03:00:00,0.716564,250.246,0.64478,292.724,1.95619,223.197,1.23344,240.907,0.660937,257.273,2.49654,220.827,1.20159,290.788,1.8175,228.182,0.964423,283.647,0.373943,0.329693,0.198895,0.325858,0.279254,0.0716867,0.742576,0.29841,0.215405,17.4971,17.146,17.2139,17.4206,17.8123,17.0959,17.2395,17.7516,17.6772
2021-08-04 04:00:00,2021-08-04,0.0,04:00:00,2021-08-04 04:00:00,1.15888,329.81,1.47165,306.787,1.79042,273.734,1.2618,327.483,1.11742,327.592,1.9552,278.319,1.91554,313.805,1.92601,272.091,1.26727,310.905,0.373943,0.329694,0.198896,0.325859,0.279255,0.0718584,0.742576,0.29841,0.215406,16.6088,16.5862,14.5574,16.4661,17.0372,14.0097,16.5939,15.7076,17.091
2021-08-04 05:00:00,2021-08-04,0.0,05:00:00,2021-08-04 05:00:00,1.18418,306.289,1.27403,288.261,1.38325,331.513,0.591084,357.998,1.18349,300.993,0.984644,40.9379,1.06783,294.002,1.58413,304.064,1.21374,290.478,0.0461993,0.0348404,0.0603789,0.0650332,0.160122,0.793781,0.00696999,0.158526,0.144815,16.3485,16.2947,14.9546,16.2968,16.8391,13.874,16.4049,16.7025,16.7229
2021-08-04 06:00:00,2021-08-04,0.0,06:00:00,2021-08-04 06:00:00,1.8895,304.416,1.32361,299.424,1.66308,298.786,2.23534,297.559,1.87647,301.199,2.26314,294.669,2.28593,296.534,1.83824,299.718,1.43274,292.267,0.0811252,0.0834241,0.0779832,0.134519,0.17056,0.857125,0.0591397,0.0744082,0.293624,16.8178,16.2417,16.5356,16.7379,17.1106,13.4268,16.6712,16.9501,17.0084
2021-08-04 07:00:00,2021-08-04,0.0,07:00:00,2021-08-04 07:00:00,2.03395,312.277,1.91658,305.282,2.17522,318.59,2.06518,311.993,2.01678,312.065,2.0312,321.353,2.16036,306.051,2.11026,316.061,1.91528,304.157,0.0987676,0.122913,0.0977019,0.134578,0.409201,0.856994,0.0609326,0.498565,0.52857,16.3796,16.2216,13.9964,16.4175,16.7366,13.4084,16.3675,15.4567,16.6807
2021-08-04 08:00:00,2021-08-04,0.0,08:00:00,2021-08-04 08:00:00,1.94851,331.153,1.74247,336.239,1.36107,335.79,1.65287,329.78,1.64871,335.372,1.46842,325.31,2.28967,340.208,1.1136,335.547,1.59186,323.28,2.11511,4.93511,1.50468,0.217276,6.67724,0.214004,0.727312,3.68471,8.82732,16.342,16.2422,14.8764,16.0072,16.6689,13.611,16.2995,16.6207,16.5774
2021-08-04 09:00:00,2021-08-04,0.0,09:00:00,2021-08-04 09:00:00,0.975317,357.549,1.25132,3.56427,1.13113,303.335,1.63292,315.471,0.499436,344.946,1.86318,305.61,1.96265,321.5,1.18083,267.62,1.37997,3.05249,7.53071,12.8323,2.74867,1.99069,7.81142,0.419089,5.95061,4.19625,10.0783,16.0772,16.0145,13.7613,15.9669,16.8524,13.0424,16.0612,16.6358,16.8241
