,Hora Leitura,01 h
3,2018-11-30 23:00:00,0.0
7,2018-11-30 22:00:00,0.0
11,2018-11-30 21:00:00,0.0
15,2018-11-30 20:00:00,0.0
19,2018-11-30 19:00:00,0.0
23,2018-11-30 18:00:00,0.0
27,2018-11-30 17:00:00,0.0
31,2018-11-30 16:00:00,0.0
35,2018-11-30 15:00:00,0.0
39,2018-11-30 14:00:00,0.0
43,2018-11-30 13:00:00,0.0
47,2018-11-30 12:00:00,0.0
51,2018-11-30 11:00:00,0.0
55,2018-11-30 10:00:00,0.0
59,2018-11-30 09:00:00,0.0
63,2018-11-30 08:00:00,0.0
67,2018-11-30 07:00:00,0.0
71,2018-11-30 06:00:00,0.0
75,2018-11-30 05:00:00,0.0
79,2018-11-30 04:00:00,0.0
83,2018-11-30 03:00:00,0.0
87,2018-11-30 02:00:00,0.0
91,2018-11-30 01:00:00,0.0
95,2018-11-30 00:00:00,0.0
99,2018-11-29 23:00:00,0.0
103,2018-11-29 22:00:00,0.0
107,2018-11-29 21:00:00,0.0
111,2018-11-29 20:00:00,0.0
115,2018-11-29 19:00:00,0.0
119,2018-11-29 18:00:00,0.0
123,2018-11-29 17:00:00,0.0
127,2018-11-29 16:00:00,0.0
131,2018-11-29 15:00:00,0.0
135,2018-11-29 14:00:00,0.0
139,2018-11-29 13:00:00,0.0
143,2018-11-29 12:00:00,0.0
147,2018-11-29 11:00:00,0.0
151,2018-11-29 10:00:00,0.0
155,2018-11-29 09:00:00,0.0
159,2018-11-29 08:00:00,0.0
163,2018-11-29 07:00:00,0.0
167,2018-11-29 06:00:00,0.0
171,2018-11-29 05:00:00,0.0
175,2018-11-29 04:00:00,0.0
179,2018-11-29 03:00:00,0.0
183,2018-11-29 02:00:00,0.0
187,2018-11-29 01:00:00,0.0
191,2018-11-29 00:00:00,0.0
195,2018-11-28 23:00:00,0.0
199,2018-11-28 22:00:00,0.0
203,2018-11-28 21:00:00,0.0
207,2018-11-28 20:00:00,0.0
211,2018-11-28 19:00:00,0.0
215,2018-11-28 18:00:00,0.0
219,2018-11-28 17:00:00,0.0
223,2018-11-28 16:00:00,0.0
227,2018-11-28 15:00:00,0.0
231,2018-11-28 14:00:00,0.0
235,2018-11-28 13:00:00,0.0
239,2018-11-28 12:00:00,0.0
243,2018-11-28 11:00:00,0.0
247,2018-11-28 10:00:00,0.0
251,2018-11-28 09:00:00,0.0
255,2018-11-28 08:00:00,0.0
259,2018-11-28 07:00:00,0.0
263,2018-11-28 06:00:00,0.0
267,2018-11-28 05:00:00,0.0
271,2018-11-28 04:00:00,0.0
275,2018-11-28 03:00:00,0.0
279,2018-11-28 02:00:00,0.0
283,2018-11-28 01:00:00,0.2
287,2018-11-28 00:00:00,0.0
291,2018-11-27 23:00:00,0.0
295,2018-11-27 22:00:00,3.2
299,2018-11-27 21:00:00,0.0
303,2018-11-27 20:00:00,0.2
307,2018-11-27 19:00:00,0.0
311,2018-11-27 18:00:00,0.0
315,2018-11-27 17:00:00,0.0
319,2018-11-27 16:00:00,0.0
323,2018-11-27 15:00:00,0.0
327,2018-11-27 14:00:00,0.0
331,2018-11-27 13:00:00,0.0
335,2018-11-27 12:00:00,0.0
339,2018-11-27 11:00:00,0.0
343,2018-11-27 10:00:00,0.0
347,2018-11-27 09:00:00,0.0
351,2018-11-27 08:00:00,0.0
355,2018-11-27 07:00:00,0.0
359,2018-11-27 06:00:00,0.0
363,2018-11-27 05:00:00,0.0
367,2018-11-27 04:00:00,0.0
371,2018-11-27 03:00:00,0.0
375,2018-11-27 02:00:00,0.0
379,2018-11-27 01:00:00,0.4
383,2018-11-27 00:00:00,1.2
387,2018-11-26 23:00:00,0.6
391,2018-11-26 22:00:00,0.0
395,2018-11-26 21:00:00,0.0
399,2018-11-26 20:00:00,0.2
403,2018-11-26 19:00:00,0.0
407,2018-11-26 18:00:00,0.0
411,2018-11-26 17:00:00,0.0
415,2018-11-26 16:00:00,0.0
419,2018-11-26 15:00:00,0.0
423,2018-11-26 14:00:00,0.0
427,2018-11-26 13:00:00,0.0
431,2018-11-26 12:00:00,0.0
435,2018-11-26 11:00:00,0.0
439,2018-11-26 10:00:00,0.0
443,2018-11-26 09:00:00,0.0
447,2018-11-26 08:00:00,0.4
451,2018-11-26 07:00:00,1.0
455,2018-11-26 06:00:00,0.4
459,2018-11-26 05:00:00,0.0
463,2018-11-26 04:00:00,0.0
467,2018-11-26 03:00:00,0.0
471,2018-11-26 02:00:00,0.0
475,2018-11-26 01:00:00,0.0
479,2018-11-26 00:00:00,0.0
483,2018-11-25 23:00:00,0.0
487,2018-11-25 22:00:00,0.0
491,2018-11-25 21:00:00,0.0
495,2018-11-25 20:00:00,0.0
499,2018-11-25 19:00:00,0.0
503,2018-11-25 18:00:00,0.0
507,2018-11-25 17:00:00,0.0
511,2018-11-25 16:00:00,0.0
515,2018-11-25 15:00:00,0.0
519,2018-11-25 14:00:00,0.0
523,2018-11-25 13:00:00,0.0
527,2018-11-25 12:00:00,0.0
531,2018-11-25 11:00:00,0.0
535,2018-11-25 10:00:00,0.0
539,2018-11-25 09:00:00,0.0
543,2018-11-25 08:00:00,0.0
547,2018-11-25 07:00:00,0.0
551,2018-11-25 06:00:00,0.0
555,2018-11-25 05:00:00,0.0
559,2018-11-25 04:00:00,0.0
563,2018-11-25 03:00:00,0.0
567,2018-11-25 02:00:00,0.0
571,2018-11-25 01:00:00,0.0
575,2018-11-25 00:00:00,0.0
579,2018-11-24 23:00:00,0.0
583,2018-11-24 22:00:00,0.0
587,2018-11-24 21:00:00,0.0
591,2018-11-24 20:00:00,0.0
595,2018-11-24 19:00:00,0.0
599,2018-11-24 18:00:00,0.0
603,2018-11-24 17:00:00,0.0
607,2018-11-24 16:00:00,0.0
611,2018-11-24 15:00:00,0.0
615,2018-11-24 14:00:00,0.0
619,2018-11-24 13:00:00,0.0
623,2018-11-24 12:00:00,0.0
627,2018-11-24 11:00:00,0.0
631,2018-11-24 10:00:00,0.0
635,2018-11-24 09:00:00,0.0
639,2018-11-24 08:00:00,0.0
643,2018-11-24 07:00:00,0.0
647,2018-11-24 06:00:00,0.0
651,2018-11-24 05:00:00,0.0
655,2018-11-24 04:00:00,0.0
659,2018-11-24 03:00:00,0.0
663,2018-11-24 02:00:00,0.0
667,2018-11-24 01:00:00,0.0
671,2018-11-24 00:00:00,0.0
675,2018-11-23 23:00:00,0.0
679,2018-11-23 22:00:00,0.0
683,2018-11-23 21:00:00,0.0
687,2018-11-23 20:00:00,0.0
691,2018-11-23 19:00:00,0.0
695,2018-11-23 18:00:00,0.0
699,2018-11-23 17:00:00,0.0
703,2018-11-23 16:00:00,0.0
707,2018-11-23 15:00:00,0.0
711,2018-11-23 14:00:00,0.0
715,2018-11-23 13:00:00,0.0
719,2018-11-23 12:00:00,0.0
723,2018-11-23 11:00:00,0.0
727,2018-11-23 10:00:00,0.0
731,2018-11-23 09:00:00,0.0
735,2018-11-23 08:00:00,0.0
739,2018-11-23 07:00:00,0.0
743,2018-11-23 06:00:00,0.0
747,2018-11-23 05:00:00,0.0
751,2018-11-23 04:00:00,0.0
755,2018-11-23 03:00:00,0.0
759,2018-11-23 02:00:00,0.0
763,2018-11-23 01:00:00,0.0
767,2018-11-23 00:00:00,0.0
771,2018-11-22 23:00:00,0.0
775,2018-11-22 22:00:00,0.0
779,2018-11-22 21:00:00,0.0
783,2018-11-22 20:00:00,0.0
787,2018-11-22 19:00:00,0.0
791,2018-11-22 18:00:00,0.0
795,2018-11-22 17:00:00,0.0
799,2018-11-22 16:00:00,0.0
803,2018-11-22 15:00:00,0.0
807,2018-11-22 14:00:00,0.0
811,2018-11-22 13:00:00,0.0
815,2018-11-22 12:00:00,0.0
819,2018-11-22 11:00:00,0.0
823,2018-11-22 10:00:00,0.0
827,2018-11-22 09:00:00,0.0
831,2018-11-22 08:00:00,0.0
835,2018-11-22 07:00:00,0.0
839,2018-11-22 06:00:00,0.0
843,2018-11-22 05:00:00,0.0
847,2018-11-22 04:00:00,0.0
851,2018-11-22 03:00:00,0.0
855,2018-11-22 02:00:00,0.0
859,2018-11-22 01:00:00,0.0
863,2018-11-22 00:00:00,0.0
867,2018-11-21 23:00:00,0.0
871,2018-11-21 22:00:00,0.0
875,2018-11-21 21:00:00,0.0
879,2018-11-21 20:00:00,0.0
883,2018-11-21 19:00:00,0.0
887,2018-11-21 18:00:00,0.0
891,2018-11-21 17:00:00,0.0
895,2018-11-21 16:00:00,0.0
899,2018-11-21 15:00:00,0.0
903,2018-11-21 14:00:00,0.0
907,2018-11-21 13:00:00,0.0
911,2018-11-21 12:00:00,0.0
915,2018-11-21 11:00:00,0.0
919,2018-11-21 10:00:00,0.0
923,2018-11-21 09:00:00,0.0
927,2018-11-21 08:00:00,0.0
931,2018-11-21 07:00:00,0.0
935,2018-11-21 06:00:00,0.0
939,2018-11-21 05:00:00,0.0
943,2018-11-21 04:00:00,0.0
947,2018-11-21 03:00:00,0.0
951,2018-11-21 02:00:00,0.0
955,2018-11-21 01:00:00,0.0
959,2018-11-21 00:00:00,0.0
963,2018-11-20 23:00:00,0.0
967,2018-11-20 22:00:00,0.2
971,2018-11-20 21:00:00,0.4
975,2018-11-20 20:00:00,0.0
979,2018-11-20 19:00:00,0.0
983,2018-11-20 18:00:00,0.4
987,2018-11-20 17:00:00,0.2
991,2018-11-20 16:00:00,0.0
995,2018-11-20 15:00:00,0.0
999,2018-11-20 14:00:00,0.2
1003,2018-11-20 13:00:00,2.0
1007,2018-11-20 12:00:00,0.4
1011,2018-11-20 11:00:00,0.6
1015,2018-11-20 10:00:00,0.2
1019,2018-11-20 09:00:00,0.4
1023,2018-11-20 08:00:00,0.4
1027,2018-11-20 07:00:00,1.0
1031,2018-11-20 06:00:00,5.0
1035,2018-11-20 05:00:00,1.4
1039,2018-11-20 04:00:00,0.2
1043,2018-11-20 03:00:00,0.0
1047,2018-11-20 02:00:00,0.0
1051,2018-11-20 01:00:00,0.0
1055,2018-11-20 00:00:00,0.4
1059,2018-11-19 23:00:00,0.4
1063,2018-11-19 22:00:00,0.8
1067,2018-11-19 21:00:00,0.8
1071,2018-11-19 20:00:00,2.0
1075,2018-11-19 19:00:00,3.0
1079,2018-11-19 18:00:00,2.8
1083,2018-11-19 17:00:00,5.8
1087,2018-11-19 16:00:00,6.8
1091,2018-11-19 15:00:00,3.0
1095,2018-11-19 14:00:00,2.8
1099,2018-11-19 13:00:00,0.4
1103,2018-11-19 12:00:00,2.2
1107,2018-11-19 11:00:00,1.2
1111,2018-11-19 10:00:00,0.6
1115,2018-11-19 09:00:00,0.0
1119,2018-11-19 08:00:00,0.0
1123,2018-11-19 07:00:00,0.0
1127,2018-11-19 06:00:00,0.0
1131,2018-11-19 05:00:00,0.0
1135,2018-11-19 04:00:00,0.0
1139,2018-11-19 03:00:00,0.0
1143,2018-11-19 02:00:00,0.0
1147,2018-11-19 01:00:00,0.0
1151,2018-11-19 00:00:00,0.0
1155,2018-11-18 23:00:00,0.0
1159,2018-11-18 22:00:00,0.0
1163,2018-11-18 21:00:00,0.0
1167,2018-11-18 20:00:00,0.0
1171,2018-11-18 19:00:00,0.0
1175,2018-11-18 18:00:00,0.0
1179,2018-11-18 17:00:00,0.0
1183,2018-11-18 16:00:00,0.0
1187,2018-11-18 15:00:00,0.0
1191,2018-11-18 14:00:00,0.0
1195,2018-11-18 13:00:00,0.0
1199,2018-11-18 12:00:00,0.0
1203,2018-11-18 11:00:00,0.0
1207,2018-11-18 10:00:00,0.0
1211,2018-11-18 09:00:00,0.0
1215,2018-11-18 08:00:00,0.0
1219,2018-11-18 07:00:00,0.0
1223,2018-11-18 06:00:00,0.0
1227,2018-11-18 05:00:00,0.0
1231,2018-11-18 04:00:00,0.0
1235,2018-11-18 03:00:00,0.0
1239,2018-11-18 02:00:00,0.0
1243,2018-11-18 01:00:00,0.0
1247,2018-11-18 00:00:00,0.0
1251,2018-11-17 23:00:00,0.0
1255,2018-11-17 22:00:00,0.0
1259,2018-11-17 21:00:00,0.0
1263,2018-11-17 20:00:00,0.0
1267,2018-11-17 19:00:00,0.0
1271,2018-11-17 18:00:00,0.0
1275,2018-11-17 17:00:00,0.0
1279,2018-11-17 16:00:00,0.0
1283,2018-11-17 15:00:00,0.0
1287,2018-11-17 14:00:00,0.0
1291,2018-11-17 13:00:00,0.0
1295,2018-11-17 12:00:00,0.0
1299,2018-11-17 11:00:00,0.0
1303,2018-11-17 10:00:00,0.0
1307,2018-11-17 09:00:00,0.0
1311,2018-11-17 08:00:00,0.0
1315,2018-11-17 07:00:00,0.0
1319,2018-11-17 06:00:00,0.0
1323,2018-11-17 05:00:00,0.0
1327,2018-11-17 04:00:00,0.0
1331,2018-11-17 03:00:00,0.0
1335,2018-11-17 02:00:00,0.0
1339,2018-11-17 01:00:00,0.0
1343,2018-11-17 00:00:00,0.0
1347,2018-11-16 23:00:00,0.0
1351,2018-11-16 22:00:00,0.0
1355,2018-11-16 21:00:00,0.0
1359,2018-11-16 20:00:00,0.0
1363,2018-11-16 19:00:00,0.0
1367,2018-11-16 18:00:00,0.0
1371,2018-11-16 17:00:00,0.0
1375,2018-11-16 16:00:00,0.0
1379,2018-11-16 15:00:00,0.0
1383,2018-11-16 14:00:00,0.0
1387,2018-11-16 13:00:00,0.0
1391,2018-11-16 12:00:00,0.0
1395,2018-11-16 11:00:00,0.0
1399,2018-11-16 10:00:00,0.0
1403,2018-11-16 09:00:00,0.0
1407,2018-11-16 08:00:00,0.6
1411,2018-11-16 07:00:00,0.8
1415,2018-11-16 06:00:00,0.8
1419,2018-11-16 05:00:00,0.0
1423,2018-11-16 04:00:00,0.0
1427,2018-11-16 03:00:00,0.0
1431,2018-11-16 02:00:00,0.0
1435,2018-11-16 01:00:00,0.0
1439,2018-11-16 00:00:00,0.0
1443,2018-11-15 23:00:00,0.0
1447,2018-11-15 22:00:00,0.0
1451,2018-11-15 21:00:00,0.0
1455,2018-11-15 20:00:00,0.0
1459,2018-11-15 19:00:00,0.0
1463,2018-11-15 18:00:00,0.0
1467,2018-11-15 17:00:00,0.0
1471,2018-11-15 16:00:00,0.0
1475,2018-11-15 15:00:00,0.0
1479,2018-11-15 14:00:00,0.0
1483,2018-11-15 13:00:00,0.0
1487,2018-11-15 12:00:00,0.0
1491,2018-11-15 11:00:00,0.0
1495,2018-11-15 10:00:00,0.0
1499,2018-11-15 09:00:00,0.0
1503,2018-11-15 08:00:00,0.0
1507,2018-11-15 07:00:00,0.0
1511,2018-11-15 06:00:00,0.0
1515,2018-11-15 05:00:00,0.0
1519,2018-11-15 04:00:00,0.0
1523,2018-11-15 03:00:00,0.0
1527,2018-11-15 02:00:00,0.0
1531,2018-11-15 01:00:00,0.0
1535,2018-11-15 00:00:00,0.0
1539,2018-11-14 23:00:00,0.0
1543,2018-11-14 22:00:00,0.0
1547,2018-11-14 21:00:00,0.0
1551,2018-11-14 20:00:00,0.0
1555,2018-11-14 19:00:00,0.0
1559,2018-11-14 18:00:00,0.0
1563,2018-11-14 17:00:00,0.0
1567,2018-11-14 16:00:00,0.0
1571,2018-11-14 15:00:00,0.0
1575,2018-11-14 14:00:00,0.0
1579,2018-11-14 13:00:00,0.0
1583,2018-11-14 12:00:00,0.0
1587,2018-11-14 11:00:00,0.0
1591,2018-11-14 10:00:00,0.0
1595,2018-11-14 09:00:00,0.0
1599,2018-11-14 08:00:00,0.0
1603,2018-11-14 07:00:00,0.0
1607,2018-11-14 06:00:00,0.0
1611,2018-11-14 05:00:00,0.0
1615,2018-11-14 04:00:00,0.0
1619,2018-11-14 03:00:00,0.0
1623,2018-11-14 02:00:00,0.0
1627,2018-11-14 01:00:00,0.0
1631,2018-11-14 00:00:00,0.0
1635,2018-11-13 23:00:00,0.0
1639,2018-11-13 22:00:00,0.0
1643,2018-11-13 21:00:00,0.0
1647,2018-11-13 20:00:00,0.0
1651,2018-11-13 19:00:00,0.0
1655,2018-11-13 18:00:00,0.0
1659,2018-11-13 17:00:00,0.0
1663,2018-11-13 16:00:00,0.0
1667,2018-11-13 15:00:00,0.0
1671,2018-11-13 14:00:00,0.0
1675,2018-11-13 13:00:00,0.0
1679,2018-11-13 12:00:00,0.0
1683,2018-11-13 11:00:00,0.0
1687,2018-11-13 10:00:00,0.0
1691,2018-11-13 09:00:00,0.0
1695,2018-11-13 08:00:00,0.0
1699,2018-11-13 07:00:00,0.0
1703,2018-11-13 06:00:00,0.0
1707,2018-11-13 05:00:00,0.0
1711,2018-11-13 04:00:00,0.0
1715,2018-11-13 03:00:00,0.0
1719,2018-11-13 02:00:00,0.0
1723,2018-11-13 01:00:00,0.0
1727,2018-11-13 00:00:00,0.0
1731,2018-11-12 23:00:00,0.0
1735,2018-11-12 22:00:00,0.0
1739,2018-11-12 21:00:00,0.0
1743,2018-11-12 20:00:00,0.0
1747,2018-11-12 19:00:00,0.2
1751,2018-11-12 18:00:00,0.0
1755,2018-11-12 17:00:00,0.0
1759,2018-11-12 16:00:00,0.0
1763,2018-11-12 15:00:00,0.0
1767,2018-11-12 14:00:00,0.0
1771,2018-11-12 13:00:00,0.0
1775,2018-11-12 12:00:00,0.0
1779,2018-11-12 11:00:00,0.0
1783,2018-11-12 10:00:00,0.0
1787,2018-11-12 09:00:00,0.0
1791,2018-11-12 08:00:00,0.0
1795,2018-11-12 07:00:00,0.0
1799,2018-11-12 06:00:00,0.0
1803,2018-11-12 05:00:00,0.0
1807,2018-11-12 04:00:00,0.0
1811,2018-11-12 03:00:00,0.0
1815,2018-11-12 02:00:00,0.0
1819,2018-11-12 01:00:00,0.0
1823,2018-11-12 00:00:00,0.0
