,Data,precipitacao_observada,Horario,Datetime,BFatima_ws10,BFatima_wd10,Pto N_ws10,Pto N_wd10,Pto S_ws10,Pto S_wd10,Pto E_ws10,Pto E_wd10,Pto W_ws10,Pto W_wd10,Pto SE_ws10,Pto SE_wd10,Pto NE_ws10,Pto NE_wd10,Pto SW_ws10,Pto SW_wd10,Pto NW_ws10,Pto NW_wd10,prec_prev_BFatima,prec_prev_ptoN,prec_prev_ptoS,prec_prev_ptoE,prec_prev_ptoW,prec_prev_ptoSE,prec_prev_ptoNE,prec_prev_ptoSW,prec_prev_ptoNW,temp_prev_BFatima,temp_prev_ptoN,temp_prev_ptoS,temp_prev_ptoE,temp_prev_ptoW,temp_prev_ptoSE,temp_prev_ptoNE,temp_prev_ptoSW,temp_prev_ptoNW
2021-08-04 00:00:00,2021-08-04,0.0,00:00:00,2021-08-04 00:00:00,2.22661,280.269,2.61269,275.993,2.70274,288.384,1.20176,274.306,2.68389,279.009,1.74476,298.303,1.75784,261.497,3.94447,283.93,2.97799,277.147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.7552,18.7033,18.8051,18.7581,18.751,18.8106,18.7035,18.7982,18.7018
2021-08-04 01:00:00,2021-08-04,0.0,01:00:00,2021-08-04 01:00:00,2.04208,231.699,1.64487,233.089,2.3296,231.547,1.90527,231.185,1.92575,233.209,2.14678,229.545,1.45361,233.639,3.12225,235.01,1.66193,234.475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5723,18.5152,18.7798,18.4157,18.7255,18.5125,18.455,19.1857,18.6977
2021-08-04 02:00:00,2021-08-04,0.0,02:00:00,2021-08-04 02:00:00,2.41772,261.225,2.41,263.647,2.76083,253.528,2.28905,254.271,2.42912,264.88,2.41572,248.86,2.0266,261.879,3.15407,261.932,2.25098,261.884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.1696,18.0375,18.4034,18.1749,18.166,17.8491,18.1339,18.6087,17.7896
2021-08-04 03:00:00,2021-08-04,0.0,03:00:00,2021-08-04 03:00:00,1.26555,296.083,1.26138,294.663,1.31484,267.497,0.964423,283.647,1.53035,303.565,0.660937,257.273,0.85183,288.076,2.10745,286.687,1.5466,303.258,0.509596,0.708272,0.435555,0.215405,1.24908,0.279254,0.195726,0.973351,1.49713,17.8279,17.712,18.2665,17.6772,18.0233,17.8123,17.1545,18.5263,18.0221
2021-08-04 04:00:00,2021-08-04,0.0,04:00:00,2021-08-04 04:00:00,1.26532,319.477,1.39112,308.564,1.27625,322.595,1.26727,310.905,1.27799,302.912,1.11742,327.592,1.48111,305.115,2.54852,308.172,1.27183,293.688,0.509763,0.712574,0.435555,0.215406,1.25885,0.279255,0.196031,0.973885,1.5793,17.2896,17.679,17.6136,17.091,17.5306,17.0372,17.4235,18.3551,17.4732
2021-08-04 05:00:00,2021-08-04,0.0,05:00:00,2021-08-04 05:00:00,1.56946,296.398,1.83769,287.02,2.27241,300.782,1.21374,290.478,2.23284,296.144,1.18349,300.993,1.48656,286.394,3.58715,295.738,2.28011,287.752,0.505177,0.708754,0.408181,0.144815,1.2325,0.160122,0.154028,0.964682,1.46807,16.9568,17.0456,17.4732,16.7229,17.3781,16.8391,16.8341,17.7854,17.4746
2021-08-04 06:00:00,2021-08-04,0.0,06:00:00,2021-08-04 06:00:00,1.42949,276.613,1.55881,270.599,2.15228,289.464,1.43274,292.267,1.50654,258.784,1.87647,301.199,1.09169,283.071,2.55984,275.083,1.77718,266.495,1.2786,1.35435,1.05776,0.293624,1.86746,0.17056,0.60137,2.98948,0.760149,17.1875,17.3685,17.331,17.0084,17.3893,17.1106,16.6681,17.5281,17.6011
2021-08-04 07:00:00,2021-08-04,0.0,07:00:00,2021-08-04 07:00:00,1.8384,305.596,1.83588,298.383,2.11367,313.989,1.91528,304.157,2.21665,307.6,2.01678,312.065,1.63931,299.175,3.46221,315.191,2.2642,297.127,1.97902,2.02523,1.81464,0.52857,2.8499,0.409201,0.937465,3.85259,1.24596,16.8357,16.8708,17.0856,16.6807,17.0948,16.7366,16.5881,17.6703,17.155
2021-08-04 08:00:00,2021-08-04,0.0,08:00:00,2021-08-04 08:00:00,2.02888,323.401,1.81663,320.308,2.1125,323.63,1.59186,323.28,1.77749,310.612,1.64871,335.372,1.75681,314.494,3.00416,304.531,1.6116,307.282,4.55577,3.64958,5.06551,8.82732,4.1288,6.67724,6.29279,4.28872,3.74615,16.8233,16.6892,17.1003,16.5774,17.0943,16.6689,16.7074,17.4611,17.029
2021-08-04 09:00:00,2021-08-04,0.0,09:00:00,2021-08-04 09:00:00,1.69068,303.07,1.45809,318.264,2.16724,288.116,1.37997,3.05249,2.64628,279.821,0.499436,344.946,1.91765,10.0976,4.30124,276.664,2.50252,276.26,3.44688,2.85657,4.04834,10.0783,2.29509,7.81142,7.43341,1.31801,3.1181,17.0146,16.9909,17.248,16.8241,17.162,16.8524,16.9282,17.4681,17.1846
