,Data,precipitacao_observada,Horario,Datetime,BoaVista_ws10,BoaVista_wd10,Pto N_ws10,Pto N_wd10,Pto S_ws10,Pto S_wd10,Pto E_ws10,Pto E_wd10,Pto W_ws10,Pto W_wd10,Pto SE_ws10,Pto SE_wd10,Pto NE_ws10,Pto NE_wd10,Pto SW_ws10,Pto SW_wd10,Pto NW_ws10,Pto NW_wd10,prec_prev_BoaVista,prec_prev_ptoN,prec_prev_ptoS,prec_prev_ptoE,prec_prev_ptoW,prec_prev_ptoSE,prec_prev_ptoNE,prec_prev_ptoSW,prec_prev_ptoNW,temp_prev_BoaVista,temp_prev_ptoN,temp_prev_ptoS,temp_prev_ptoE,temp_prev_ptoW,temp_prev_ptoSE,temp_prev_ptoNE,temp_prev_ptoSW,temp_prev_ptoNW
2021-08-04 00:00:00,2021-08-04,0.0,00:00:00,2021-08-04 00:00:00,2.61269,275.993,3.05716,279.223,2.22661,280.269,1.75784,261.497,2.97799,277.147,1.20176,274.306,2.50813,274.645,2.68389,279.009,2.94712,278.166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.7033,18.649,18.7552,18.7035,18.7018,18.7581,18.6465,18.751,18.6503
2021-08-04 01:00:00,2021-08-04,0.0,01:00:00,2021-08-04 01:00:00,1.64487,233.089,1.1754,235.827,2.04208,231.699,1.45361,233.639,1.66193,234.475,1.90527,231.185,1.02125,236.778,1.92575,233.209,1.41597,234.612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5152,18.5828,18.5723,18.455,18.6977,18.4157,18.4573,18.7255,18.7323
2021-08-04 02:00:00,2021-08-04,0.0,02:00:00,2021-08-04 02:00:00,2.41,263.647,2.14675,258.091,2.41772,261.225,2.0266,261.879,2.25098,261.884,2.28905,254.271,2.15455,258.001,2.42912,264.88,2.1532,253.708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0375,17.9049,18.1696,18.1339,17.7896,18.1749,18.1419,18.166,17.9149
2021-08-04 03:00:00,2021-08-04,0.0,03:00:00,2021-08-04 03:00:00,1.26138,294.663,1.1591,295.899,1.26555,296.083,0.85183,288.076,1.5466,303.258,0.964423,283.647,0.988751,297.189,1.53035,303.565,1.29038,300.698,0.708272,0.929146,0.509596,0.195726,1.49713,0.215405,0.231548,1.24908,1.60819,17.712,17.7821,17.8279,17.1545,18.0221,17.6772,17.6373,18.0233,18.1345
2021-08-04 04:00:00,2021-08-04,0.0,04:00:00,2021-08-04 04:00:00,1.39112,308.564,1.26077,291.869,1.26532,319.477,1.48111,305.115,1.27183,293.688,1.26727,310.905,1.07191,309.789,1.27799,302.912,1.53306,278.323,0.712574,0.989471,0.509763,0.196031,1.5793,0.215406,0.238892,1.25885,1.95528,17.679,17.2583,17.2896,17.4235,17.4732,17.091,17.1472,17.5306,17.5077
2021-08-04 05:00:00,2021-08-04,0.0,05:00:00,2021-08-04 05:00:00,1.83769,287.02,1.81456,282.659,1.56946,296.398,1.48656,286.394,2.28011,287.752,1.21374,290.478,2.07938,282.472,2.23284,296.144,1.78105,284.378,0.708754,0.975254,0.505177,0.154028,1.46807,0.144815,0.225275,1.2325,1.6911,17.0456,17.1486,16.9568,16.8341,17.4746,16.7229,17.4558,17.3781,17.1933
2021-08-04 06:00:00,2021-08-04,0.0,06:00:00,2021-08-04 06:00:00,1.55881,270.599,1.27184,271.567,1.42949,276.613,1.09169,283.071,1.77718,266.495,1.43274,292.267,0.872216,283.276,1.50654,258.784,1.49953,271.175,1.35435,1.00397,1.2786,0.60137,0.760149,0.293624,1.02858,1.86746,0.487658,17.3685,17.0059,17.1875,16.6681,17.6011,17.0084,16.959,17.3893,17.1338
2021-08-04 07:00:00,2021-08-04,0.0,07:00:00,2021-08-04 07:00:00,1.83588,298.383,1.68439,294.898,1.8384,305.596,1.63931,299.175,2.2642,297.127,1.91528,304.157,2.15653,296.365,2.21665,307.6,2.12505,293.547,2.02523,1.31099,1.97902,0.937465,1.24596,0.52857,1.28137,2.8499,0.263885,16.8708,16.8434,16.8357,16.5881,17.155,16.6807,17.2513,17.0948,17.1399
2021-08-04 08:00:00,2021-08-04,0.0,08:00:00,2021-08-04 08:00:00,1.81663,320.308,1.66681,319.017,2.02888,323.401,1.75681,314.494,1.6116,307.282,1.59186,323.28,2.02227,312.905,1.77749,310.612,1.67441,311.634,3.64958,2.6936,4.55577,6.29279,3.74615,8.82732,3.60719,4.1288,3.02983,16.6892,16.8421,16.8233,16.7074,17.029,16.5774,16.9783,17.0943,16.9554
2021-08-04 09:00:00,2021-08-04,0.0,09:00:00,2021-08-04 09:00:00,1.45809,318.264,1.07003,336.91,1.69068,303.07,1.91765,10.0976,2.50252,276.26,1.37997,3.05249,1.83657,8.8197,2.64628,279.821,2.05597,277.922,2.85657,3.00975,3.44688,7.43341,3.1181,10.0783,4.56317,2.29509,3.01714,16.9909,17.2074,17.0146,16.9282,17.1846,16.8241,17.1222,17.162,17.3386
