,Data,precipitacao_observada,Datetime,prec_prev_Cavalao,prec_prev_ptoN,prec_prev_ptoS,prec_prev_ptoE,prec_prev_ptoW,prec_prev_ptoSE,prec_prev_ptoNE,prec_prev_ptoSW,prec_prev_ptoNW,temp_prev_Cavalao,temp_prev_ptoN,temp_prev_ptoS,temp_prev_ptoE,temp_prev_ptoW,temp_prev_ptoSE,temp_prev_ptoNE,temp_prev_ptoSW,temp_prev_ptoNW
0,2021-08-04,0.0,2021-08-04 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.8532,18.8051,18.9,18.8614,18.8437,18.9107,18.8106,18.8879,18.7982
1,2021-08-04,0.0,2021-08-04 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2715,18.7798,18.644,18.342,19.2446,18.1167,18.5125,18.7735,19.1857
2,2021-08-04,0.0,2021-08-04 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.6143,18.4034,16.5506,16.278,18.7181,17.9218,17.8491,16.9567,18.6087
3,2021-08-04,0.0,2021-08-04 03:00:00,0.473657,0.435555,0.573021,0.29841,0.758472,0.255762,0.279254,0.751251,0.973351,19.2112,18.2665,18.6149,17.7516,19.1764,18.1445,17.8123,18.681,18.5263
4,2021-08-04,0.0,2021-08-04 04:00:00,0.473657,0.435555,0.573021,0.29841,0.758585,0.255763,0.279255,0.751255,0.973885,18.6818,17.6136,16.2372,15.7076,18.6165,15.295,17.0372,16.6407,18.3551
5,2021-08-04,0.0,2021-08-04 05:00:00,0.356825,0.408181,0.371479,0.158526,0.72463,0.179524,0.160122,0.649759,0.964682,17.9189,17.4732,16.2358,16.7025,17.9807,16.9026,16.8391,16.2359,17.7854
6,2021-08-04,0.0,2021-08-04 06:00:00,0.547214,1.05776,0.108994,0.0744082,2.81382,0.0382995,0.17056,1.38227,2.98948,17.5903,17.331,17.1799,16.9501,17.5489,16.7842,17.1106,17.1681,17.5281
7,2021-08-04,0.0,2021-08-04 07:00:00,1.86513,1.81464,1.59303,0.498565,3.44871,0.401551,0.409201,1.94981,3.85259,17.6883,17.0856,16.0388,15.4567,17.9025,14.8345,16.7366,16.0909,17.6703
8,2021-08-04,0.0,2021-08-04 08:00:00,4.25334,5.06551,2.67711,3.68471,3.61078,1.42421,6.67724,2.00742,4.28872,17.5463,17.1003,17.1102,16.6207,17.6897,16.497,16.6689,15.8937,17.4611
9,2021-08-04,0.0,2021-08-04 09:00:00,3.71964,4.04834,2.58538,4.19625,0.808434,1.44923,7.81142,0.627582,1.31801,17.551,17.248,17.0309,16.6358,17.5395,16.5104,16.8524,17.1064,17.4681
10,2021-08-04,0.0,2021-08-04 10:00:00,2.88182,3.52752,1.67985,4.89837,0.288284,1.51465,8.98289,0.307969,0.4875,17.5894,17.028,16.708,16.788,17.6311,16.3674,16.9104,17.0585,17.4462
11,2021-08-04,0.0,2021-08-04 11:00:00,0.516082,0.288808,0.616215,1.87751,0.126341,0.569928,2.88964,0.250658,0.0518122,17.6774,17.4173,17.5659,17.0482,17.7057,16.9183,17.1691,17.6211,17.6122
