,Data,precipitacao_observada,Horario,Datetime,EngMato_ws10,EngMato_wd10,Pto N_ws10,Pto N_wd10,Pto S_ws10,Pto S_wd10,Pto E_ws10,Pto E_wd10,Pto W_ws10,Pto W_wd10,Pto SE_ws10,Pto SE_wd10,Pto NE_ws10,Pto NE_wd10,Pto SW_ws10,Pto SW_wd10,Pto NW_ws10,Pto NW_wd10,prec_prev_EngMato,prec_prev_ptoN,prec_prev_ptoS,prec_prev_ptoE,prec_prev_ptoW,prec_prev_ptoSE,prec_prev_ptoNE,prec_prev_ptoSW,prec_prev_ptoNW,temp_prev_EngMato,temp_prev_ptoN,temp_prev_ptoS,temp_prev_ptoE,temp_prev_ptoW,temp_prev_ptoSE,temp_prev_ptoNE,temp_prev_ptoSW,temp_prev_ptoNW
2021-08-04 00:00:00,2021-08-04,0.0,00:00:00,2021-08-04 00:00:00,1.35108,247.623,2.20027,291.363,2.1589,303.524,0.956732,311.797,2.39921,252.916,1.58273,304.41,1.96169,291.245,2.68156,301.18,2.46633,291.526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.1021,18.1456,18.3294,19.1095,19.0937,18.3131,18.1252,18.3447,18.1652
2021-08-04 01:00:00,2021-08-04,0.0,01:00:00,2021-08-04 01:00:00,2.49017,227.79,0.679294,264.904,0.851036,239.345,2.60795,226.409,2.48619,230.511,1.11151,237.799,0.462385,268.294,1.10552,241.53,0.827901,260.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0265,18.296,18.249,16.1243,16.6654,17.6591,18.1735,18.3194,18.312
2021-08-04 02:00:00,2021-08-04,0.0,02:00:00,2021-08-04 02:00:00,2.3084,213.682,1.70023,342.766,2.14238,348.492,2.76498,207.638,2.1155,233.117,1.88524,356.396,1.44977,338.615,1.9495,338.625,1.44343,343.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.8268,17.2437,17.4518,17.1735,18.3022,17.2209,17.1992,17.2683,17.2348
2021-08-04 03:00:00,2021-08-04,0.0,03:00:00,2021-08-04 03:00:00,2.64947,234.957,1.49792,1.63663,1.35854,359.925,3.12328,241.204,2.15548,232.085,0.994539,4.21405,1.53147,359.514,1.49679,1.30154,1.3992,11.2816,0.242204,0.222762,0.187354,0.447739,0.364626,0.0943614,0.368371,0.127216,0.198333,17.3902,17.2761,17.3738,17.11,17.6404,16.5176,17.1609,17.3949,17.3285
2021-08-04 04:00:00,2021-08-04,0.0,04:00:00,2021-08-04 04:00:00,1.38015,291.552,1.81414,5.61566,1.72536,14.4837,1.73574,314.01,2.22509,234.868,2.1135,10.2474,1.81906,3.29028,1.8369,3.06546,1.77728,8.26602,0.522716,1.56688,0.466623,0.636872,0.507239,0.170143,0.71427,1.24173,1.38503,15.8929,16.6833,16.6383,14.6472,15.5768,16.3859,16.6104,16.9525,16.7472
2021-08-04 05:00:00,2021-08-04,0.0,05:00:00,2021-08-04 05:00:00,2.39385,8.67123,1.34074,26.1766,1.2647,45.9481,2.28365,343.354,2.51128,21.5176,1.86044,39.4865,1.52139,42.5205,0.892552,23.0998,1.43914,337.145,0.743711,1.4369,0.412964,0.779217,0.531553,0.121196,0.433115,1.38246,1.34871,16.0698,16.9565,16.8205,15.4764,16.6967,16.3431,16.4282,17.0772,17.3077
2021-08-04 06:00:00,2021-08-04,0.0,06:00:00,2021-08-04 06:00:00,1.69864,328.689,0.981763,358.611,1.16149,2.08716,2.66595,332.029,0.994031,318.727,1.51444,357.243,1.33003,352.72,0.897277,330.848,0.797394,317.896,0.628029,3.81276,6.05084,0.538499,0.184022,3.70816,5.78783,5.43484,1.79557,13.7811,16.9135,16.817,12.8304,15.0912,16.4037,16.821,16.8626,17.0176
2021-08-04 07:00:00,2021-08-04,0.0,07:00:00,2021-08-04 07:00:00,2.00156,2.99695,1.74416,342.717,2.1228,334.624,2.50918,347.517,0.973991,18.2084,2.17147,331.546,2.38215,326.05,1.99744,329.943,0.777182,45.0208,0.358832,6.69401,9.53471,0.387626,0.119059,6.52155,9.0999,6.93822,3.85445,13.5465,17.026,17.1397,12.6309,15.1168,16.7062,16.9851,17.1491,17.011
2021-08-04 08:00:00,2021-08-04,0.0,08:00:00,2021-08-04 08:00:00,1.5588,350.487,1.94202,296.029,1.82346,305.784,1.98043,333.082,1.46818,342.157,1.66502,304.588,1.90994,293.136,2.16716,302.421,2.14021,293.777,4.78577,6.65583,9.4317,4.23984,3.43653,6.49956,9.02648,6.73664,3.85262,15.8192,17.0115,17.3012,15.6284,16.0777,16.7547,16.8486,17.256,17.0959
2021-08-04 09:00:00,2021-08-04,0.0,09:00:00,2021-08-04 09:00:00,0.788485,330.927,1.85316,294.902,1.80783,305.4,1.37237,336.18,1.32487,257.407,1.33606,306.239,1.70437,295.005,2.09389,305.948,1.93525,297.933,4.85057,4.24681,3.77188,4.28966,3.43515,2.9038,3.66731,2.65711,3.34852,15.84,16.6122,16.9968,15.5028,14.9785,16.5199,16.5189,16.9106,16.5886
