,Data,precipitacao_observada,Horario,Datetime,Jurujuba_ws10,Jurujuba_wd10,Pto N_ws10,Pto N_wd10,Pto S_ws10,Pto S_wd10,Pto E_ws10,Pto E_wd10,Pto W_ws10,Pto W_wd10,Pto SE_ws10,Pto SE_wd10,Pto NE_ws10,Pto NE_wd10,Pto SW_ws10,Pto SW_wd10,Pto NW_ws10,Pto NW_wd10,prec_prev_Jurujuba,prec_prev_ptoN,prec_prev_ptoS,prec_prev_ptoE,prec_prev_ptoW,prec_prev_ptoSE,prec_prev_ptoNE,prec_prev_ptoSW,prec_prev_ptoNW,temp_prev_Jurujuba,temp_prev_ptoN,temp_prev_ptoS,temp_prev_ptoE,temp_prev_ptoW,temp_prev_ptoSE,temp_prev_ptoNE,temp_prev_ptoSW,temp_prev_ptoNW
2021-08-04 00:00:00,2021-08-04,0.0,00:00:00,2021-08-04 00:00:00,1.38563,302.628,2.27558,291.594,2.02655,270.341,0.741066,328.132,2.61096,295.907,2.31554,250.466,1.31349,302.925,2.351,290.582,3.05044,292.535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.9456,18.9,18.9905,18.9587,18.9312,19.006,18.9107,18.9738,18.8879
2021-08-04 01:00:00,2021-08-04,0.0,01:00:00,2021-08-04 01:00:00,2.75266,223.892,2.19622,227.053,3.26607,222.219,2.45243,222.338,3.07152,226.919,3.01352,221.774,2.05735,224.02,3.77128,223.211,2.26935,233.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.9822,18.644,18.3625,18.0065,19.1458,18.1692,18.1167,18.7802,18.7735
2021-08-04 02:00:00,2021-08-04,0.0,02:00:00,2021-08-04 02:00:00,2.58227,225.707,1.96598,253.869,4.03782,209.302,2.74157,216.582,2.28974,236.189,3.80877,208.514,2.05679,242.344,3.40083,213.515,1.85106,258.547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.9534,16.5506,18.6143,18.2627,18.4631,18.47,17.9218,16.9384,16.9567
2021-08-04 03:00:00,2021-08-04,0.0,03:00:00,2021-08-04 03:00:00,3.15497,211.191,2.60839,210.166,3.18348,212.108,2.90218,212.121,3.45043,210.554,3.03171,212.281,2.81835,212.2,3.55423,212.844,2.47667,214.504,0.689583,0.573021,0.584843,0.200009,0.973316,0.0891277,0.255762,1.12449,0.751251,18.6915,18.6149,16.5653,15.9944,18.7856,16.5513,18.1445,16.9846,18.681
2021-08-04 04:00:00,2021-08-04,0.0,04:00:00,2021-08-04 04:00:00,1.48023,255.782,1.96912,264.112,1.97078,245.453,1.87516,253.818,1.63749,267.574,2.08657,249.694,1.82949,251.16,2.33143,244.203,2.13614,286.544,0.689583,0.573021,0.584843,0.200081,0.973316,0.0904329,0.255763,1.12449,0.751255,17.7906,16.2372,15.2472,14.8047,17.7766,15.053,15.295,15.666,16.6407
2021-08-04 05:00:00,2021-08-04,0.0,05:00:00,2021-08-04 05:00:00,1.55303,294.496,2.10583,290.954,2.39676,271.381,1.56197,289.978,2.38096,288.007,1.85568,249.057,1.95838,293.201,2.64307,278.529,2.34588,290.352,0.552209,0.371479,0.538269,0.255589,0.83458,0.421149,0.179524,1.03723,0.649759,16.9498,16.2358,14.7421,16.291,17.1066,16.996,16.9026,15.0355,16.2359
2021-08-04 06:00:00,2021-08-04,0.0,06:00:00,2021-08-04 06:00:00,1.9422,289.44,2.09172,296.512,1.59813,275.151,1.35409,286.809,2.31018,295.907,1.73871,271.88,1.59662,299.636,2.07506,288.332,2.38729,298.385,0.0299161,0.108994,0.036519,0.0906759,0.420469,0.340177,0.0382995,0.201821,1.38227,17.5104,17.1799,16.7881,16.6506,17.3425,16.945,16.7842,15.8601,17.1681
2021-08-04 07:00:00,2021-08-04,0.0,07:00:00,2021-08-04 07:00:00,1.43143,315.964,2.16867,321.69,1.36463,320.888,2.05508,314.351,1.79723,312.851,2.23006,316.265,2.19451,316.294,1.16146,313.738,2.29773,317.426,0.806911,1.59303,0.216022,0.237977,0.818757,0.364587,0.401551,0.396866,1.94981,16.8105,16.0388,14.1818,13.8403,16.9424,13.9688,14.8345,14.7821,16.0909
2021-08-04 08:00:00,2021-08-04,0.0,08:00:00,2021-08-04 08:00:00,1.1173,291.33,1.46354,293.265,2.40043,242.735,1.07304,282.818,0.94122,253.027,2.73757,240.416,1.03064,301.258,3.33989,227.648,1.9613,291.175,1.04505,2.67711,0.238818,0.259949,0.863631,0.0495358,1.42421,0.414852,2.00742,17.1835,17.1102,17.2206,16.2268,17.304,17.2606,16.497,17.8325,15.8937
2021-08-04 09:00:00,2021-08-04,0.0,09:00:00,2021-08-04 09:00:00,1.0883,279.096,1.72224,281.845,2.70412,233.873,1.07282,278.351,1.80999,292.003,2.79753,228.279,0.913877,294.43,3.04388,242.193,2.81213,285.481,1.02593,2.58538,0.218992,0.259357,0.444241,0.0477686,1.44923,0.21731,0.627582,17.3696,17.0309,17.4468,16.4886,17.2476,17.4933,16.5104,17.5998,17.1064
2021-08-04 10:00:00,2021-08-04,0.0,10:00:00,2021-08-04 10:00:00,1.38563,302.628,2.27558,291.594,2.02655,270.341,0.741066,328.132,2.61096,295.907,2.31554,250.466,1.31349,302.925,2.351,290.582,3.05044,292.535,0.440773,1.67985,0.0519652,0.174896,0.237821,0.0252539,1.51465,0.0417207,0.307969,17.0104,16.708,14.6642,16.1164,17.1552,14.823,16.3674,14.8535,17.0585
2021-08-04 11:00:00,2021-08-04,0.0,11:00:00,2021-08-04 11:00:00,1.67682,292.901,2.33021,286.287,2.04549,294.019,1.71862,306.608,2.11344,285.641,2.2482,307.867,1.87379,291.821,2.32665,286.293,2.50945,285.472,0.20876,0.616215,0.0159391,0.0970347,0.192627,0.00971523,0.569928,0.0215964,0.250658,17.3517,17.5659,16.667,16.7779,17.5341,16.6619,16.9183,17.034,17.6211
2021-08-04 12:00:00,2021-08-04,0.0,12:00:00,2021-08-04 12:00:00,0.796304,351.582,0.49164,4.23816,1.11854,316.25,1.67066,286.681,0.954526,12.3181,2.24393,293.942,1.25648,261.26,0.760836,342.265,0.864907,25.5605,5.22734,4.51974,4.66657,3.29112,6.76,2.90915,2.33739,6.86491,4.43344,17.1871,16.9719,16.9012,16.5947,17.1306,17.0727,16.5369,16.9108,17.2102
2021-08-04 13:00:00,2021-08-04,0.0,13:00:00,2021-08-04 13:00:00,2.53634,230.789,0.760121,274.798,3.45934,241.822,2.55592,236.574,2.40816,228.115,3.05304,242.235,1.39184,254.739,3.8797,233.486,0.487724,323.678,5.04205,4.11206,4.65477,3.93347,6.57418,2.95604,3.24367,6.84637,4.19043,18.9482,19.25,18.2204,18.3022,19.128,18.2051,18.8017,18.5763,19.1835
