,Data,precipitacao_observada,Horario,Datetime,Maravista_ws10,Maravista_wd10,Pto N_ws10,Pto N_wd10,Pto S_ws10,Pto S_wd10,Pto E_ws10,Pto E_wd10,Pto W_ws10,Pto W_wd10,Pto SE_ws10,Pto SE_wd10,Pto NE_ws10,Pto NE_wd10,Pto SW_ws10,Pto SW_wd10,Pto NW_ws10,Pto NW_wd10,prec_prev_Maravista,prec_prev_ptoN,prec_prev_ptoS,prec_prev_ptoE,prec_prev_ptoW,prec_prev_ptoSE,prec_prev_ptoNE,prec_prev_ptoSW,prec_prev_ptoNW,temp_prev_Maravista,temp_prev_ptoN,temp_prev_ptoS,temp_prev_ptoE,temp_prev_ptoW,temp_prev_ptoSE,temp_prev_ptoNE,temp_prev_ptoSW,temp_prev_ptoNW
2021-08-04 00:00:00,2021-08-04,0.0,00:00:00,2021-08-04 00:00:00,2.49429,251.825,2.80435,285.345,3.50707,301.079,2.15722,258.502,2.72761,247.844,3.26764,298.838,2.53625,288.873,2.96991,308.514,2.35643,287.491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.076,18.205,18.3757,19.0851,19.0664,18.3603,18.1851,18.391,18.2247
2021-08-04 01:00:00,2021-08-04,0.0,01:00:00,2021-08-04 01:00:00,2.54041,229.899,0.975377,258.805,1.7631,239.444,2.42797,230.666,2.6286,229.499,1.57086,241.202,0.977303,257.814,1.46457,236.512,0.896218,260.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.8875,18.1885,17.9532,18.9094,18.8181,18.1898,18.2413,17.2324,18.1726
2021-08-04 02:00:00,2021-08-04,0.0,02:00:00,2021-08-04 02:00:00,2.28158,223.126,1.14086,318.999,1.34262,297.234,2.2873,233.551,2.64881,218.109,1.53526,308.376,1.16357,331.177,1.28712,311.575,1.1026,322.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0067,17.4172,17.1654,19.0455,19.0094,17.28,17.1775,17.0612,17.5286
2021-08-04 03:00:00,2021-08-04,0.0,03:00:00,2021-08-04 03:00:00,1.67091,232.11,1.59004,345.255,1.20426,333.685,1.91836,236.333,1.61134,220.405,1.23278,354.382,1.01013,4.6131,1.7498,320.058,1.65209,341.913,1.13823,0.269389,0.478926,0.914142,0.850374,0.334509,0.286287,0.31056,0.594652,18.4799,17.4649,16.6901,18.4726,17.8031,16.8974,17.0665,14.4821,17.4759
2021-08-04 04:00:00,2021-08-04,0.0,04:00:00,2021-08-04 04:00:00,3.36605,232.768,1.71276,18.1494,1.56832,3.32471,3.21748,230.14,2.5969,226.794,1.73193,356.296,1.68676,12.9288,1.55326,10.4119,1.64358,25.5965,1.14816,0.288174,0.564397,0.933425,0.886066,1.10831,0.497336,0.313343,0.596861,18.1597,17.0262,16.6523,18.1131,17.8895,16.8611,16.9987,14.0331,16.8996
2021-08-04 05:00:00,2021-08-04,0.0,05:00:00,2021-08-04 05:00:00,2.24923,324.659,1.56845,296.017,1.57645,298.304,1.76118,5.89273,3.09118,315.86,1.05274,311.967,1.54197,307.185,2.11499,300.812,1.86313,293.891,1.19177,0.096814,0.187458,0.90569,1.42233,1.0157,0.370386,0.191754,0.171508,17.6545,17.338,16.3614,17.4465,17.3723,17.023,17.3096,16.3715,17.4396
2021-08-04 06:00:00,2021-08-04,0.0,06:00:00,2021-08-04 06:00:00,2.16682,334.344,0.922618,328.388,0.620313,322.769,1.67991,334.885,2.28693,327.416,1.23843,303.201,0.889286,314.861,0.374754,313.455,1.31076,310.249,0.45391,1.14668,2.99671,0.116625,1.33526,2.76479,1.37118,0.99547,0.101264,17.6883,17.0846,16.5106,17.8095,17.4374,16.7585,17.0519,16.1703,17.3154
2021-08-04 07:00:00,2021-08-04,0.0,07:00:00,2021-08-04 07:00:00,2.10932,328.721,0.755983,306.471,0.988449,336.948,0.869929,343.681,2.92765,323.06,1.59324,332.397,0.678091,123.979,1.35659,326.72,1.13697,307.372,0.483853,1.29617,3.17152,0.215611,1.29959,2.64209,2.33842,1.00311,0.28332,17.1702,16.8161,16.2423,16.9692,17.4776,16.7976,17.04,13.938,16.8651
2021-08-04 08:00:00,2021-08-04,0.0,08:00:00,2021-08-04 08:00:00,2.23782,332.084,2.04907,285.017,2.65939,293.367,1.79534,331.22,2.16178,309.846,2.60983,297.385,2.42346,288.711,1.81218,290.076,1.20562,285.191,0.715869,1.29772,3.16503,1.73371,0.726846,2.50661,2.34519,1.09625,0.284401,17.1462,17.0166,16.5555,17.1638,17.3257,16.9166,17.1647,16.1421,16.5541
2021-08-04 09:00:00,2021-08-04,0.0,09:00:00,2021-08-04 09:00:00,1.94159,236.522,2.57024,304.039,2.3114,309.219,1.58173,248.701,2.99499,232.961,2.33482,306.747,2.16216,300.296,1.92375,312.379,2.75551,309.901,0.394929,1.02848,0.737551,1.65133,0.000239611,0.784565,1.51898,1.81431,1.72082,17.6401,16.8731,16.3459,17.344,18.3745,16.6247,16.6622,16.011,16.8476
