,Data,precipitacao_observada,Horario,Datetime,MdoEstado_ws10,MdoEstado_wd10,Pto N_ws10,Pto N_wd10,Pto S_ws10,Pto S_wd10,Pto E_ws10,Pto E_wd10,Pto W_ws10,Pto W_wd10,Pto SE_ws10,Pto SE_wd10,Pto NE_ws10,Pto NE_wd10,Pto SW_ws10,Pto SW_wd10,Pto NW_ws10,Pto NW_wd10,prec_prev_MdoEstado,prec_prev_ptoN,prec_prev_ptoS,prec_prev_ptoE,prec_prev_ptoW,prec_prev_ptoSE,prec_prev_ptoNE,prec_prev_ptoSW,prec_prev_ptoNW,temp_prev_MdoEstado,temp_prev_ptoN,temp_prev_ptoS,temp_prev_ptoE,temp_prev_ptoW,temp_prev_ptoSE,temp_prev_ptoNE,temp_prev_ptoSW,temp_prev_ptoNW
2021-08-04 00:00:00,2021-08-04,0.0,00:00:00,2021-08-04 00:00:00,3.94447,283.93,2.68389,279.009,4.42638,287.901,2.70274,288.384,3.71539,283.324,4.32026,290.471,2.22661,280.269,3.98852,287.878,2.50073,277.873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.7982,18.751,18.8437,18.8051,18.7897,18.8532,18.7552,18.8326,18.7451
2021-08-04 01:00:00,2021-08-04,0.0,01:00:00,2021-08-04 01:00:00,3.12225,235.01,1.92575,233.209,3.1467,236.324,2.3296,231.547,2.89507,239.766,3.39479,230.804,2.04208,231.699,2.80972,242.346,1.85421,236.577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.1857,18.7255,19.2446,18.7798,19.1707,19.2715,18.5723,19.222,18.8124
2021-08-04 02:00:00,2021-08-04,0.0,02:00:00,2021-08-04 02:00:00,3.15407,261.932,2.42912,264.88,2.804,258.346,2.76083,253.528,2.72041,269.446,3.21906,253.199,2.41772,261.225,2.85172,261.905,1.79707,266.303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.6087,18.166,18.7181,18.4034,18.5883,18.6143,18.1696,18.7586,17.9072
2021-08-04 03:00:00,2021-08-04,0.0,03:00:00,2021-08-04 03:00:00,2.10745,286.687,1.53035,303.565,2.56893,248.269,1.31484,267.497,2.27251,295.767,3.04057,230.245,1.26555,296.083,2.3644,268.803,1.78676,298.723,0.973351,1.24908,0.758472,0.435555,1.30117,0.473657,0.509596,1.23631,1.19367,18.5263,18.0233,19.1764,18.2665,18.5619,19.2112,17.8279,19.0147,18.3581
2021-08-04 04:00:00,2021-08-04,0.0,04:00:00,2021-08-04 04:00:00,2.54852,308.172,1.27799,302.912,2.92369,303.133,1.27625,322.595,2.85849,294.974,2.70438,284.489,1.26532,319.477,3.11658,308.251,1.72991,286.852,0.973885,1.25885,0.758585,0.435555,1.32325,0.473657,0.509763,1.24414,1.32512,18.3551,17.5306,18.6165,17.6136,18.3463,18.6818,17.2896,18.4755,17.7809
2021-08-04 05:00:00,2021-08-04,0.0,05:00:00,2021-08-04 05:00:00,3.58715,295.738,2.23284,296.144,4.18467,292.263,2.27241,300.782,3.76168,289.748,3.53564,297.654,1.56946,296.398,4.17646,287.352,2.20003,292.161,0.964682,1.2325,0.72463,0.408181,1.22712,0.356825,0.505177,1.20852,1.0484,17.7854,17.3781,17.9807,17.4732,17.7938,17.9189,16.9568,17.9398,17.3505
2021-08-04 06:00:00,2021-08-04,0.0,06:00:00,2021-08-04 06:00:00,2.55984,275.083,1.50654,258.784,3.17721,293.06,2.15228,289.464,2.20691,266.436,3.20881,295.779,1.42949,276.613,2.39858,294.143,1.70353,255.838,2.98948,1.86746,2.81382,1.05776,2.4862,0.547214,1.2786,4.84352,0.712388,17.5281,17.3893,17.5489,17.331,17.5888,17.5903,17.1875,17.5926,17.6108
2021-08-04 07:00:00,2021-08-04,0.0,07:00:00,2021-08-04 07:00:00,3.46221,315.191,2.21665,307.6,3.90855,317.909,2.11367,313.989,3.93075,309.403,3.20804,319.408,1.8384,305.596,4.44658,309.757,2.67885,306.588,3.85259,2.8499,3.44871,1.81464,2.93382,1.86513,1.97902,5.04749,0.90433,17.6703,17.0948,17.9025,17.0856,17.7352,17.6883,16.8357,17.8688,17.2942
2021-08-04 08:00:00,2021-08-04,0.0,08:00:00,2021-08-04 08:00:00,3.00416,304.531,1.77749,310.612,3.59706,298.476,2.1125,323.63,3.46596,284.567,2.66851,312.918,2.02888,323.401,3.7509,283.636,2.38716,288.191,4.28872,4.1288,3.61078,5.06551,5.00665,4.25334,4.55577,6.01013,4.2714,17.4611,17.0943,17.6897,17.1003,17.5051,17.5463,16.8233,17.7533,17.3428
2021-08-04 09:00:00,2021-08-04,0.0,09:00:00,2021-08-04 09:00:00,4.30124,276.664,2.64628,279.821,4.46622,276.411,2.16724,288.116,4.62527,276.752,3.68239,278.462,1.69068,303.07,4.35041,280.58,3.31067,274.997,1.31801,2.29509,0.808434,4.04834,2.54941,3.71964,3.44688,1.17507,3.71914,17.4681,17.162,17.5395,17.248,17.3972,17.551,17.0146,17.4536,17.2208
