,Data,precipitacao_observada,Horario,Datetime,Piratin2_ws10,Piratin2_wd10,Pto N_ws10,Pto N_wd10,Pto S_ws10,Pto S_wd10,Pto E_ws10,Pto E_wd10,Pto W_ws10,Pto W_wd10,Pto SE_ws10,Pto SE_wd10,Pto NE_ws10,Pto NE_wd10,Pto SW_ws10,Pto SW_wd10,Pto NW_ws10,Pto NW_wd10,prec_prev_Piratin2,prec_prev_ptoN,prec_prev_ptoS,prec_prev_ptoE,prec_prev_ptoW,prec_prev_ptoSE,prec_prev_ptoNE,prec_prev_ptoSW,prec_prev_ptoNW,temp_prev_Piratin2,temp_prev_ptoN,temp_prev_ptoS,temp_prev_ptoE,temp_prev_ptoW,temp_prev_ptoSE,temp_prev_ptoNE,temp_prev_ptoSW,temp_prev_ptoNW
2021-08-04 00:00:00,2021-08-04,0.0,00:00:00,2021-08-04 00:00:00,3.64997,229.016,2.31554,250.466,5.31722,228.597,3.7165,229.474,3.068,237.378,5.42049,233.381,2.36308,244.923,5.17046,224.822,2.02655,270.341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0525,19.006,19.0986,19.0687,19.0349,19.1168,19.0201,19.0792,18.9905
2021-08-04 01:00:00,2021-08-04,0.0,01:00:00,2021-08-04 01:00:00,3.69807,223.354,3.01352,221.774,4.99303,225.745,3.38938,225.817,3.72439,222.442,4.96699,227.491,2.90034,223.948,4.93673,224.084,3.26607,222.219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.366,18.1692,19.7549,19.2462,18.502,19.8347,18.2446,19.632,18.3625
2021-08-04 02:00:00,2021-08-04,0.0,02:00:00,2021-08-04 02:00:00,4.5518,214.366,3.80877,208.514,5.65809,216.255,3.64955,217.256,4.38479,210.115,5.48364,219.148,3.92201,212.919,5.31587,211.86,4.03782,209.302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.8195,18.47,19.8321,19.0687,18.6866,19.8791,18.6951,19.6586,18.6143
2021-08-04 03:00:00,2021-08-04,0.0,03:00:00,2021-08-04 03:00:00,3.73049,214.749,3.03171,212.281,5.31192,217.157,3.49142,216.443,3.55838,213.267,5.19679,217.801,3.05481,215.313,5.38362,216.033,3.18348,212.108,0.00676047,0.0891277,0.00278724,0.0285609,0.20484,0.0640554,0.012413,0.0317151,0.584843,16.5387,16.5513,19.6886,18.9848,16.7989,19.7627,16.5023,19.5593,16.5653
2021-08-04 04:00:00,2021-08-04,0.0,04:00:00,2021-08-04 04:00:00,2.29539,233.363,2.08657,249.694,4.27411,221.262,1.41203,219.116,2.60275,235.54,2.79782,210.64,2.08402,254.267,4.27412,228.295,1.97078,245.453,0.0122551,0.0904329,0.0150527,0.0351265,0.204841,0.0794957,0.0141565,0.0317204,0.584843,17.7895,15.053,19.7603,18.05,15.624,19.562,15.4739,19.529,15.2472
2021-08-04 05:00:00,2021-08-04,0.0,05:00:00,2021-08-04 05:00:00,3.60729,224.138,1.85568,249.057,4.91376,229.269,1.47325,233.505,3.25448,237.077,4.64595,226.066,1.18407,295.776,4.8921,225.526,2.39676,271.381,0.655639,0.421149,0.438798,3.21623,0.21626,1.68727,3.03667,0.0486379,0.538269,18.1124,16.996,19.2794,18.3829,17.8622,19.4727,17.0285,19.2303,14.7421
2021-08-04 06:00:00,2021-08-04,0.0,06:00:00,2021-08-04 06:00:00,2.56779,266.975,1.73871,271.88,3.48339,253.763,2.33413,271.305,2.09324,265.606,3.6704,257.892,2.46972,272.438,3.02616,252.453,1.59813,275.151,0.652622,0.340177,0.44264,3.21196,0.0429772,1.68228,3.03203,0.0325409,0.036519,15.1454,16.945,18.942,17.8635,15.0255,18.9584,15.1831,18.8189,16.7881
2021-08-04 07:00:00,2021-08-04,0.0,07:00:00,2021-08-04 07:00:00,2.41393,308.273,2.23006,316.265,2.82728,241.761,2.7535,311.535,1.06116,270.656,2.94996,264.448,2.56254,316.169,3.78211,215.665,1.36463,320.888,0.653462,0.364587,0.430783,3.20566,0.0688229,1.66687,3.03095,0.0331616,0.216022,14.4277,13.9688,18.9274,17.2177,15.5739,18.7449,14.6863,19.1572,14.1818
2021-08-04 08:00:00,2021-08-04,0.0,08:00:00,2021-08-04 08:00:00,4.36293,226.856,2.73757,240.416,5.40356,229.909,3.98827,227.986,4.22365,226.951,5.51485,231.839,3.01413,234.711,5.21104,228.104,2.40043,242.735,0.0109991,0.0495358,0.00461593,0.00167751,0.0452002,0.000832558,0.0100462,0.0110773,0.238818,17.8427,17.2606,19.2121,18.6182,17.8917,19.2862,17.3768,19.1183,17.2206
2021-08-04 09:00:00,2021-08-04,0.0,09:00:00,2021-08-04 09:00:00,4.29001,217.64,2.79753,228.279,5.83584,224.33,3.7603,221.172,4.64022,218.555,5.65003,225.066,3.01995,225.533,6.06357,223.677,2.70412,233.873,0.00831074,0.0477686,0.000425279,0.000739336,0.0278289,3.38554e-05,0.00613379,0.000674427,0.218992,17.874,17.4933,19.2728,18.6313,17.9868,19.3599,15.705,19.1134,17.4468
2021-08-04 10:00:00,2021-08-04,0.0,10:00:00,2021-08-04 10:00:00,3.64997,229.016,2.31554,250.466,5.31722,228.597,3.7165,229.474,3.068,237.378,5.42049,233.381,2.36308,244.923,5.17046,224.822,2.02655,270.341,0.00233781,0.0252539,1.67787e-05,0.000498533,0.00292704,2.26498e-06,0.00611806,5.5857e-05,0.0519652,16.4053,14.823,19.0352,18.5744,15.8226,19.1203,16.5771,18.9475,14.6642
