,Data,precipitacao_observada,Horario,Datetime,StaBarbara_ws10,StaBarbara_wd10,Pto N_ws10,Pto N_wd10,Pto S_ws10,Pto S_wd10,Pto E_ws10,Pto E_wd10,Pto W_ws10,Pto W_wd10,Pto SE_ws10,Pto SE_wd10,Pto NE_ws10,Pto NE_wd10,Pto SW_ws10,Pto SW_wd10,Pto NW_ws10,Pto NW_wd10,prec_prev_StaBarbara,prec_prev_ptoN,prec_prev_ptoS,prec_prev_ptoE,prec_prev_ptoW,prec_prev_ptoSE,prec_prev_ptoNE,prec_prev_ptoSW,prec_prev_ptoNW,temp_prev_StaBarbara,temp_prev_ptoN,temp_prev_ptoS,temp_prev_ptoE,temp_prev_ptoW,temp_prev_ptoSE,temp_prev_ptoNE,temp_prev_ptoSW,temp_prev_ptoNW
2021-08-04 00:00:00,2021-08-04,0.0,00:00:00,2021-08-04 00:00:00,2.68351,314.05,3.43144,314.364,2.73317,308.133,3.17826,313.713,2.54738,324.896,2.70312,315.193,3.49832,311.401,2.53883,307.011,2.89542,330.177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.618,18.5451,18.6884,18.6103,18.6253,18.6832,18.5348,18.693,18.555
2021-08-04 01:00:00,2021-08-04,0.0,01:00:00,2021-08-04 01:00:00,1.66023,245.814,1.75382,241.861,1.74331,244.408,1.59993,245.867,1.62881,243.006,1.74694,241.646,1.595,245.048,1.75261,245.045,1.51056,237.141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.2098,17.7443,17.037,18.0504,17.723,17.1061,17.4761,16.9905,16.7142
2021-08-04 02:00:00,2021-08-04,0.0,02:00:00,2021-08-04 02:00:00,2.50854,265.208,2.06318,269.084,1.90974,269.873,2.21385,264.83,1.66994,261.818,1.75939,260.89,2.26419,277.871,2.22447,267.442,1.80616,254.831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0356,17.1329,17.4631,17.839,16.9603,17.6263,15.5096,14.9302,16.1833
2021-08-04 03:00:00,2021-08-04,0.0,03:00:00,2021-08-04 03:00:00,2.00401,292.632,1.80244,302.58,1.92056,288.528,1.34031,328.211,1.98498,286.382,1.27375,310.4,2.22703,326.903,1.87042,290.529,1.59212,287.796,0.214681,0.327758,0.136654,0.217408,0.436085,0.3084,0.290437,0.21518,0.648998,14.7799,16.8011,14.9401,17.2589,17.2896,17.0496,15.0805,16.7242,16.3611
2021-08-04 04:00:00,2021-08-04,0.0,04:00:00,2021-08-04 04:00:00,1.953,345.48,2.14695,345.812,1.86344,349.53,1.87154,351.939,2.01953,338.729,1.53133,1.77457,1.71342,346.998,2.47443,332.159,1.87488,347.962,0.217965,0.328781,0.140306,0.333937,0.436161,0.348669,0.427831,0.215199,0.649183,16.3541,16.506,16.6504,17.0745,16.3652,16.8534,16.6439,14.2666,13.2399
2021-08-04 05:00:00,2021-08-04,0.0,05:00:00,2021-08-04 05:00:00,0.996641,299.862,2.56653,309.659,1.74097,119.977,1.58046,125.773,2.19652,302.58,1.88618,114.417,0.553953,319.674,0.608513,289.314,2.55183,305.848,0.403324,0.0839155,1.60653,1.51283,0.0632612,3.65485,0.644273,0.308299,0.0559521,14.4055,16.219,14.3609,16.2883,16.2451,15.4274,16.1755,14.5648,13.597
2021-08-04 06:00:00,2021-08-04,0.0,06:00:00,2021-08-04 06:00:00,1.22357,323.717,1.1462,335.875,1.23656,318.594,1.49393,347.904,1.55639,299.018,0.970978,10.6287,1.74872,333.103,2.01906,298.478,0.450982,281.799,3.95928,3.43152,4.87793,4.76695,1.50039,6.90144,3.42772,2.78351,0.490079,16.4546,16.5193,16.5988,16.9431,16.5294,16.5742,16.5351,16.4456,16.0023
2021-08-04 07:00:00,2021-08-04,0.0,07:00:00,2021-08-04 07:00:00,2.00226,326.735,1.81293,329.827,1.33031,335.208,1.70688,342.829,2.08538,310.727,1.27479,349.541,1.7849,344.876,2.12408,313.296,2.32501,308.673,3.98556,3.45578,4.90336,4.77073,1.51152,7.0341,3.39262,2.8065,0.495555,13.9459,16.0746,14.1606,16.7978,16.1581,14.3922,16.4279,13.8602,13.0666
2021-08-04 08:00:00,2021-08-04,0.0,08:00:00,2021-08-04 08:00:00,2.83541,304.617,2.99954,297.673,2.67647,305.869,2.47821,302.962,2.82518,313.438,1.95405,298.692,3.0823,299.238,2.88645,316.262,2.4156,301.641,3.63271,3.4565,3.36594,3.48189,1.66187,3.51404,2.97077,2.61315,1.17824,16.1391,16.2191,16.2017,16.5589,16.2715,14.3152,16.4118,16.0559,15.6548
2021-08-04 09:00:00,2021-08-04,0.0,09:00:00,2021-08-04 09:00:00,2.04747,305.865,2.57538,306.29,2.60647,305.638,1.95246,311.126,2.57894,308.642,2.20646,311.988,2.17071,310.134,2.82233,306.289,2.26193,307.022,0.206759,0.436252,0.105992,0.145181,1.15852,0.185133,0.150833,0.558363,2.33124,15.8442,16.2695,14.0876,16.5348,16.3433,14.1245,16.1139,13.735,15.6474
