"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2022";"0000";"24,7";"25,0";"24,7";"88,0";"89,0";"86,0";"22,6";"22,8";"22,4";"1008,8";"1008,8";"1008,2";"1,4";"66,0";"4,6";"";"0,0"
"01/01/2022";"0100";"24,6";"25,0";"24,6";"87,0";"89,0";"84,0";"22,3";"22,7";"22,1";"1009,0";"1009,1";"1008,7";"0,7";"74,0";"5,2";"";"0,2"
"01/01/2022";"0200";"23,4";"24,7";"23,3";"100,0";"100,0";"86,0";"23,3";"23,3";"22,1";"1009,3";"1009,6";"1009,0";"0,3";"39,0";"2,1";"";"0,4"
"01/01/2022";"0300";"24,0";"24,2";"23,1";"84,0";"100,0";"83,0";"21,1";"23,3";"21,1";"1007,9";"1009,4";"1007,9";"2,4";"75,0";"6,2";"";"0,2"
"01/01/2022";"0400";"23,9";"24,0";"22,9";"81,0";"94,0";"79,0";"20,5";"21,9";"20,2";"1007,5";"1007,9";"1007,5";"1,3";"53,0";"6,2";"";"0,0"
"01/01/2022";"0500";"23,1";"23,9";"22,8";"92,0";"93,0";"81,0";"21,7";"21,7";"20,0";"1007,6";"1007,6";"1007,5";"1,7";"220,0";"3,3";"";"0,4"
"01/01/2022";"0600";"23,4";"23,4";"22,9";"95,0";"99,0";"92,0";"22,6";"22,9";"21,7";"1007,3";"1007,7";"1007,3";"1,4";"131,0";"3,0";"";"0,0"
"01/01/2022";"0700";"23,3";"23,7";"23,3";"96,0";"97,0";"95,0";"22,6";"23,0";"22,5";"1007,7";"1007,7";"1007,1";"0,8";"196,0";"3,3";"";"0,2"
"01/01/2022";"0800";"23,0";"23,3";"23,0";"98,0";"98,0";"93,0";"22,7";"22,7";"22,0";"1007,6";"1007,9";"1007,5";"1,4";"135,0";"4,4";"";"1,2"
"01/01/2022";"0900";"22,8";"23,2";"22,7";"100,0";"100,0";"97,0";"22,8";"22,9";"22,7";"1008,2";"1008,2";"1007,5";"0,4";"53,0";"3,0";"19,70";"0,0"
"01/01/2022";"1000";"23,3";"23,3";"22,8";"100,0";"100,0";"100,0";"23,3";"23,3";"22,8";"1008,7";"1008,7";"1008,2";"0,2";"56,0";"1,6";"182,80";"0,2"
"01/01/2022";"1100";"24,5";"24,5";"23,3";"97,0";"100,0";"97,0";"24,0";"24,1";"23,3";"1009,0";"1009,1";"1008,7";"0,5";"97,0";"0,9";"413,40";"0,0"
"01/01/2022";"1200";"25,7";"25,9";"24,5";"87,0";"97,0";"87,0";"23,4";"24,7";"23,3";"1009,4";"1009,6";"1009,0";"0,9";"251,0";"1,9";"781,10";"0,0"
"01/01/2022";"1300";"27,3";"27,3";"25,7";"83,0";"91,0";"83,0";"24,2";"25,3";"23,4";"1009,8";"1009,8";"1009,4";"0,5";"292,0";"1,9";"1036,90";"0,0"
"01/01/2022";"1400";"28,2";"28,2";"26,7";"81,0";"94,0";"81,0";"24,6";"26,2";"23,9";"1009,6";"1009,9";"1009,6";"0,7";"206,0";"1,7";"1171,50";"0,0"
