,DATA,HORA,Barreto,Pto N,Pto S,Pto E,Pto W,Pto SE,Pto NE,Pto SW,Pto NW
0,20210828,1,22.1973,22.2463,22.1433,22.168,22.2254,22.1163,22.2148,22.1691,22.2767
1,20210828,2,21.9764,22.179,21.792,21.5917,22.1755,21.5623,21.8193,21.8821,22.351
2,20210828,3,21.5136,21.6718,21.391,21.2407,21.7176,21.1611,21.4636,21.5483,21.8153
3,20210828,4,21.237,21.2989,21.1055,20.935,21.2868,20.8896,21.0159,21.2255,21.2069
4,20210828,5,21.0367,21.0859,21.011,20.6628,21.0564,20.7052,20.77,21.0178,20.9852
5,20210828,6,20.7243,20.8252,20.6882,20.2508,20.9431,20.296,20.3678,20.8343,20.9451
6,20210828,7,20.3596,20.4226,20.31,20.0152,20.5859,20.0567,20.0738,20.5057,20.6246
7,20210828,8,20.3566,20.3521,20.2358,20.1399,20.4624,20.1317,20.0524,20.3936,20.4119
8,20210828,9,20.4728,20.5031,20.4322,20.1872,20.6183,20.1923,20.2647,20.5308,20.5853
9,20210828,10,20.2981,20.4574,20.2173,20.1217,20.4183,20.0437,20.2027,20.3349,20.4753
10,20210828,11,20.229,20.3241,20.1763,19.9669,20.3684,19.966,20.0526,20.2852,20.4291
11,20210828,12,20.7342,20.7776,20.7234,20.4464,20.8939,20.4956,20.5262,20.8059,20.8659
12,20210828,13,21.8486,21.8008,21.8299,21.5392,21.976,21.5978,21.6087,21.8893,21.8172
13,20210828,14,22.816,22.8809,22.8645,22.6366,22.8509,22.6434,22.7512,22.7618,22.912
14,20210828,15,23.1775,23.5016,23.0849,22.7945,23.3056,22.8474,23.1029,22.9104,23.6419
15,20210828,16,24.4102,24.6429,24.2413,24.0053,24.4288,23.9548,24.2731,24.1624,24.6664
16,20210828,17,24.2519,24.5248,24.0342,23.7796,24.2776,23.8304,24.0351,23.9402,24.5302
17,20210828,18,23.7733,23.9872,23.5924,23.3733,23.8634,23.3045,23.635,23.5451,24.0891
18,20210828,19,23.6338,23.8523,23.4477,23.2881,23.7607,23.2161,23.5519,23.4525,23.9778
19,20210828,20,23.1866,23.367,23.0284,22.7784,23.3715,22.7475,22.9973,23.0871,23.545
20,20210828,21,22.3952,22.4952,22.247,21.8542,22.6252,21.8815,22.0623,22.3274,22.795
21,20210828,22,21.7266,21.815,21.7036,21.2621,22.0184,21.3846,21.4248,21.8721,22.0623
22,20210828,23,21.7249,21.8141,21.6758,21.2471,21.9839,21.3336,21.4047,21.7842,22.0737
23,20210828,24,21.6532,21.7682,21.6245,21.1325,21.9475,21.2068,21.2905,21.8052,21.9974
24,20210828,25,21.696,21.7598,21.6389,21.1906,21.8534,21.3518,21.3148,21.681,21.9716
25,20210828,26,21.5541,21.6191,21.4192,21.1074,21.739,21.0588,21.2113,21.5337,21.8937
26,20210828,27,21.3394,21.5144,21.2912,20.919,21.5935,20.9703,21.1749,21.4038,21.6574
27,20210828,28,21.2978,21.3435,21.2728,20.8871,21.4836,20.9569,20.9669,21.3614,21.508
28,20210828,29,21.0082,21.0874,21.0434,20.6234,21.2388,20.7752,20.7285,21.2398,21.278
29,20210828,30,20.776,20.8357,20.6429,20.1742,21.0995,20.1932,20.2827,20.9703,21.1041
30,20210828,31,20.343,20.5564,20.1277,19.9226,20.6501,19.8751,20.0926,20.334,20.8239
31,20210828,32,19.9231,20.3896,19.6437,19.6452,20.2982,19.3142,19.9431,20.0058,20.5952
32,20210828,33,20.1471,20.4159,19.9878,19.7955,20.3778,19.6473,20.0786,20.2655,20.5555
33,20210828,34,20.3376,20.4642,20.1032,19.9552,20.5309,19.8028,19.9622,20.3127,20.658
34,20210828,35,20.2146,20.2162,20.0464,19.8101,20.4027,19.8041,19.7814,20.1508,20.4743
35,20210828,36,20.8051,20.7484,20.755,20.4677,21.0093,20.5021,20.3684,20.8055,20.9447
36,20210828,37,22.0135,22.0395,21.9443,21.5855,22.2301,21.6647,21.699,22.0755,22.2145
37,20210828,38,22.5847,22.6574,22.5588,22.4937,22.8857,22.6103,22.5663,22.7955,22.6825
38,20210828,39,23.7356,23.9879,23.5097,23.0789,24.0621,22.7161,23.4824,23.7459,24.093
39,20210828,40,24.5992,24.9687,24.3632,24.0633,24.6932,23.9122,24.3969,24.3643,25.0575
40,20210828,41,25.0088,25.2381,24.692,24.6947,25.132,24.5343,24.8816,24.7979,25.3678
41,20210828,42,25.0081,25.1972,24.7975,24.5489,25.2248,24.4702,24.7443,24.9235,25.4338
42,20210828,43,24.6784,24.8201,24.5301,24.1938,24.9326,24.1669,24.3565,24.687,25.0827
43,20210828,44,24.1388,24.2846,24.0571,23.6385,24.443,23.6462,23.805,24.2747,24.5764
44,20210828,45,22.8867,23.0589,22.832,22.3889,23.2265,22.3824,22.5818,23.1219,23.3687
45,20210828,46,21.5396,21.7729,21.4402,21.0588,21.8467,21.0043,21.2883,21.7278,22.0729
46,20210828,47,21.0851,21.3268,20.9313,20.6106,21.3673,20.536,20.8636,21.1733,21.6063
47,20210828,48,20.7005,20.8603,20.4753,20.2397,20.9655,20.1253,20.4084,20.6715,21.1434
