,DATA,HORA,Barreto_ws10,Barreto_wd10,Pto N_ws10,Pto N_wd10,Pto S_ws10,Pto S_wd10,Pto E_ws10,Pto E_wd10,Pto W_ws10,Pto W_wd10,Pto SE_ws10,Pto SE_wd10,Pto NE_ws10,Pto NE_wd10,Pto SW_ws10,Pto SW_wd10,Pto NW_ws10,Pto NW_wd10
0,20210906,1,0.958391,224.114,1.0215,215.537,1.01003,236.914,1.03642,228.55,0.941648,221.813,0.960823,242.048,1.22049,219.72,1.14507,234.847,0.8858,212.712
1,20210906,2,1.71777,138.832,1.13581,132.742,1.94335,126.465,1.63631,134.005,1.6881,128.558,2.05196,132.878,1.15691,115.98,1.76182,113.836,1.34168,134.307
2,20210906,3,2.27082,189.306,1.94442,188.509,2.81663,187.214,1.9279,171.561,3.11013,194.384,2.21618,172.229,1.82401,174.784,3.49773,189.964,2.71703,195.506
3,20210906,4,2.05707,187.814,2.01425,195.295,2.03724,182.612,2.06925,180.131,2.09173,190.252,1.96557,175.037,1.9968,191.474,2.17893,186.068,2.0687,195.347
4,20210906,5,1.10286,135.143,0.793673,148.297,1.20967,123.91,1.43527,124.247,0.991496,140.324,1.53445,114.657,1.12094,133.794,1.06808,134.989,0.885196,148.622
5,20210906,6,0.183991,329.372,0.810624,313.091,0.353875,105.825,0.443599,84.9365,0.365224,260.155,0.741785,94.5541,0.348809,329.253,0.138888,174.95,0.552468,270.052
6,20210906,7,0.639837,354.9,0.575554,4.0759,0.56493,344.999,0.678846,359.035,0.43732,341.499,0.781222,344.79,0.538741,1.58838,0.467806,339.586,0.508566,359.746
7,20210906,8,0.649837,19.1308,0.71032,24.7827,0.50802,23.6906,0.662113,12.6481,0.615297,24.8893,0.533803,13.9824,0.652829,24.6573,0.495759,34.0325,0.673794,24.0091
8,20210906,9,0.631058,1.19998,0.525576,19.5543,0.680593,351.622,0.666969,347.276,0.581196,14.0385,0.754267,341.34,0.447204,3.0795,0.595477,4.18823,0.556756,30.594
9,20210906,10,0.259226,221.69,0.394018,220.621,0.274472,225.888,0.387943,246.116,0.279201,203.854,0.360186,261.747,0.576171,227.373,0.383212,208.764,0.335391,218.473
10,20210906,11,0.958391,224.114,1.0215,215.537,1.01003,236.914,1.03642,228.55,0.941648,221.813,0.960823,242.048,1.22049,219.72,1.14507,234.847,0.8858,212.712
11,20210906,12,1.37169,219.196,1.3831,221.514,1.35167,217.755,1.53738,223.532,1.31152,216.88,1.46105,224.103,1.66534,222.116,1.35822,212.754,1.18229,228.129
12,20210906,13,3.58326,196.96,3.46135,196.121,3.4327,199.14,3.63618,203.125,3.45127,190.71,3.38843,204.486,3.71288,202.319,3.46065,192.486,3.28233,191.949
13,20210906,14,3.52447,188.776,3.67431,187.073,3.39608,193.283,3.45425,193.918,3.63414,187.624,3.19462,199.881,3.72239,191.94,3.63796,190.098,3.68321,185.938
14,20210906,15,3.76761,196.121,3.74725,195.695,3.77884,197.049,3.70941,200.586,3.9432,193.332,3.61521,203.257,3.7611,198.974,4.02709,193.217,3.8919,193.099
15,20210906,16,4.30812,193.476,4.25108,192.355,4.37032,195.147,4.19318,199.308,4.45616,188.966,4.13264,201.162,4.18072,198.304,4.55524,189.755,4.42784,187.868
16,20210906,17,4.72431,194.159,4.67508,193.078,4.77597,195.491,4.61841,198.189,4.80156,189.728,4.54015,198.891,4.62249,197.831,4.91445,190.764,4.81492,188.153
17,20210906,18,5.42147,189.739,5.30267,188.992,5.44307,191.032,5.08723,190.082,5.62527,187.94,4.96649,191.362,5.09326,190.461,5.69089,188.392,5.5401,187.041
18,20210906,19,5.43288,181.772,5.4736,182.304,5.34095,181.809,5.38282,181.836,5.4728,182.414,5.14513,181.81,5.49223,183.462,5.47805,182.673,5.50609,181.993
19,20210906,20,5.11359,180.216,5.10222,181.688,5.14745,180.0,5.0757,178.008,5.16347,181.966,4.94542,177.713,5.14278,180.521,5.33524,181.773,5.14189,182.446
20,20210906,21,4.5695,174.828,4.50822,175.68,4.54755,175.37,4.62282,173.24,4.5948,175.695,4.43551,173.433,4.58565,175.22,4.71263,176.798,4.5492,175.34
21,20210906,22,4.00346,175.653,3.88027,176.35,4.04663,176.357,3.94895,174.739,3.9405,175.03,3.80474,175.177,3.86619,176.596,4.13178,176.274,3.83542,174.716
22,20210906,23,3.69785,174.954,3.56228,174.64,3.8852,176.962,3.61377,170.301,3.61607,176.897,3.36996,169.813,3.76192,175.502,3.73068,176.191,3.54553,176.754
23,20210906,24,2.98995,169.342,2.85458,169.376,3.10029,169.953,3.04294,168.703,3.06848,167.971,2.9936,168.708,2.93319,170.555,3.24761,167.918,2.92183,167.641
24,20210906,25,2.5189,177.556,2.50773,179.988,2.59279,179.153,2.50418,177.195,2.41488,177.698,2.405,176.542,2.60132,182.904,2.56167,180.119,2.38583,176.415
25,20210906,26,2.48239,170.586,2.41435,172.673,2.59858,165.938,2.72934,164.868,2.49588,172.425,2.92175,160.847,2.32108,166.719,2.50641,171.736,2.64193,171.415
26,20210906,27,1.27815,153.242,1.02528,154.404,1.72532,153.939,1.68496,147.198,1.38163,156.648,2.01186,145.996,1.27966,155.147,1.86496,157.658,1.09425,152.742
27,20210906,28,1.50735,141.816,1.48125,145.174,1.39684,139.719,1.59776,141.374,1.55196,141.244,1.49935,134.287,1.55216,146.528,1.54583,144.33,1.4916,142.725
28,20210906,29,2.12728,158.341,1.96744,166.473,2.15415,154.311,2.62593,148.975,1.80804,160.476,2.55933,146.253,2.25773,156.76,1.90175,158.017,1.78088,164.241
29,20210906,30,0.215049,60.9168,0.495634,37.995,0.632154,152.825,0.31706,52.6463,0.455647,124.739,0.702465,135.239,0.897198,18.5198,1.09499,156.521,0.417751,83.3816
30,20210906,31,1.11838,102.023,1.08225,113.919,0.9522,99.4086,1.37889,96.787,1.15022,97.182,1.07184,97.7825,1.34743,106.215,1.06164,84.9035,1.11513,113.123
31,20210906,32,1.06346,110.196,0.933347,107.832,1.07579,107.409,1.53702,104.882,0.784063,113.539,1.38881,100.956,1.53571,111.173,0.96017,107.504,0.684413,101.566
32,20210906,33,1.5373,119.082,1.18743,124.841,1.58095,122.066,1.97124,113.289,1.32248,128.575,1.80985,113.076,1.90227,121.454,1.55138,130.622,0.936931,129.518
