,Data,precipitacao_obsevada,Horario,Barreto_ws10,Barreto_wd10,Pto N_ws10,Pto N_wd10,Pto S_ws10,Pto S_wd10,Pto E_ws10,Pto E_wd10,Pto W_ws10,Pto W_wd10,Pto SE_ws10,Pto SE_wd10,Pto NE_ws10,Pto NE_wd10,Pto SW_ws10,Pto SW_wd10,Pto NW_ws10,Pto NW_wd10,prec_prev_Barreto,prec_prev_ptoN,prec_prev_ptoS,prec_prev_ptoE,prec_prev_ptoW,prec_prev_ptoSE,prec_prev_ptoNE,prec_prev_ptoSW,prec_prev_ptoNW,temp_prev_Barreto,temp_prev_ptoN,temp_prev_ptoS,temp_prev_ptoE,temp_prev_ptoW,temp_prev_ptoSE,temp_prev_ptoNE,temp_prev_ptoSW,temp_prev_ptoNW
25433,2021-10-01,0.0,00:00:00,2.53899,72.6534,2.82843,68.9479,1.93275,78.2987,4.28,76.8186,1.24516,66.5497,3.77078,78.4428,3.99664,76.9837,0.898539,73.1495,1.7823,63.2127,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,21.3018,21.351,21.2489,21.276,21.3272,21.2226,21.3259,21.2751,21.3757
25434,2021-10-01,0.0,01:00:00,2.77423,98.5769,2.83451,95.7515,2.97014,100.845,3.31091,98.2889,2.49994,99.4619,3.38174,100.091,3.25846,96.5904,2.75367,100.529,2.61193,96.1591,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,21.098,21.1783,20.8948,20.696,21.3082,20.6159,20.7879,21.016,21.4031
25435,2021-10-01,0.0,02:00:00,2.64917,90.0497,2.72297,87.6494,2.48162,92.4494,3.18277,89.7932,2.29492,90.966,2.90329,91.3555,3.1818,89.1638,2.30677,92.0813,2.42416,87.8105,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,20.6547,20.7288,20.4472,20.2281,20.889,20.1777,20.3314,20.5778,20.9758
21763,2021-10-01,0.0,03:00:00,2.47108,92.515,2.70567,89.1249,2.29802,99.2526,3.05748,91.508,2.14269,93.0755,2.68018,96.4059,3.22885,91.0438,2.10706,99.0142,2.36915,89.1996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.3777,20.4139,20.2266,19.9575,20.6137,19.933,20.0384,20.3837,20.6363
21764,2021-10-01,0.0,04:00:00,2.70477,103.726,2.39931,103.321,2.96298,102.98,3.41236,103.909,2.04668,105.32,3.55692,102.058,3.13055,106.654,2.41864,102.74,1.76402,102.509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.188,20.3347,19.9644,19.7971,20.3561,19.7122,19.9413,20.0673,20.539
21765,2021-10-01,0.0,05:00:00,3.06398,75.5489,2.89189,72.2864,2.80549,81.1823,3.85758,78.5574,2.53225,72.5432,3.49054,82.7505,3.58645,76.6921,2.37368,74.6566,2.37115,70.2178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.2631,20.3294,20.2849,19.8179,20.5099,19.9417,19.9311,20.4243,20.553
21766,2021-10-01,0.0,06:00:00,3.24875,99.5769,3.41486,94.6724,3.15639,103.138,4.37323,98.1028,2.25279,102.508,3.95636,100.528,4.47809,96.7055,2.37625,105.064,2.35082,96.8201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0132,20.1234,19.8229,19.6205,20.2366,19.536,19.7639,19.9819,20.3304
21767,2021-10-01,0.0,07:00:00,1.3164,241.827,0.990806,228.437,0.861122,232.025,1.01613,120.816,0.639635,224.952,1.169,114.758,1.77964,104.816,0.480864,199.832,0.891835,225.078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.8346,19.9453,19.7099,19.3248,20.097,19.2248,19.6579,19.9224,20.218
21768,2021-10-01,0.0,08:00:00,3.2952,83.9434,3.37839,75.9103,0.647527,96.0132,4.15651,82.387,2.44843,72.0436,3.32233,81.7767,4.04991,81.9227,0.534946,321.82,2.4144,69.5117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0789,20.268,19.8284,19.7255,20.4169,19.8298,19.8135,19.9655,20.4916
21769,2021-10-01,0.0,09:00:00,1.41849,93.3313,1.95957,68.1365,0.538414,233.116,3.66793,83.8188,0.417359,81.4395,1.68833,92.8065,3.71113,77.9291,0.67555,264.543,0.716719,118.883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.9055,20.005,19.739,19.6132,20.1266,19.6364,19.6688,19.8857,20.2057
21770,2021-10-01,0.0,10:00:00,2.53899,72.6534,2.82843,68.9479,1.93275,78.2987,4.28,76.8186,1.24516,66.5497,3.77078,78.4428,3.99664,76.9837,0.898539,73.1495,1.7823,63.2127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.8728,20.8131,20.7863,20.5248,20.9485,20.5535,20.5147,20.7787,20.8731
21771,2021-10-01,0.0,11:00:00,2.22726,91.179,2.27375,84.4787,2.3467,92.0561,2.89117,90.4017,1.53657,92.9778,2.90647,90.9693,2.8252,85.8049,1.90791,92.9575,1.63188,83.0681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.1765,23.1994,23.1011,22.8643,23.2895,22.8998,22.9341,23.1322,23.2621
21772,2021-10-01,0.0,12:00:00,1.63851,103.4,1.5923,99.7636,1.72845,94.2055,1.94511,99.2768,1.56495,106.176,1.93136,87.8744,1.94175,96.1173,1.34577,102.008,1.42095,93.2131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.1036,25.1476,25.0126,24.7667,25.209,24.8163,24.8513,25.0752,25.2014
21773,2021-10-01,0.0,13:00:00,3.96533,113.199,3.56778,114.945,3.94831,109.302,4.03793,114.283,3.78263,112.125,4.18545,112.448,3.92434,116.555,3.91197,105.906,2.98528,107.983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.3215,26.6658,26.1466,25.8901,26.6583,25.7804,26.1681,26.3475,27.0317
21774,2021-10-01,0.0,14:00:00,4.19185,115.487,3.98492,116.873,4.24636,112.706,4.46955,114.596,4.06108,116.183,4.57589,112.843,4.21191,116.111,4.08407,112.639,3.91162,118.123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.3975,27.6861,27.171,27.0062,27.6075,26.8846,27.3452,27.2859,27.8858
21775,2021-10-01,0.0,15:00:00,5.30327,116.873,5.20195,119.123,5.2696,113.556,5.66984,115.804,5.08341,117.887,5.6762,113.747,5.47246,117.981,5.02002,113.324,5.04431,121.098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0961,28.4111,27.8641,27.659,28.3581,27.5101,28.0212,28.0362,28.667
21776,2021-10-01,0.0,16:00:00,5.8589,116.684,5.62444,118.216,5.92085,113.303,6.44597,115.427,5.43542,118.372,6.49167,112.842,6.26059,117.088,5.3977,113.94,5.21153,121.203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.564,28.9294,28.3208,28.0773,28.849,27.9028,28.4627,28.5498,29.2209
21777,2021-10-01,0.0,17:00:00,7.30084,119.277,7.05462,121.215,7.2066,117.01,7.77215,118.446,6.7193,120.389,7.5765,116.26,7.64629,120.959,6.68884,117.892,6.47019,123.127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.1337,28.4762,27.9254,27.584,28.4836,27.435,27.9586,28.2202,28.8185
21778,2021-10-01,0.0,18:00:00,8.24382,117.886,8.10536,119.996,8.06812,115.518,8.57999,117.105,7.77634,118.931,8.31987,114.784,8.55292,120.12,7.65725,116.381,7.58522,121.402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0428,27.3975,26.8578,26.5026,27.3985,26.3884,26.8775,27.1698,27.7558
21779,2021-10-01,0.0,19:00:00,7.67029,115.919,7.32195,116.313,7.80187,114.517,8.08396,115.006,7.1512,116.954,8.06088,113.718,7.88084,116.688,7.36283,114.797,6.7324,118.092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.6789,27.0852,26.4509,26.1715,27.0012,26.0036,26.5791,26.7626,27.4094
21780,2021-10-01,0.0,20:00:00,6.28061,108.763,5.75547,107.481,6.81737,108.737,6.98792,109.025,5.58134,108.097,7.27603,109.07,6.48184,108.658,6.2241,106.733,5.09363,108.601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.9953,26.4453,25.6599,25.5308,26.2809,25.2664,25.9821,25.9295,26.7377
21781,2021-10-01,0.0,21:00:00,2.61171,97.806,4.64838,87.0384,3.24413,102.541,4.51808,92.1824,1.72088,104.665,4.64778,101.283,5.94046,84.5546,2.555,101.741,3.32828,91.7503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.762,25.9439,25.2914,25.3271,25.9815,24.9468,25.4807,25.4577,26.2681
21782,2021-10-01,0.4,22:00:00,2.36351,84.8074,3.22169,84.6812,0.904738,63.1423,3.92961,85.6523,2.27412,70.6344,1.94131,87.7657,4.86087,81.4899,1.26883,43.0798,2.73451,83.2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.1628,24.1062,24.303,23.6294,24.5167,23.8846,23.6338,24.5719,24.4119
21783,2021-10-01,0.0,23:00:00,3.18454,84.3181,3.5028,79.671,2.55731,89.3602,4.88288,81.7057,2.42859,86.6375,4.11347,86.692,5.03594,79.3376,2.00815,88.7878,2.56498,84.7774,0.0,0.0,4.18954e-10,0.0,0.0,5.28927e-14,0.0,7.05594e-10,0.0,23.5087,23.541,23.4889,23.0437,23.7502,23.1718,23.1157,23.6229,23.7842
21784,2021-10-02,0.0,00:00:00,0.377309,7.50156,0.734577,33.4334,0.0643246,73.7327,1.02976,52.8839,0.186752,322.045,0.532918,55.8387,1.21216,48.1674,0.213862,135.003,0.481179,26.8415,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,22.566,22.5831,22.5457,22.5338,22.5966,22.5129,22.5515,22.577,22.6128
21785,2021-10-02,0.0,01:00:00,1.81039,335.53,1.59778,337.821,1.99147,331.761,1.87913,334.47,1.74583,341.92,2.07654,329.696,1.55693,335.447,1.87125,336.578,1.64025,347.263,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,22.6288,22.6677,22.6037,22.3649,22.6717,22.4392,22.4528,22.5956,22.607
21786,2021-10-02,0.0,02:00:00,0.310908,187.66,0.647749,178.619,0.18508,298.094,0.395837,212.318,0.399459,161.535,0.340387,288.679,0.744357,190.005,0.0639947,174.044,0.647449,165.27,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,22.3477,22.4072,22.3624,21.999,22.5466,22.0744,22.1118,22.4571,22.5752
21787,2021-10-02,0.0,03:00:00,2.61037,39.0688,2.57646,42.6959,2.3447,31.4156,2.97717,45.1306,2.38114,35.256,2.6154,39.5764,2.81818,46.4347,2.29553,28.2542,2.53067,39.2896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.3401,22.3517,22.4276,22.014,22.4888,22.2401,22.0486,22.416,22.5148
21788,2021-10-02,0.2,04:00:00,3.5507,32.5911,3.60537,37.6213,3.30893,27.1965,4.01196,37.4406,3.30843,29.9066,3.69226,32.6114,3.87211,41.6962,3.29411,25.7474,3.38253,34.355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.9515,21.9724,21.984,21.6519,22.1433,21.8154,21.6375,22.052,22.1452
21789,2021-10-02,0.0,05:00:00,3.08047,153.682,2.92246,166.241,2.91274,146.259,3.27141,144.958,3.09549,159.011,3.21496,135.795,3.08382,148.202,3.00466,157.926,2.97342,168.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.7715,22.1333,21.713,21.4278,22.0917,21.3406,21.9294,21.9528,22.2493
21790,2021-10-02,0.0,06:00:00,5.34275,146.053,5.4703,148.016,5.33693,147.158,5.79703,143.049,4.37752,157.235,5.57311,144.382,6.11853,145.974,4.50095,157.57,4.43068,158.234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.7238,22.914,22.6256,22.4211,22.8248,22.3728,22.7491,22.6297,22.9322
21791,2021-10-02,0.0,07:00:00,1.55665,123.073,0.888776,68.2269,2.23335,132.964,3.11634,124.233,1.14816,122.691,3.2635,127.154,1.23645,101.007,1.62443,136.519,0.853893,77.6955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0809,22.0715,22.0862,21.951,22.117,21.9414,21.8638,22.0897,22.1798
21792,2021-10-02,0.0,08:00:00,0.748766,35.8618,1.22844,16.4592,0.576336,78.137,0.687122,32.9069,1.0977,26.1996,0.778593,83.2151,1.17309,8.26633,0.850006,69.5388,1.85719,12.6551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.5346,21.6893,21.4806,21.1718,21.7444,21.2004,21.3947,21.5864,21.9379
21793,2021-10-02,0.0,09:00:00,0.674588,111.801,0.728977,92.7066,1.23385,116.189,1.40514,95.3758,0.791826,123.067,1.48484,103.827,1.41791,84.1391,1.29637,121.287,0.570158,118.511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.1911,21.369,21.0558,21.0005,21.3891,20.8869,21.3416,21.1869,21.5358
21794,2021-10-02,0.0,10:00:00,0.377309,7.50156,0.734577,33.4334,0.0643246,73.7327,1.02976,52.8839,0.186752,322.045,0.532918,55.8387,1.21216,48.1674,0.213862,135.003,0.481179,26.8415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.6066,22.6999,22.3329,22.6647,22.495,22.5045,22.5572,22.2853,22.6404
21795,2021-10-02,0.0,11:00:00,1.2324,225.593,1.18233,228.773,1.17124,229.104,1.27269,231.513,1.35608,217.258,1.0686,232.135,1.22434,232.167,1.46418,220.945,1.16729,221.527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.8847,24.011,23.8714,23.7667,23.9283,23.8589,23.9386,23.7003,24.0475
21796,2021-10-02,0.0,12:00:00,2.09592,203.772,1.90229,206.567,2.27177,200.907,1.99556,207.948,2.24569,200.942,2.126,206.394,1.79431,215.542,2.38266,196.756,2.05877,196.291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.6682,25.9464,25.3824,25.7982,25.4657,25.5804,26.0858,25.1354,25.8408
21797,2021-10-02,0.0,13:00:00,2.82199,202.244,2.77381,202.859,2.7276,199.566,2.26152,194.33,3.06566,201.449,2.15119,184.883,2.39654,202.217,3.14309,200.804,2.97177,199.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.8085,27.9858,27.6707,27.8137,27.5773,27.785,27.9846,27.2948,27.8585
21798,2021-10-02,0.0,14:00:00,3.1796,191.413,3.27564,194.824,3.05336,186.601,2.77395,179.436,3.53019,195.895,2.758,173.215,2.80606,186.529,3.54324,193.57,3.50021,195.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.9818,29.2397,28.7439,28.8766,28.7506,28.6938,29.1992,28.3988,29.097
21799,2021-10-02,0.0,15:00:00,3.18611,199.1,3.26183,199.264,3.04297,196.518,2.84742,190.653,3.30938,199.501,2.67734,184.714,3.02141,195.419,3.32729,197.974,3.32096,197.961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.9076,30.1598,29.6982,29.782,29.7625,29.6442,30.0517,29.4321,30.1008
21800,2021-10-02,0.0,16:00:00,3.29635,182.526,3.28432,186.894,3.32777,177.736,3.10524,174.135,3.68092,188.384,3.19818,170.042,3.02063,180.4,3.80255,185.107,3.58131,189.503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.6028,30.9109,30.2774,30.4167,30.3883,30.1717,30.7754,29.9626,30.7844
21801,2021-10-02,0.0,17:00:00,3.86566,175.083,3.89099,177.74,3.91219,172.43,3.98923,169.845,4.18998,184.172,4.01173,167.352,3.93038,173.439,4.29833,180.671,4.23799,185.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.5819,30.9264,30.2452,30.3773,30.3078,30.1442,30.7664,29.8665,30.7263
21802,2021-10-02,0.0,18:00:00,4.14698,165.122,4.15102,167.602,4.0741,163.396,4.19868,162.615,4.13855,172.099,4.07018,160.652,4.11794,165.544,4.1787,170.567,4.19714,172.652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0818,30.446,29.7166,29.825,30.0259,29.5747,30.2337,29.5399,30.4255
21803,2021-10-02,0.0,19:00:00,4.16562,159.271,4.02419,161.649,4.08488,158.606,4.36919,154.779,4.02953,166.425,4.11244,152.71,4.1344,158.72,4.12669,166.966,3.96158,165.972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.5597,29.8484,29.268,29.2868,29.5335,29.123,29.6205,29.0654,29.8807
21804,2021-10-02,0.0,20:00:00,3.75056,149.727,3.42617,150.402,3.84586,149.998,3.9794,143.24,3.41178,160.613,3.9492,141.048,3.4439,144.843,3.53835,162.609,3.38243,157.812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.6228,28.9212,28.3346,28.2218,28.6631,28.0928,28.5393,28.0926,29.0622
21805,2021-10-02,0.0,21:00:00,2.35162,163.655,2.27912,161.034,2.39032,168.647,2.47835,146.931,2.57992,177.878,2.37065,144.972,2.3881,153.136,2.526,183.351,2.52493,173.574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.5316,27.8888,27.0568,27.2146,26.8741,27.0882,27.5287,25.9014,27.617
21806,2021-10-02,0.0,22:00:00,2.96759,177.305,2.80097,184.103,3.03123,176.2,3.11968,162.231,3.1716,183.068,2.91653,163.779,2.83703,167.37,3.40333,180.517,3.12427,185.493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5552,26.0716,25.0136,25.9167,24.848,25.4406,26.5541,24.284,25.27
21807,2021-10-02,0.0,23:00:00,3.30494,175.825,2.91263,182.546,3.56799,179.066,3.37847,159.874,3.54808,188.871,3.29332,166.1,3.11429,163.229,4.0085,185.345,3.2083,193.272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.1566,24.5829,23.6563,24.3306,23.6766,23.9273,24.9618,23.068,24.0893
21808,2021-10-03,0.0,00:00:00,4.65061,164.259,4.54798,163.292,4.7401,168.41,4.39583,167.382,4.66839,160.802,4.39723,172.407,4.46238,166.606,4.84901,163.217,4.49331,160.623,0.00563127,0.0355793,0.0643717,0.0160882,0.00547992,0.0959533,0.0103084,0.082237,0.0668555,23.4739,23.9117,23.1339,23.4915,23.5375,23.2968,23.9219,23.186,23.9531
21809,2021-10-03,0.0,01:00:00,1.59078,347.845,1.3079,4.80371,1.40123,20.7101,1.55041,53.2177,1.12171,343.581,1.80238,59.442,1.49283,55.472,1.0956,3.98419,1.23838,0.738129,0.0514263,0.124542,0.0895563,0.0508262,0.0561398,0.110432,0.0804738,0.132461,0.134448,24.674,24.8372,24.7829,24.2701,24.7629,24.6053,24.3104,24.6411,24.9173
21810,2021-10-03,0.0,02:00:00,2.1908,205.493,2.21751,209.647,2.28324,199.721,2.01318,214.274,2.28639,199.687,2.02737,206.702,2.14375,219.512,2.36244,193.927,2.35965,202.898,0.0514263,0.124542,0.0895563,0.0508262,0.0561398,0.110432,0.0804738,0.132461,0.134448,22.6534,22.8521,22.506,22.6296,22.6577,22.6106,22.798,22.4203,22.8201
21811,2021-10-03,0.0,03:00:00,1.67317,175.931,1.69115,180.107,1.7973,177.15,1.5222,184.849,1.66698,172.585,1.52826,183.525,1.67352,190.786,1.86624,173.827,1.64581,174.863,0.0457951,0.088963,0.0251846,0.034738,0.0506599,0.0144791,0.0701654,0.0502244,0.0675929,22.8269,23.009,22.6661,22.5675,23.0069,22.5048,22.8021,22.7676,23.143
21812,2021-10-03,0.0,04:00:00,2.49786,177.168,2.63972,180.027,2.40107,178.125,2.1598,176.887,2.66411,176.693,1.93147,173.866,2.43463,183.437,2.73017,177.607,2.72476,178.269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.6752,22.0765,21.3166,21.7513,21.5379,21.4968,22.1472,21.1752,21.9154
21813,2021-10-03,0.0,05:00:00,2.71489,159.315,2.77246,165.436,2.59479,160.251,2.7548,154.581,2.73459,165.121,2.57618,152.926,2.80395,164.207,2.81527,167.786,2.75679,166.862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67191e-05,0.0,21.3138,21.5659,21.1683,21.2468,21.3129,21.1255,21.6666,21.0736,21.5335
21814,2021-10-03,0.0,06:00:00,2.76025,169.144,2.88742,174.349,2.58003,168.454,2.68732,166.5,2.8356,168.315,2.36518,166.284,2.76468,171.323,2.85439,169.224,2.96351,170.807,0.0182644,0.0600456,0.00199292,0.0373849,0.00759853,0.00696356,0.0841746,0.0023053,0.0332992,21.0733,21.3775,20.8189,21.114,21.0462,20.8318,21.5807,20.8876,21.2
21815,2021-10-03,0.0,07:00:00,2.63105,180.78,2.70588,182.828,2.64647,182.896,2.49977,182.806,2.71203,180.274,2.32826,184.179,2.6836,186.868,2.87519,182.534,2.73414,180.017,0.0182644,0.0600456,0.00199313,0.0373849,0.00759855,0.00696356,0.0841746,0.00230554,0.0332992,21.1602,21.3758,20.9909,20.947,21.2882,20.8687,21.2126,21.0743,21.4445
21816,2021-10-03,0.0,08:00:00,2.39789,174.434,2.51228,178.114,2.258,176.026,2.28596,174.771,2.37122,173.861,1.99326,176.205,2.53068,180.601,2.41711,176.285,2.44546,175.073,0.0182644,0.0600456,0.00199313,0.0373849,0.00759855,0.00696356,0.0841746,0.00228882,0.0332992,21.231,21.3709,21.1264,21.0431,21.3266,21.0607,21.2611,21.1388,21.453
21817,2021-10-03,0.0,09:00:00,1.52811,160.022,1.44707,165.137,1.42571,162.828,1.39851,151.457,1.57035,164.222,1.29783,151.3,1.17339,160.021,1.60142,168.915,1.56503,163.788,0.0,0.0,2.08616e-07,0.0,1.49012e-08,0.0,0.0,2.38419e-07,0.0,21.6207,21.7755,21.5291,21.4446,21.6873,21.406,21.751,21.5186,21.8131
