,DATA,HORA,Barreto,Pto N,Pto S,Pto E,Pto W,Pto SE,Pto NE,Pto SW,Pto NW
0,20210726,1,20.0516,20.0227,20.0775,19.9649,20.1377,19.9913,19.9357,20.1633,20.109
1,20210726,2,19.0928,19.0924,19.1781,18.6187,19.4162,18.812,18.6564,19.4246,19.3163
2,20210726,3,18.8131,18.6511,18.3153,19.0437,18.7081,18.2932,18.7044,18.5376,18.6107
3,20210726,4,19.111,19.3529,18.9289,19.4561,18.6472,19.1758,19.2329,18.3954,18.6596
4,20210726,5,18.222,18.2254,18.3092,18.6115,18.0747,18.2739,18.5032,18.0122,18.1939
5,20210726,6,17.8755,17.8243,17.8909,17.6368,17.761,17.4139,17.7838,17.7874,17.6937
6,20210726,7,17.929,17.9118,17.7523,18.2473,17.8014,18.1422,18.1433,17.533,17.8268
7,20210726,8,18.456,18.4189,17.9875,18.1043,18.6349,17.8466,18.0568,18.09,18.6518
8,20210726,9,17.7595,17.9097,17.4684,17.6227,17.8345,17.4511,17.6716,17.39,18.1059
9,20210726,10,17.7694,17.791,17.6967,17.6654,17.6788,17.6635,17.6891,17.5813,17.7827
10,20210726,11,17.5685,17.6249,17.3246,17.386,17.5449,17.2872,17.426,17.2817,17.6701
11,20210726,12,19.6186,19.7526,18.9118,19.5353,19.3482,19.1507,19.7256,18.8567,19.5087
12,20210726,13,21.3256,21.4471,21.2691,21.307,21.3683,21.2301,21.5164,21.3318,21.4165
13,20210726,14,23.4393,23.5268,23.3789,23.2674,23.4188,23.311,23.4104,23.291,23.5582
14,20210726,15,25.1439,25.2678,25.0492,24.9452,25.2234,24.9831,25.1085,25.0321,25.3687
15,20210726,16,26.6291,26.756,26.5364,26.4084,26.5766,26.3589,26.5965,26.4033,26.7312
16,20210726,17,27.1129,27.3098,26.9299,26.8014,27.1722,26.7354,27.0397,26.8909,27.4071
17,20210726,18,27.5797,27.7817,27.3853,27.2214,27.7903,27.1389,27.4653,27.5602,27.9737
18,20210726,19,28.0847,28.263,27.9145,27.5915,28.3311,27.5178,27.8232,28.0923,28.4916
19,20210726,20,27.4926,27.7316,27.3751,26.9364,27.8282,26.9274,27.1803,27.6049,28.0486
20,20210726,21,26.2721,26.5433,26.263,25.7332,26.6273,25.7676,26.0318,26.5647,26.8217
21,20210726,22,25.2095,25.5493,25.272,24.9916,25.4113,24.9258,25.4315,25.487,25.6187
22,20210726,23,24.735,24.6233,24.8323,24.3864,24.8947,24.5787,24.3023,24.8485,24.8029
23,20210726,24,24.0739,24.0419,23.8956,23.6943,24.2033,23.6464,23.6913,23.9258,24.1877
24,20210726,25,22.9727,22.8057,22.8496,22.5135,23.1374,22.5173,22.422,22.9261,22.9721
25,20210726,26,22.8425,22.6796,22.6166,22.3682,23.0115,22.2561,22.2879,22.708,22.8277
26,20210726,27,22.588,22.353,22.4396,22.1136,22.5166,22.0718,22.0264,22.2825,22.4773
27,20210726,28,22.287,22.1414,22.0417,21.9091,21.1933,21.9009,21.782,21.0074,21.9549
28,20210726,29,21.9604,21.7034,21.6997,21.4606,20.6666,21.5215,21.3377,20.4062,21.4408
29,20210726,30,21.3588,21.3995,20.8022,21.1576,20.4797,21.2574,21.1265,20.1351,20.7032
30,20210726,31,20.894,20.9155,20.7814,20.6005,20.7167,20.6253,20.6182,20.7809,20.7336
31,20210726,32,20.7349,20.4788,20.5483,20.2432,20.7963,20.1514,20.2245,20.5725,20.6524
32,20210726,33,20.6522,20.3851,20.0518,20.1532,20.4891,19.8272,20.0241,19.9803,20.4645
33,20210726,34,20.5554,20.3828,20.1304,20.1304,20.1104,19.8639,19.9964,20.0489,20.0066
34,20210726,35,20.1397,20.281,20.0815,20.1394,19.9091,20.0345,20.1027,19.8669,20.2811
35,20210726,36,21.6127,21.6382,21.4914,21.4661,21.6357,21.4539,21.4841,21.4361,21.8357
36,20210726,37,23.276,23.4067,23.1733,23.052,23.6143,23.035,23.2078,23.5049,23.7678
37,20210726,38,25.5249,25.4359,25.605,25.2048,25.6465,25.2931,25.2627,25.736,25.3534
38,20210726,39,27.6384,27.7183,27.58,27.507,27.4381,27.5507,27.5932,27.5276,27.2577
39,20210726,40,29.5514,29.6334,29.4618,29.3132,29.3865,29.3737,29.3815,29.2995,29.3983
40,20210726,41,30.204,30.2974,30.1223,29.957,30.1648,30.0012,30.0546,30.0704,30.1199
41,20210726,42,30.7154,30.812,30.6353,30.4456,30.7029,30.4889,30.562,30.5917,30.7023
42,20210726,43,31.0269,31.0912,30.9791,30.7285,31.1241,30.7828,30.8403,31.0201,31.095
43,20210726,44,31.1542,31.2061,31.1282,30.7762,31.3391,30.8786,30.8625,31.2063,31.3553
44,20210726,45,29.2065,29.5224,28.6764,28.6784,29.5801,28.2311,29.0799,28.9118,30.2003
45,20210726,46,28.2589,28.5989,27.5171,27.8547,28.1619,27.3144,28.2247,27.5452,28.5297
46,20210726,47,27.3323,27.1942,27.2193,26.9697,27.356,26.9505,26.8902,27.1763,27.2379
47,20210726,48,26.5044,26.1883,26.4086,26.1731,26.4681,26.1537,25.9467,26.3313,26.1769
