,DATA,HORA,Barreto_ws10,Barreto_wd10,Pto N_ws10,Pto N_wd10,Pto S_ws10,Pto S_wd10,Pto E_ws10,Pto E_wd10,Pto W_ws10,Pto W_wd10,Pto SE_ws10,Pto SE_wd10,Pto NE_ws10,Pto NE_wd10,Pto SW_ws10,Pto SW_wd10,Pto NW_ws10,Pto NW_wd10
0,20210725,1,2.20571,89.515,2.43077,91.6627,2.38881,90.0179,2.34214,86.2947,1.47887,95.1046,2.69678,84.7705,2.52219,94.4456,2.15821,94.6344,1.77167,97.3038
1,20210725,2,2.85789,27.2961,3.02985,33.0015,2.54295,21.9565,3.43036,34.1863,2.60875,21.8687,2.77287,29.1474,3.489,38.1017,2.44232,19.5574,3.00631,27.5126
2,20210725,3,1.6656,85.1383,1.80902,75.1292,1.58644,92.686,2.6545,85.8671,1.48441,76.2116,2.16612,95.2037,2.5556,79.3589,1.55324,79.4263,1.71335,75.0895
3,20210725,4,1.30353,80.7819,1.22504,62.8058,1.39529,94.9841,3.28268,81.7078,0.426594,77.6851,2.90051,86.6936,3.18067,81.6946,0.89167,90.4351,0.705739,25.8336
4,20210725,5,2.40407,74.9321,2.92179,67.1755,1.15586,84.3771,4.73409,73.7167,1.26399,45.6533,3.93896,72.5629,4.3416,77.2686,0.878481,351.763,1.61147,52.5022
5,20210725,6,1.33088,95.7156,2.68172,83.3851,1.1246,92.4846,3.77558,75.1036,0.247758,164.56,3.33663,76.6188,3.92546,79.8344,0.457753,145.499,1.50681,87.1632
6,20210725,7,1.42974,91.9421,0.684837,125.168,1.84122,87.2037,3.60426,84.0162,0.943514,205.319,3.93225,84.865,3.08605,89.2153,0.855122,139.544,1.3013,233.935
7,20210725,8,1.87415,74.6876,1.62653,72.3079,1.92105,81.5043,3.59416,78.498,0.434811,132.69,3.6928,78.3101,3.2918,83.4907,0.738739,97.7577,0.209693,214.724
8,20210725,9,3.2146,85.6832,2.9519,87.0315,3.1588,86.8696,3.91121,83.5828,2.31649,84.7722,3.78888,80.5708,3.87841,90.8105,2.41423,92.3889,1.38814,85.3857
9,20210725,10,2.64081,80.4523,2.57108,80.9728,2.67758,83.8335,3.28307,79.5572,2.05496,79.1482,3.36581,77.8825,3.40727,86.2832,2.21617,88.2445,1.10745,72.9292
