,Data,precipitacao_observada,Horario,Datetime,prec_prev_Maceio,prec_prev_ptoN,prec_prev_ptoS,prec_prev_ptoE,prec_prev_ptoW,prec_prev_ptoSE,prec_prev_ptoNE,prec_prev_ptoSW,prec_prev_ptoNW,temp_prev_Maceio,temp_prev_ptoN,temp_prev_ptoS,temp_prev_ptoE,temp_prev_ptoW,temp_prev_ptoSE,temp_prev_ptoNE,temp_prev_ptoSW,temp_prev_ptoNW
2021-08-04 00:00:00,2021-08-04,0.0,00:00:00,2021-08-04 00:00:00,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,18.8741,18.8181,18.9284,18.8788,18.8683,18.9356,18.8202,18.9201,18.8149
2021-08-04 01:00:00,2021-08-04,0.0,01:00:00,2021-08-04 01:00:00,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,17.3213,17.9858,17.4267,17.3324,17.685,17.5608,17.9334,17.6276,18.162
2021-08-04 02:00:00,2021-08-04,0.0,02:00:00,2021-08-04 02:00:00,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,17.2788,17.2295,17.6654,17.3224,17.5111,17.5694,17.6984,17.6922,17.5022
2021-08-04 03:00:00,2021-08-04,0.0,03:00:00,2021-08-04 03:00:00,0.0716867,0.325858,0.0353059,0.183676,0.198895,0.230412,0.142176,0.0677835,0.373943,17.0959,17.4206,17.5341,16.9015,17.2139,17.1921,17.6047,15.6683,17.4971
2021-08-04 04:00:00,2021-08-04,0.0,04:00:00,2021-08-04 04:00:00,0.0718584,0.325859,0.03958,0.186468,0.198896,0.295943,0.142205,0.06782,0.373943,14.0097,16.4661,14.2866,13.9958,14.5574,14.6544,16.6895,14.5306,16.6088
2021-08-04 05:00:00,2021-08-04,0.0,05:00:00,2021-08-04 05:00:00,0.793781,0.0650332,3.1575,4.40111,0.0603789,7.30344,1.39418,0.273028,0.0461993,13.874,16.2968,16.0856,16.209,14.9546,16.2841,16.335,16.1737,16.3485
2021-08-04 06:00:00,2021-08-04,0.0,06:00:00,2021-08-04 06:00:00,0.857125,0.134519,3.20497,5.23352,0.0779832,8.05987,2.11001,0.270347,0.0811252,13.4268,16.7379,13.3799,13.5586,16.5356,13.5963,16.4853,16.1402,16.8178
2021-08-04 07:00:00,2021-08-04,0.0,07:00:00,2021-08-04 07:00:00,0.856994,0.134578,3.20071,5.23114,0.0977019,7.9945,2.1107,0.28061,0.0987676,13.4084,16.4175,13.2524,13.5718,13.9964,13.4016,16.2363,13.6446,16.3796
2021-08-04 08:00:00,2021-08-04,0.0,08:00:00,2021-08-04 08:00:00,0.214004,0.217276,0.0895786,0.839871,1.50468,0.773869,0.733547,0.425275,2.11511,13.611,16.0072,13.1549,13.2135,14.8764,13.5216,15.9681,13.4465,16.342
2021-08-04 09:00:00,2021-08-04,0.0,09:00:00,2021-08-04 09:00:00,0.419089,1.99069,0.0553863,0.0188274,2.74867,0.00756741,0.176754,0.442297,7.53071,13.0424,15.9669,13.201,12.9102,13.7613,13.2434,15.871,15.7944,16.0772
